Suyun kinetik enerjisinden yararlanýlarak elektrik üretimi yapýlan santrallere ne ad verilir|santrallere ad||DESCRIPTION|DEFINITION|Hidroelektrik Santral
Tarým, hayvancýlýk ve ticari faaliyetler ilk kez hangi çaðda baþlamýþtýr|hangi çaðda||TEMPORAL|ERA|Yeni taþ çaðý/Neolitik çað
Taþkömürü yataklarý hangi jeolojik zamanda oluþmuþtur|hangi jeolojik zamanda||TEMPORAL|ERA|1.Zaman/paleozik
Toros Daðlarý hangi jeolojik zamanda oluþmuþtur|hangi jeolojik zamanda||TEMPORAL|ERA|III.Zaman/Tersiyer
Tortum çayý hangi akarsuyun bir koludur|hangi akarsuyun||ENTITY|RIVER|Çoruh Nehri
Türkiye arazisinin yüzde kaçý ormanlýk alandýr|Türkiye arazisinin yüzde kaçý||NUMERIC|PERCENTAGE|0,26
Türkiye en fazla hangi ülkeye iþçi göçü vermiþtir|hangi ülkeye||LOCATION|COUNTRY|Almanya
Türkiye'de azonal(taþýnmýþ) topraklar içinde en yaygýn olaný hangisidir|azonal(taþýnmýþ) topraklar||ENTITY|ENTITY|Alüvyal topraklar
Türkiye'de çayýr ve otlaklarýn en fazla olduðu bölge hangisidir|bölge||LOCATION|REGION.LOCAL|Doðu Anadolu.
Türkiye'de cephesel yaðýþlar en çok hangi bölgede görülür|hangi bölgede||LOCATION|REGION.LOCAL|Akdeniz.
Türkiye'de ekili dikili alanlarýn en az yer kapladýðý bölge hangisidir|bölge||LOCATION|REGION.LOCAL|Doðu Anadolu
Türkiye'de ekili dikili alanlarýn en fazla yer kapladýðý bölge hangisidir|bölge||LOCATION|REGION.LOCAL|Marmara.
Türkiye'de en az insan nüfusuna sahip olan þehir hangisidir|þehir||LOCATION|CITY|Bayburt
Türkiye'de en fazla pirinç tarýmýnýn yapýldýðý akarsu havzasýnýn ismi nedir|akarsu havzasýnýn ismi||ENTITY|RIVER|Ergene/Meriç
Türkiye'de güneyden esen rüzgârýn ismi nedir|rüzgârýn ismi||ENTITY|WIND|Kýble
Türkiye'de heyelan set göllerinin en fazla görüldüðü bölge neresidir|bölge neresidir||LOCATION|REGION.LOCAL|Karadeniz Bölgesi
Türkiye'deki denizlerden en az tuzluluk oranýna sahip olan deniz hangisidir|deniz||ENTITY|SEA|Karadeniz
Türkiye'deki su kaynaklarýnýn en bol olduðu bölge hangisidir|bölge||LOCATION|REGION.LOCAL|Doðu Anadolu
Türkiye'de tarým alanlarý ülke arazisinin yüzde kaçýný oluþturur|ülke arazisinin yüzde kaçýný||NUMERIC|PERCENTAGE|0,33
Türkiye'de üzerinde ulaþým ve taþýmacýlýk yapýlan akarsu hangisidir|akarsu||ENTITY|RIVER|Bartýn çayý/Kocaýrmak
Türkiye'nin doðusundan esen soðuk ve kuru rüzgâr hangisidir|rüzgâr||ENTITY|WIND|Gündoðusu
Türkiye'nin en büyük baraj gölü hangisidir|baraj gölü||ENTITY|OTHERS|Atatürk
Türkiye'nin en büyük ovasýnýn adý nedir|ovasýnýn adý||ENTITY|PLAIN|Konya Ovasý
Türkiye'nin en geniþ kapalý havzasý hangi bölgemizdedir|hangi bölgemizdedir||LOCATION|REGION.LOCAL|Ýç Anadolu
Türkiye'nin en geniþ yüz ölçümüne sahip þehri neresidir|þehri neresidir||LOCATION|CITY|Konya
Türkiye'nin en yüksek daðý hangisidir|daðý||ENTITY|MOUNTAIN|Aðrý Daðý
Türkiye'nin kuzeybatýsýndan esen yerel rüzgârýn adý nedir|rüzgârýn adý||ENTITY|WIND|Karayel
Türkiye'nin nüfusu ne kadardýr|nüfusu ne kadardýr||NUMERIC|SIZE.POPULATION|Yaklaþýk 76 Milyon
Türkiye'ye batýdan esen sýcak nemli rüzgâr hangisidir|rüzgâr||ENTITY|WIND|Günbatýsý
Türkiye'ye kuzeyden esen rüzgâra ne denir|rüzgâra denir||ENTITY|WIND|Yýldýz
Türkiye'ye kuzeydoðudan esip genellikle soðuk getiren rüzgâr hangisidir|rüzgâr||ENTITY|WIND|Poyraz
Ülke sýnýrlarýný gösteren haritalar hangileridir|haritalar||DESCRIPTION|DEFINITION|Siyasý Haritalar.
Ülkemizde cumhuriyet öncesi ilk nüfus sayýmý hangi tarihte yapýlmýþtýr|hangi tarihte||TEMPORAL|DATE|1831
Ülkemize çölden esen rüzgâr hangisidir|rüzgâr||ENTITY|WIND|Sam Yeli
Umit Burnu hangi kýtadadýr|hangi kýtadadýr||LOCATION|CONTINENT|Afrika
Ümit Burnuna ilk kez ulaþan denizci kimdir|denizci kimdir||HUMAN|INDIVIDUAL|Vasco da Gama
Volkan konisinin tepe kýsmýndaki çukur kýsýma ne denilmektedir|kýsýma denilmektedir||DESCRIPTION|DEFINITION|Volkan aðzý/krater
Volkanlardan çýkan akýþkan maddelere ne ad verilir|akýþkan maddelere ad||DESCRIPTION|DEFINITION|Lav
Volkanlardan çýkan katý maddelere ne ad verilir|katý maddelere ad||DESCRIPTION|DEFINITION|Volkan tüfü
Yer þekillerini gösteren haritalarýn adý nedir|haritalarýn adý||DESCRIPTION|DEFINITION|Fiziki Haritalar
Yerkürenin en ince tabakasý hangisidir|Yerkürenin tabakasý||ENTITY|OTHERS|Litosfer/Taþküre
Yerkürenin en kalýn katmaný hangisidir|Yerkürenin katmaný||ENTITY|OTHERS|Çekirdek
Yerkürenin hemen üzerinde yer alan atmosfer tabakasýnýn adý nedir|Yerkürenin atmosfer tabakasýnýn adý||ENTITY|OTHERS|Troposfer
Yeryüzündeki kayaçlar kaç ana grupta sýnýflandýrýlýr|kaç ana grupta||NUMERIC|COUNT|3
Yükselim yaðýþlarý Türkiye'de en çok hangi bölgede görülür|hangi bölgede||LOCATION|REGION.LOCAL|Ýç Anadolu
Yüzeye çýkan lav ve tüfün oluþturduðu yer þeklinin adý nedir|yer þeklinin adý||DESCRIPTION|DEFINITION|Volkan Konisi
Zorunlu göçler üzerinde etkili olan faktörlere ne isim verilir|faktörlere isim||DESCRIPTION|DEFINITION|Ýtici faktörler
Yeryüzündeki büyük kara parçalarýna ne ad verilir|kara parçalarýna ad||DESCRIPTION|DEFINITION|Kýta
Türkiye, hangi kýtalar arasýnda yer almaktadýr|hangi kýtalar||LOCATION|CONTINENT|Asya Avrupa
Bir yerin deniz seviyesinden yüksekliði neyle ifade edilir|yüksekliði neyle ifade edilir||DESCRIPTION|DEFINITION|Rakým
Canlý, cansýz varlýklarýn bütünü neyi ifade eder|neyi ifade||DESCRIPTION|DEFINITION|Doða
Karýnca yuvalarýnýn açýk önü hangi yönü gösterir|hangi yönü||ENTITY|OTHERS|Kuzey
Aðaçlarýn ve taþlarýn yosun tutan tarafý hangi yönü gösterir|hangi yönü||ENTITY|OTHERS|Kuzey
Bir yerin tepeden görünümüne ne ad verilir|görünümüne ad||DESCRIPTION|DEFINITION|Kuþ bakýþý
Bir yerin kuþ bakýþý taslak çizimine ne denir|taslak çizimine denir||DESCRIPTION|DEFINITION|Kroki
Hava sýcaklýðýný ölçen araca ne ad verilir|araca ad||DESCRIPTION|DEFINITION|Termometre
Yüksekliði 500m'den fazla olan yerlere ne ad verilir|yerlere ad||ENTITY|ENTITY|Dað
Üç tarafý sularla kaplý kara parçasýna ne ad verilir|kara parçasýna ad||ENTITY|ENTITY|Yarýmada
Çevresine göre daha alçakta bulunan ve tarýma elveriþli geniþ, düz kara parçasýna ne ad verilir|kara parçasýna ad||ENTITY|ENTITY|Ova
Karalarýn denizlere doðru olan dar uzantýsýna ne ad verilir|Karalarýn uzantýsýna ad||ENTITY|ENTITY|Burun
Daðlar haritada hangi renkle gösterilir|hangi renkle||ENTITY|OTHERS|Kahverengi
Deniz ve göller haritada hangi renkle gösterilir|hangi renkle||ENTITY|OTHERS|Mavi
Haritada ovalar hangi renkte gösterilir|hangi renkte||ENTITY|OTHERS|Sarý
Denizlerle baðlantýsý olmayan su birikintilerine ne ad verilir|su birikintilerine ad||ENTITY|ENTITY|göl
Atatürk Barajý hangi nehir üzerinde kurulmuþtur|hangi nehir||ENTITY|RIVER|Fýrat
Dünyanýn yýllýk hareketi sýrasýnda güneþ çevresinde izlediði yörüngeye ne ad verilir|yörüngeye ad||ENTITY|OTHERS|
Türkiye'de en uzun gündüz hangi tarihlerde yaþanýr|hangi tarihlerde||TEMPORAL|PERIOD|
Cebelitarýk boðazý hangi deniz ve okyanusu birbirine baðlar|hangi deniz ve okyanusu||ENTITY|SEA|Akdeniz ve Atlas Okyanusu
Bir yerin enlem ve boylamlar yardýmýyla belirtilen konumuna ne ad verilir|konumuna ad||DESCRIPTION|DEFINITION|
Yeryüzündeki bir noktanýn ekvatora en yakýn uzaklýðýnýn açý olarak deðerine ne denir|deðerine denir||DESCRIPTION|DEFINITION|
Dünya üzerindeki bir noktanýn baþlangýç meridyenine en yakin uzaklýðýnýn açý cinsinden deðerine ne ad verilir|açý cinsinden deðerine ad||DESCRIPTION|DEFINITION|
Bakü-Ceyhan petrol boru hattý Türkiye ile hangi Türk devleti arasýndadýr|hangi Türk devleti||LOCATION|COUNTRY|
Türkiye'de maden yataklarý ve çeþitleri bakýmýndan en zengin bölge hangisidir|bölge||LOCATION|REGION.LOCAL|
Türkiye'nin en yüksek bölgesi hangisidir|bölgesi||LOCATION|REGION.LOCAL|
Ülkemizde en çok nüfusu olan il hangisidir|il||LOCATION|CITY|Ýstanbul
Ýç Anadolu Bölgesi'nde hangi iklim türü hâkimdir|hangi iklim türü||ENTITY|OTHERS|
Fiziki haritada tarým alanlarýna uygun yerler hangi renkle gösterilir|hangi renkle||ENTITY|OTHERS|
Çevresine göre çukurda kalmýþ, akarsularýn derine gömülmeden aktýklarý dar veya geniþ düzlüklere ne ad verilir|dar veya geniþ düzlüklere ad||DESCRIPTION|DEFINITION|
Gerçek ölçülerin küçültülerek çizilmesine ne denir|çizilmesine denir||DESCRIPTION|DEFINITION|
Uzun yýllar devam eden atmosfer olaylarýnýn ortalama durumunu inceleyen bilim dalý hangisidir|bilim dalý||DESCRIPTION|DEFINITION|
Okyanus, deniz, göl, akarsu, kaynak sularý ve yer altý sularýnýn bütününe ne ad verilir|bütününe ad||ENTITY|OTHERS|
Geçtiði kýyýlarda havanýn soðumasýna neden olan sulara ne denir|sulara denir||DESCRIPTION|DEFINITION|
Yeryüzünde en soðuk ay ortalamasý 10 C'nin üzerinde olan iklim kuþaðýna ne isim verilir|iklim kuþaðýna isim||ENTITY|OTHERS|
Yer kürede hangi yönden esen rüzgarlar sýcaklýðý yükseltir|hangi yönden||ENTITY|OTHERS|
Gulf Stream sýcak su akýntýsý hangi yönde hareket eder|hangi yönde||ENTITY|OTHERS|
Gulf Stream sýcak su akýntýsý nereleri etkiler|nereleri||ENTITY|REGION|
Alize rüzgarlarýnýn da etkisiyle oluþan sýcak okyanus akýntýsýnýn adý nedir|okyanus akýntýsýnýn adý||ENTITY|STREAM|
Alize rüzgarlarýnýn da etkisiyle oluþan sýcak okyanus akýntýsýna ne isim verilir|okyanus akýntýsýna isim||ENTITY|STREAM|
Yeryüzünde en çok ýsýnan alanlar nerelerdir|alanlar nerelerdir||LOCATION|REGION|
Denizlerde güneþ ýþýnlarý kaç metreye kadar etkilidir|kaç metreye kadar||NUMERIC|SIZE.DEPTH|
Rüzgarýn hýzý neyle ölçülür|hýzý neyle ölçülür||ENTITY|INSTRUMENT|
Kuzey Amerika'nýn doðu kýyýlarýnýn batý kýyýlarýna göre daha soðuk olmasýna sebep olan nedir|sebep olan||DESCRIPTION|REASON|
Güneþ ýþýnlarýný dik açýyla alan Ekvator çevresinin Dünya'nýn en sýcak yeri olmamasýnýn sebebi nedir|sebebi||DESCRIPTION|REASON|
Günün en soðuk aný ne zamandýr|ne zamandýr||TEMPORAL|PERIOD|
Neden ve sonuç bakýmýndan karmaþýk coðrafya olaylarýný incelerken hangi coðrafya ilkesine baþvurulur|hangi coðrafya ilkesine||ENTITY|OTHERS|
Dað zirvelerinde nem miktarý ne kadardýr|nem miktarý ne kadardýr||DESCRIPTION|QUANTITY|
Karalarda güneþ ýþýnlarýnýn etkili olduðu derinlik ne kadardýr|derinlik ne kadardýr||NUMERIC|SIZE.DEPTH|
Yeryüzünde soðuk kuþak olarak adlandýrýlan iklim kuþaðýnda en sýcak ayýn ortalama sýcaklýðý ne kadardýr|ortalama sýcaklýðý ne kadardýr||NUMERIC|AVERAGE|
Muson ikliminde yýllýk sýcaklýk farký ne kadardýr|sýcaklýk farký ne kadardýr||NUMERIC|DEGREE|
Ekvatoral iklimde yýllýk yaðýþ miktarý ne kadardýr|yaðýþ miktarý ne kadardýr||NUMERIC|SIZE.VOLUME|
Karasal iklimde yýllýk yaðýþ miktarý kaç mm'dir|kaç mmdir||NUMERIC|SIZE.VOLUME|
Çöl ikliminde günlük sýcaklýk farký kaç dereceyi bulur|kaç dereceyi||NUMERIC|DEGREE|
Yüksek bulutlara ne denir|bulutlara denir||ENTITY|CLOUD|
Kümülüs bulutlarý kaç metre aralýðýnda bulunur|kaç metre||NUMERIC|RANGE|
Sirüs bulutlarý kaç metre yükseklikte bululur|kaç metre||NUMERIC|SIZE.HEIGHT|
Alize rüzgarlarý neye sebep olur|neye sebep olur||DESCRIPTION|EFFECT|
Sýcaklýk ve nem bakýmýndan farklý özellikteki hava kütlelerinin karþýlaþma alanlarýnda ne meydana gelir|ne meydana gelir||ENTITY|OTHERS|
Ýnsanlarýn barýnma ihtiyacý için ürettikleri barýnaklar neye göre farklýlýk gösterir|neye göre||DESCRIPTION|REASON|
Güneþ ýþýnlarýnýn kýrýlma ve yansýma miktarý neye göre artar|neye göre||DESCRIPTION|REASON|
Bulutlar neye göre sýnýflandýrýlýr|neye göre||DESCRIPTION|MANNER|
Yeryüzünde kaç farklý sýcaklýk kuþaðý oluþmuþtur|kaç farklý||NUMERIC|COUNT|
Su küre, taþ küre ve hava kürenin her birine yayýlmýþ olan küre hangisidir|küre||ENTITY|OTHERS|
Canlýlar küresi hangi kürelere yayýlmýþ durumdadýr|hangi kürelere||ENTITY|OTHERS|
Biyosfer hangi kürelere yayýlmýþtýr|hangi kürelere||ENTITY|OTHERS|
Doðal çevreyi kaç temel unsur oluþturur|kaç temel unsur||NUMERIC|COUNT|
Eþ sýcaklýk eðrilerine ne denir|Eþ sýcaklýk eðrilerine denir||ENTITY|ENTITY|
Doðal çevreyi oluþturan dört temel unsur hangileridir|dört temel unsur||DESCRIPTION|DESCRIPTION|
Doðal çevreyi oluþturan temel unsurlar hangileridir|temel unsurlar||DESCRIPTION|DESCRIPTION|
Genel olarak Ekvator'dan kutuplara gidildikçe sýcaklýk nasýl deðiþir|nasýl deðiþir||DESCRIPTION|EFFECT|
Yer Yuvarlaðýný meydana getiren iç içe geçmiþ kürelere ne isim verilir|kürelere isim||ENTITY|ENTITY|
Yer kabuðunun ortalama kalýnlýðý karalarda kaç km. aralýðýndadýr|kaç km||NUMERIC|RANGE|
Yer kabuðunun ortalama kalýnlýðý denizlerde ne kadardýr|ortalama kalýnlýðý ne kadardýr||NUMERIC|SIZE.WIDTH|
Granitik kabuðun bileþiminde en çok hangi elementler bulunur|hangi elementler||ENTITY|SUBSTANCE|
Bazaltik kabuðun bileþiminde en çok bulunan elementler hangileridir|elementler||ENTITY|SUBSTANCE|
Bazaltik kabuðun yoðunluðu ne kadardýr|yoðunluðu ne kadardýr||NUMERIC|SIZE.DENSITY|
Granitik kabuk hangi taþlardan meydana gelir|hangi taþlardan||ENTITY|SUBSTANCE|
Astenosfer adý verilen manto katmanýn derinliði kaç km. aralýðýnda yer alýr|kaç km||NUMERIC|RANGE|
Sývý haldeki astenosfer malzemesine ne denir|astenosfer malzemesine denir||ENTITY|SUBSTANCE|
Manto, Yer Yuvarlaðý hacminin yüzde kaçýný kaplamaktadýr|Yer Yuvarlaðý hacminin yüzde kaçýný||NUMERIC|PERCENTAGE|
Dýþ çekirdek neyden oluþur|neden oluþur||ENTITY|SUBSTANCE|
Ýç çekirdeðin sýcaklýðý kaç dereceyi bulur|kaç dereceyi||NUMERIC|DEGREE|
Yer kabuðunun ana maddesi olan ve minerallerden meydana gelen katý cisimlere ne ad verilir|katý cisimlere ad||DESCRIPTION|DEFINITION|
Direnci düþük kayaçlarýn bulunduðu arazilerde ne tür yer þekileri meydana gelir|ne tür yer þekilleri||ENTITY|ENTITY|
Ülkemizde volkanik tüflerin aþýnmasýyla oluþmuþ yer þekilleri nerede bulunur|nerede bulunur||LOCATION|LOCATION|
Tortul kayaçlarýn bir diðer adý nedir|kayaçlarýn adý||ENTITY|OTHERS|
Püskürük ve tortul kayaçlarýn aþýrý sýcaklýk ve basýnç altýnda kalarak deðiþime uðramasýyla oluþan kayaçlara ne isim verilir|kayaçlara isim||ENTITY|ENTITY|
Kayalarýn baþkalaþýma uðramasýna ne sebep olur|sebep olur||DESCRIPTION|REASON|
Yeryüzü þekillerinin oluþmasýna sebep olan nedir|sebep||DESCRIPTION|REASON|
Tektonik hareketlere neden olan enerji kaynaðý nedir|enerji kaynaðý||ENTITY|OTHERS|
Mantonun içerisindeki konveksiyon akýntýlarý hangi yönde hareket eder|hangi yönde||ENTITY|OTHERS|
Türkiye'deki Kuzey Anadolu Daðlarý ve Toros Daðlarý hangi jeolojik zamanda oluþmuþtur|hangi jeolojik zamanda||TEMPORAL|ERA|
Türkiye'deki Kuzey Anadolu Daðlarý ve Toros Daðlarý hangi orojenez sonucunda oluþmuþtur|hangi orojenez||ENTITY|OTHERS|
Epirojenik hareketler sýrasýnda denizin çekilmesine ne denir|denizin çekilmesine denir||DESCRIPTION|DEFINITION|
Lav nedir|Lav||DESCRIPTION|DEFINITION|
Volkanizma sonucu yüzeye sývý halde lavlar çýkarken gaz halinde çýkan nedir|gaz halinde çýkan||ENTITY|SUBSTANCE|
Volkanik kökenli adalarýn en fazla bulunduðu yer neresidir|yer neresidir||LOCATION|REGION|
Volkan tüfü kaç cm uzunluðundadýr|kaç cm||NUMERIC|SIZE.LENGTH|
Volkan tüfünün uzunluðu kaç cm.dir|kaç cmdir||NUMERIC|SIZE.LENGTH|
Aðrý Daðý hangi tür volkanlardandýr|hangi tür volkanlardandýr||ENTITY|ENTITY|
Yeryüzünde kaç tane etkin volkan vardýr|kaç tane etkin volkan||NUMERIC|COUNT|
Yeryüzündeki etkin volkanlarýn yüzde kaçý Büyük Okyanus çevresindedir|volkanlarýn yüzde kaçý||NUMERIC|PERCENTAGE|
Yeryüzündeki etkin volkanlarýn kaçý Büyük Okyanus çevresindedir|volkanlarýn kaçý||NUMERIC|COUNT|
Kaç çeþit deprem dalgasý vardýr|kaç çeþit||NUMERIC|COUNT|
Deprem dalgalarý içinde en hýzlý dalgalar hangileridir|dalgalar||ENTITY|ENTITY|
Deprem sýrasýnda yer kabuðuna ilk ulaþan dalgalar hangileridir|dalgalar||ENTITY|ENTITY|
Tsunami denen dev dalgalara ne sebep olur|sebep olur||DESCRIPTION|REASON|
Depremin aletle ölçülen büyüklüðüne ne denir|büyüklüðüne denir||DESCRIPTION|DEFINITION|
Ülkemizin de içinde bulunduðu deprem kuþaðý hangisidir|deprem kuþaðý||ENTITY|OTHERS|
Yeryüzünde depremlerin çoðunluðu nerede olur|nerede olur||LOCATION|REGION|
Yeryüzünde kendine özgü bir iklimi, bitki örtüsü ve hayvan topluluðu bulunduran bölgelere ne ad verilir|bölgelere ad||DESCRIPTION|DEFINITION|Biyom
Canlýlarýn çevreyle birlikte oluþturduklarý yaþam birlikteliklerine ne denir|yaþam birlikteliklerine denir||DESCRIPTION|DEFINITION|Ekosistem
Biyomlar neyin en büyük birimleridir|neyin birimleridir||DESCRIPTION|DESCIPTION|Ekosistemin
Ekosistemin en büyük birimi nedir|Ekosistemin birimi||ENTITY|OTHERS|Biyom
Biyomlarýn yeryüzüne daðýlýþýndaki en büyük etken koþul hangisidir|etken koþul||DESCRIPTION|REASON|Ýklim
Atmosferdeki Azot toplam gaz miktarýnýn yüzde kaçýný oluþturur|toplam gaz miktarýnýn yüzde kaçýný||NUMERIC|PERCENTAGE|78%
