Kılıçkaya barajı hangi ırmağın üzerinde yer almakatadır|ırmağın||ENTITY|RIVER|Yeşilırmak
Kıta bölünmeleri hangi jeolojik zamanda başlamıştır|jeolojik zamanda||TEMPORAL|ERA|II. zaman/Mezezoik
Köpek hangi çağda evcilleştirilmiştir|çağda||TEMPORAL|ERA|Mezolitik Çağ/orta taş çağı
Lavların ve tüflerin yeryüzüne çıkmak için izledikleri yola ne ad verilir|yola|izledikleri|DESCRIPTION|DEFINITION|Volkan bacası
Mendereslerde aşınma kısmına ne ad verilir|aşınma kısmına||DESCRIPTION|DEFINITION|Çaprak
Mendereslerde biriktirme kısmına ne ad verilir|biriktirme kısmına||DESCRIPTION|DEFINITION|Yığınak
Nil Deltası hangi ülkenin sınırları içerisindedir|ülkenin||LOCATION|COUNTRY|Mısır
Ormanların tahrip edilmesi sonucu oluşan bozkırlara ne denir|bozkırlara|oluşan|DESCRIPTION|DEFINITION|Antropojen Bozkır
Ozon oluşumu hangi katmanda oluşur|katmanda||ENTITY|OTHERS|Mezosfer- Ozonosfer
Pamukkale travertenleri hangi ilin sınırları içerisindedir|ilin||LOCATION|CITY|Denizli
Patamoloji nedir|Patamoloji||DESCRIPTION|DEFINITION|Akarsu bilimi
Rotterdam hangi ülkenin şehridir|ülkenin||LOCATION|COUNTRY|Hollanda
Rüzgârların taşıyarak oluşturdukları topraklara ne ad verilir|topraklara|taşıyarak oluşturdukları|DESCRIPTION|DEFINITION|Lös topraklar
Sakarya nehri hangi denize dökülür|denize||ENTITY|SEA|Karadeniz
Sanayi İnkılâbı ilk olarak hangi ülkede başlamıştır|ülkede||LOCATION|COUNTRY|İngiltere
Sıcak su kaynaklarından yararlanılarak elektrik enerjisi üreten santrallere nedir|santraller|elektrik enerjisi üreten|DESCRIPTION|DEFINITION|Jeotermal Santraller
Soma ovasını sulayan ırmağın adı nedir|ırmağın adı|sulayan|ENTITY|RIVER|Bakırçay
Susurluk çayının diğer adı nedir|Susurluk çayının adı|diğer|ENTITY|RIVER|Simav çayı
Suyun kinetik enerjisinden yararlanılarak elektrik üretimi yapılan santrallere ne ad verilir|santrallere|elektrik üretimi yapılan |DESCRIPTION|DEFINITION|Hidroelektrik Santral
Tarım, hayvancılık ve ticari faaliyetler ilk kez hangi çağda başlamıştır|çağda||TEMPORAL|ERA|Yeni taş çağı/Neolitik çağ
Taşkömürü yatakları hangi jeolojik zamanda oluşmuştur|jeolojik zamanda||TEMPORAL|ERA|1.Zaman/paleozik
Toros Dağları hangi jeolojik zamanda oluşmuştur|jeolojik zamanda||TEMPORAL|ERA|III.Zaman/Tersiyer
Tortum çayı hangi akarsuyun bir koludur|akarsuyun||ENTITY|RIVER|Çoruh Nehri
Türkiye arazisinin yüzde kaçı ormanlık alandır|Türkiye arazisinin yüzde||NUMERIC|PERCENTAGE|0.26
Türkiye en fazla hangi ülkeye işçi göçü vermiştir|ülkeye|en fazla|LOCATION|COUNTRY|Almanya
Türkiye'de azonal(taşınmış) topraklar içinde en yaygın olanı hangisidir|azonal(taşınmış) topraklar|en yaygın olanı|ENTITY|ENTITY|Alüvyal topraklar
Türkiye'de çayır ve otlakların en fazla olduğu bölge hangisidir|bölge|en fazla olduğu|LOCATION|REGION.LOCAL|Doğu Anadolu.
Türkiye'de cephesel yağışlar en çok hangi bölgede görülür|bölgede|en çok|LOCATION|REGION.LOCAL|Akdeniz.
Türkiye'de ekili dikili alanların en az yer kapladığı bölge hangisidir|bölge|en az yer kapladığı|LOCATION|REGION.LOCAL|Doğu Anadolu
Türkiye'de ekili dikili alanların en fazla yer kapladığı bölge hangisidir|bölge|en fazla yer kapladığı|LOCATION|REGION.LOCAL|Marmara.
Türkiye'de en az insan nüfusuna sahip olan şehir hangisidir|şehir|en az insan nüfusuna sahip olan |LOCATION|CITY|Bayburt
Türkiye'de en fazla pirinç tarımının yapıldığı akarsu havzasının ismi nedir|akarsu havzasının ismi|pirinç tarımının yapıldığı|ENTITY|RIVER|Ergene/Meriç
Türkiye'de güneyden esen rüzgârın ismi nedir|rüzgârın ismi|esen|ENTITY|WIND|Kıble
Türkiye'de heyelan set göllerinin en fazla görüldüğü bölge neresidir|bölge neresidir|en fazla görüldüğü|LOCATION|REGION.LOCAL|Karadeniz Bölgesi
Türkiye'deki denizlerden en az tuzluluk oranına sahip olan deniz hangisidir|deniz|en az tuzluluk oranına sahip olan |ENTITY|SEA|Karadeniz
Türkiye'deki su kaynaklarının en bol olduğu bölge hangisidir|bölge|en bol olduğu|LOCATION|REGION.LOCAL|Doğu Anadolu
Türkiye'de tarım alanları ülke arazisinin yüzde kaçını oluşturur|ülke arazisinin yüzde||NUMERIC|PERCENTAGE|0.33
Türkiye'de üzerinde ulaşım ve taşımacılık yapılan akarsu hangisidir|akarsu|yapılan|ENTITY|RIVER|Bartın çayı/Kocaırmak
Türkiye'nin doğusundan esen soğuk ve kuru rüzgâr hangisidir|rüzgâr|esen , kuru|ENTITY|WIND|Gündoğusu
Türkiye'nin en büyük baraj gölü hangisidir|baraj gölü|en büyük|ENTITY|OTHERS|Atatürk
Türkiye'nin en büyük ovasının adı nedir|ovasının adı|en büyük|ENTITY|PLAIN|Konya Ovası
Türkiye'nin en geniş kapalı havzası hangi bölgemizdedir|bölgemizdedir||LOCATION|REGION.LOCAL|İç Anadolu
Türkiye'nin en geniş yüz ölçümüne sahip şehri neresidir|şehri neresidir|en geniş|LOCATION|CITY|Konya
Türkiye'nin en yüksek dağı hangisidir|dağı|esen , yerel|ENTITY|MOUNTAIN|Ağrı Dağı
Türkiye'nin kuzeybatısından esen yerel rüzgârın adı nedir|rüzgârın adı|esen , yerel|ENTITY|WIND|Karayel
Türkiye'nin nüfusu ne kadardır|nüfusu||NUMERIC|SIZE.POPULATION|Yaklaşık 76 Milyon
Türkiye'ye batıdan esen sıcak nemli rüzgâr hangisidir|rüzgâr|esen , sıcak nemli|ENTITY|WIND|Günbatısı
Türkiye'ye kuzeyden esen rüzgâra ne denir|rüzgâra|esen|ENTITY|WIND|Yıldız
Türkiye'ye kuzeydoğudan esip genellikle soğuk getiren rüzgâr hangisidir|rüzgâr|esip genellikle soğuk getiren|ENTITY|WIND|Poyraz
Ülke sınırlarını gösteren haritalar hangileridir|haritalar|gösteren|DESCRIPTION|DEFINITION|Siyası Haritalar.
Ülkemizde cumhuriyet öncesi ilk nüfus sayımı hangi tarihte yapılmıştır|tarihte||TEMPORAL|DATE|1831
Ülkemize çölden esen rüzgâr hangisidir|rüzgâr|esen|ENTITY|WIND|Sam Yeli
Umit Burnu hangi kıtadadır|kıtadadır||LOCATION|CONTINENT|Afrika
Ümit Burnuna ilk kez ulaşan denizci kimdir|denizci|ilk kez ulaşan|HUMAN|INDIVIDUAL|Vasco da Gama
Volkan konisinin tepe kısmındaki çukur kısıma ne denilmektedir|kısıma denilmektedir|tepe kısmındaki , çukur|DESCRIPTION|DEFINITION|Volkan ağzı/krater
Volkanlardan çıkan akışkan maddelere ne ad verilir|akışkan maddelere|çıkan , akışkan|DESCRIPTION|DEFINITION|Lav
Volkanlardan çıkan katı maddelere ne ad verilir|katı maddelere|çıkan , katı|DESCRIPTION|DEFINITION|Volkan tüfü
Yer şekillerini gösteren haritaların adı nedir|haritaların adı|gösteren|DESCRIPTION|DEFINITION|Fiziki Haritalar
Yerkürenin en ince tabakası hangisidir|Yerkürenin tabakası|en ince|ENTITY|OTHERS|Litosfer/Taşküre
Yerkürenin en kalın katmanı hangisidir|Yerkürenin katmanı|en kalın|ENTITY|OTHERS|Çekirdek
Yerkürenin hemen üzerinde yer alan atmosfer tabakasının adı nedir|Yerkürenin atmosfer tabakasının adı|üzerinde yer alan|ENTITY|OTHERS|Troposfer
Yeryüzündeki kayaçlar kaç ana grupta sınıflandırılır|ana grupta||NUMERIC|COUNT|3
Yükselim yağışları Türkiye'de en çok hangi bölgede görülür|bölgede|en çok|LOCATION|REGION.LOCAL|İç Anadolu
Yüzeye çıkan lav ve tüfün oluşturduğu yer şeklinin adı nedir|yer şeklinin adı|oluşturduğu|DESCRIPTION|DEFINITION|Volkan Konisi
Zorunlu göçler üzerinde etkili olan faktörlere ne isim verilir|faktörlere isim|etkili olan|DESCRIPTION|DEFINITION|İtici faktörler
Yeryüzündeki büyük kara parçalarına ne ad verilir|büyük kara parçalarına|ffbüyük|DESCRIPTION|DEFINITION|Kıta
Türkiye, hangi kıtalar arasında yer almaktadır|kıtalar||LOCATION|CONTINENT|Asya Avrupa
Bir yerin deniz seviyesinden yüksekliği neyle ifade edilir|yüksekliği neyle ifade edilir||DESCRIPTION|DEFINITION|Rakım
Canlı, cansız varlıkların bütünü neyi ifade eder|neyi ifade||DESCRIPTION|DEFINITION|Doğa
Karınca yuvalarının açık önü hangi yönü gösterir|yönü||ENTITY|OTHERS|Kuzey
Ağaçların ve taşların yosun tutan tarafı hangi yönü gösterir|yönü||ENTITY|OTHERS|Kuzey
Bir yerin tepeden görünümüne ne ad verilir|görünümüne||DESCRIPTION|DEFINITION|Kuş bakışı
Bir yerin kuş bakışı taslak çizimine ne denir|taslak çizimine||DESCRIPTION|DEFINITION|Kroki
Hava sıcaklığını ölçen araca ne ad verilir|araca|ölçen|DESCRIPTION|DEFINITION|Termometre
Yüksekliği 500m'den fazla olan yerlere ne ad verilir|yerlere|fazla olan|ENTITY|ENTITY|Dağ
Üç tarafı sularla kaplı kara parçasına ne ad verilir|kara parçasına|sularla kaplı|ENTITY|ENTITY|Yarımada
Çevresine göre daha alçakta bulunan ve tarıma elverişli geniş, düz kara parçasına ne ad verilir|kara parçasına|elverişli geniş , düz|ENTITY|ENTITY|Ova
Karaların denizlere doğru olan dar uzantısına ne ad verilir|Karaların uzantısına|doğru olan , dar|ENTITY|ENTITY|Burun
Dağlar haritada hangi renkle gösterilir|renkle||ENTITY|OTHERS|Kahverengi
Deniz ve göller haritada hangi renkle gösterilir|renkle||ENTITY|OTHERS|Mavi
Haritada ovalar hangi renkte gösterilir|renkte||ENTITY|OTHERS|Sarı
Denizlerle bağlantısı olmayan su birikintilerine ne ad verilir|su birikintilerine|bağlantısı olmayan|ENTITY|ENTITY|göl
Atatürk Barajı hangi nehir üzerinde kurulmuştur|nehir||ENTITY|RIVER|Fırat
Dünyanın yıllık hareketi sırasında güneş çevresinde izlediği yörüngeye ne ad verilir|yörüngeye|izlediği|ENTITY|OTHERS|
Türkiye'de en uzun gündüz hangi tarihlerde yaşanır|tarihlerde||TEMPORAL|PERIOD|
Cebelitarık boğazı hangi deniz ve okyanusu birbirine bağlar|deniz ve okyanusu||ENTITY|SEA|Akdeniz ve Atlas Okyanusu
Bir yerin enlem ve boylamlar yardımıyla belirtilen konumuna ne ad verilir|konumuna|enlem ve boylamlar yardımıyla belirtilen |DESCRIPTION|DEFINITION|
Yeryüzündeki bir noktanın ekvatora en yakın uzaklığının açı olarak değerine ne denir|değerine||DESCRIPTION|DEFINITION|
Dünya üzerindeki bir noktanın başlangıç meridyenine en yakin uzaklığının açı cinsinden değerine ne ad verilir|açı cinsinden değerine||DESCRIPTION|DEFINITION|
Bakü-Ceyhan petrol boru hattı Türkiye ile hangi Türk devleti arasındadır|Türk devleti||LOCATION|COUNTRY|
Türkiye'de maden yatakları ve çeşitleri bakımından en zengin bölge hangisidir|bölge|en zengin|LOCATION|REGION.LOCAL|
Türkiye'nin en yüksek bölgesi hangisidir|bölgesi|en yüksek|LOCATION|REGION.LOCAL|
Ülkemizde en çok nüfusu olan il hangisidir|il|en çok nüfusu olan |LOCATION|CITY|İstanbul
İç Anadolu Bölgesi'nde hangi iklim türü hâkimdir|iklim||ENTITY|OTHERS|
Fiziki haritada tarım alanlarına uygun yerler hangi renkle gösterilir|renkle||ENTITY|OTHERS|
Çevresine göre çukurda kalmış, akarsuların derine gömülmeden aktıkları dar veya geniş düzlüklere ne ad verilir|dar veya geniş düzlüklere|geniş|DESCRIPTION|DEFINITION|
Gerçek ölçülerin küçültülerek çizilmesine ne denir|çizilmesine||DESCRIPTION|DEFINITION|
Uzun yıllar devam eden atmosfer olaylarının ortalama durumunu inceleyen bilim dalı hangisidir|bilim dalı|inceleyen|DESCRIPTION|DEFINITION|
Okyanus, deniz, göl, akarsu, kaynak suları ve yer altı sularının bütününe ne ad verilir|bütününe||ENTITY|OTHERS|
Geçtiği kıyılarda havanın soğumasına neden olan sulara ne denir|sulara|havanın soğumasına neden olan |DESCRIPTION|DEFINITION|
Yeryüzünde en soğuk ay ortalaması 10 C'nin üzerinde olan iklim kuşağına ne isim verilir|iklim kuşağına isim|olan|ENTITY|OTHERS|
Yer kürede hangi yönden esen rüzgarlar sıcaklığı yükseltir|yönden|esen|ENTITY|OTHERS|
Gulf Stream sıcak su akıntısı hangi yönde hareket eder|yönde||ENTITY|OTHERS|
Gulf Stream sıcak su akıntısı nereleri etkiler|nereleri||ENTITY|REGION|
Alize rüzgarlarının da etkisiyle oluşan sıcak okyanus akıntısının adı nedir|okyanus akıntısının adı|oluşan , sıcak|ENTITY|STREAM|
Alize rüzgarlarının da etkisiyle oluşan sıcak okyanus akıntısına ne isim verilir|okyanus akıntısına isim|oluşan , sıcak|ENTITY|STREAM|
Yeryüzünde en çok ısınan alanlar nerelerdir|alanlar nerelerdir|en çok ısınan|LOCATION|REGION|
Denizlerde güneş ışınları kaç metreye kadar etkilidir|metreye kadar||NUMERIC|SIZE.DEPTH|
Rüzgarın hızı neyle ölçülür|hızı neyle ölçülür||ENTITY|INSTRUMENT|
Kuzey Amerika'nın doğu kıyılarının batı kıyılarına göre daha soğuk olmasına sebep olan nedir|sebep olan||DESCRIPTION|REASON|
Güneş ışınlarını dik açıyla alan Ekvator çevresinin Dünya'nın en sıcak yeri olmamasının sebebi nedir|olmamasının sebebi||DESCRIPTION|REASON|
Günün en soğuk anı ne zamandır|zamandır|en soğuk|TEMPORAL|PERIOD|
Neden ve sonuç bakımından karmaşık coğrafya olaylarını incelerken hangi coğrafya ilkesine başvurulur|coğrafya ilkesine||ENTITY|OTHERS|
Dağ zirvelerinde nem miktarı ne kadardır|nem miktarı||DESCRIPTION|QUANTITY|
Karalarda güneş ışınlarının etkili olduğu derinlik ne kadardır|derinlik||NUMERIC|SIZE.DEPTH|
Yeryüzünde soğuk kuşak olarak adlandırılan iklim kuşağında en sıcak ayın ortalama sıcaklığı ne kadardır|ortalama sıcaklığı||NUMERIC|AVERAGE|
Muson ikliminde yıllık sıcaklık farkı ne kadardır|sıcaklık farkı||NUMERIC|DEGREE|
Ekvatoral iklimde yıllık yağış miktarı ne kadardır|yağış miktarı||NUMERIC|SIZE.VOLUME|
Karasal iklimde yıllık yağış miktarı kaç mm'dir|mmdir||NUMERIC|SIZE.VOLUME|
Çöl ikliminde günlük sıcaklık farkı kaç dereceyi bulur|dereceyi bulur||NUMERIC|DEGREE|
Yüksek bulutlara ne denir|bulutlara|Yüksek|ENTITY|CLOUD|
Kümülüs bulutları kaç metre aralığında bulunur|metre aralığında||NUMERIC|RANGE|
Sirüs bulutları kaç metre yükseklikte bululur|metre bululur|metre , yükseklikte|NUMERIC|SIZE.HEIGHT|
Alize rüzgarları neye sebep olur|neye sebep olur||DESCRIPTION|EFFECT|
Sıcaklık ve nem bakımından farklı özellikteki hava kütlelerinin karşılaşma alanlarında ne meydana gelir|meydana gelir||ENTITY|OTHERS|
İnsanların barınma ihtiyacı için ürettikleri barınaklar neye göre farklılık gösterir|barınaklar farklılık gösterir||DESCRIPTION|REASON|
Güneş ışınlarının kırılma ve yansıma miktarı neye göre artar|yansıma miktarı artar||DESCRIPTION|REASON|
Bulutlar neye göre sınıflandırılır|Bulutlar sınıflandırılır||DESCRIPTION|MANNER|
Yeryüzünde kaç farklı sıcaklık kuşağı oluşmuştur|farklı sıcaklık kuşağı|farklı|NUMERIC|COUNT|
Su küre, taş küre ve hava kürenin her birine yayılmış olan küre hangisidir|küre|yayılmış olan|ENTITY|OTHERS|
Canlılar küresi hangi kürelere yayılmış durumdadır|kürelere||ENTITY|OTHERS|
Biyosfer hangi kürelere yayılmıştır|kürelere||ENTITY|OTHERS|
Doğal çevreyi kaç temel unsur oluşturur|temel unsur oluşturur|temel|NUMERIC|COUNT|
Eş sıcaklık eğrilerine ne denir|Eş sıcaklık eğrilerine||ENTITY|ENTITY|
Doğal çevreyi oluşturan dört temel unsur hangileridir|dört temel unsur|oluşturan , dört|DESCRIPTION|DESCRIPTION|
Doğal çevreyi oluşturan temel unsurlar hangileridir|temel unsurlar|oluşturan , temel|DESCRIPTION|DESCRIPTION|
Genel olarak Ekvator'dan kutuplara gidildikçe sıcaklık nasıl değişir|nasıl değişir||DESCRIPTION|EFFECT|
Yer Yuvarlağını meydana getiren iç içe geçmiş kürelere ne isim verilir|kürelere isim||ENTITY|ENTITY|
Yer kabuğunun ortalama kalınlığı karalarda kaç km. aralığındadır|km aralığındadır||NUMERIC|RANGE|
Yer kabuğunun ortalama kalınlığı denizlerde ne kadardır|ortalama kalınlığı||NUMERIC|SIZE.WIDTH|
Granitik kabuğun bileşiminde en çok hangi elementler bulunur|elementler|en çok|ENTITY|SUBSTANCE|
Bazaltik kabuğun bileşiminde en çok bulunan elementler hangileridir|elementler|en çok bulunan|ENTITY|SUBSTANCE|
Bazaltik kabuğun yoğunluğu ne kadardır|yoğunluğu||NUMERIC|SIZE.DENSITY|
Granitik kabuk hangi taşlardan meydana gelir|taşlardan||ENTITY|SUBSTANCE|
Astenosfer adı verilen manto katmanın derinliği kaç km. aralığında yer alır|km aralığında yer alır||NUMERIC|RANGE|
Sıvı haldeki astenosfer malzemesine ne denir|astenosfer malzemesine|Sıvı haldeki|ENTITY|SUBSTANCE|
Manto, Yer Yuvarlağı hacminin yüzde kaçını kaplamaktadır|Yer Yuvarlağı hacminin yüzde||NUMERIC|PERCENTAGE|
Dış çekirdek neyden oluşur|neden oluşur||ENTITY|SUBSTANCE|
İç çekirdeğin sıcaklığı kaç dereceyi bulur|dereceyi bulur||NUMERIC|DEGREE|
Yer kabuğunun ana maddesi olan ve minerallerden meydana gelen katı cisimlere ne ad verilir|katı cisimlere|katı|DESCRIPTION|DEFINITION|
Direnci düşük kayaçların bulunduğu arazilerde ne tür yer şekileri meydana gelir|tür yer şekilleri||ENTITY|ENTITY|
Ülkemizde volkanik tüflerin aşınmasıyla oluşmuş yer şekilleri nerede bulunur|yer şekilleri bulunur||LOCATION|LOCATION|
Tortul kayaçların bir diğer adı nedir|kayaçların adı|Tortul , diğer|ENTITY|OTHERS|
Püskürük ve tortul kayaçların aşırı sıcaklık ve basınç altında kalarak değişime uğramasıyla oluşan kayaçlara ne isim verilir|kayaçlara isim|değişime uğramasıyla oluşan |ENTITY|ENTITY|
Kayaların başkalaşıma uğramasına ne sebep olur|sebep olur||DESCRIPTION|REASON|
Yeryüzü şekillerinin oluşmasına sebep olan nedir|sebep||DESCRIPTION|REASON|
Tektonik hareketlere neden olan enerji kaynağı nedir|enerji kaynağı|neden olan|ENTITY|OTHERS|
Mantonun içerisindeki konveksiyon akıntıları hangi yönde hareket eder|yönde||ENTITY|OTHERS|
Türkiye'deki Kuzey Anadolu Dağları ve Toros Dağları hangi jeolojik zamanda oluşmuştur|jeolojik zamanda||TEMPORAL|ERA|
Türkiye'deki Kuzey Anadolu Dağları ve Toros Dağları hangi orojenez sonucunda oluşmuştur|orojenez||ENTITY|OTHERS|
Epirojenik hareketler sırasında denizin çekilmesine ne denir|denizin çekilmesine||DESCRIPTION|DEFINITION|
Lav nedir|Lav||DESCRIPTION|DEFINITION|
Volkanizma sonucu yüzeye sıvı halde lavlar çıkarken gaz halinde çıkan nedir|gaz halinde çıkan|gaz halinde|ENTITY|SUBSTANCE|
Volkanik kökenli adaların en fazla bulunduğu yer neresidir|yer neresidir||LOCATION|REGION|
Volkan tüfü kaç cm uzunluğundadır|cm uzunluğundadır||NUMERIC|SIZE.LENGTH|
Volkan tüfünün uzunluğu kaç cm.dir|cm.dir||NUMERIC|SIZE.LENGTH|
Ağrı Dağı hangi tür volkanlardandır|tür volkanlardandır||ENTITY|ENTITY|
Yeryüzünde kaç tane etkin volkan vardır|tane etkin volkan|etkin|NUMERIC|COUNT|
Yeryüzündeki etkin volkanların yüzde kaçı Büyük Okyanus çevresindedir|volkanların yüzde||NUMERIC|PERCENTAGE|
Yeryüzündeki etkin volkanların kaçı Büyük Okyanus çevresindedir|volkanların kaçı||NUMERIC|COUNT|
Kaç çeşit deprem dalgası vardır|çeşit||NUMERIC|COUNT|
Deprem dalgaları içinde en hızlı dalgalar hangileridir|dalgalar|en hızlı|ENTITY|ENTITY|
Deprem sırasında yer kabuğuna ilk ulaşan dalgalar hangileridir|dalgalar|ilk ulaşan|ENTITY|ENTITY|
Tsunami denen dev dalgalara ne sebep olur|sebep olur||DESCRIPTION|REASON|
Depremin aletle ölçülen büyüklüğüne ne denir|Depremin büyüklüğüne|aletle ölçülen|DESCRIPTION|DEFINITION|
Ülkemizin de içinde bulunduğu deprem kuşağı hangisidir|deprem kuşağı|Ülkemizin de içinde bulunduğu |ENTITY|OTHERS|
Yeryüzünde depremlerin çoğunluğu nerede olur|depremlerin çoğunluğu olur||LOCATION|REGION|
Yeryüzünde kendine özgü bir iklimi, bitki örtüsü ve hayvan topluluğu bulunduran bölgelere ne ad verilir|bölgelere|bulunduran|DESCRIPTION|DEFINITION|Biyom
Canlıların çevreyle birlikte oluşturdukları yaşam birlikteliklerine ne denir|yaşam birlikteliklerine|birlikte oluşturdukları|DESCRIPTION|DEFINITION|Ekosistem
Biyomlar neyin en büyük birimleridir|Biyomlar birimleridir|en büyük|DESCRIPTION|DESCIPTION|Ekosistemin
Ekosistemin en büyük birimi nedir|Ekosistemin birimi|en büyük|ENTITY|OTHERS|Biyom
Biyomların yeryüzüne dağılışındaki en büyük etken koşul hangisidir|etken koşul|dağılışındaki , en büyük|DESCRIPTION|REASON|İklim
Atmosferdeki Azot toplam gaz miktarının yüzde kaçını oluşturur|toplam gaz miktarının yüzde||NUMERIC|PERCENTAGE|78%
Denizler ve okyanuslar yeryüzünün yüzde kaçını meydana getirir|yeryüzünün yüzde||NUMERIC|PERCENTAGE|71%
