Biology Factoid Questions|||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer
Akciğer atardamarı hariç bütün atardamarlar kalbe hangi tür kan taşır?|tür kan||ENTITY|SUBSTANCE|temiz kan  
Akciğer toplardamarı hariç bütün toplardamarlar hangi tür kan taşır?|tür kan||ENTITY|SUBSTANCE|kirli kan  
Akciğerlerdeki hava basıncının atmosfer basıncına göre düşmesi sonucu dışardaki havanın akciğerlere hücum etmesine olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|soluk alma  
Akciğerlerdeki hava basıncının atmosfer basıncına göre fazla olması sonucunda akciğerlerde sıkışan havanın dışarı verilmesi olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|soluk verme  
Akıcı mozaik zar modeli ne zaman ortaya atılmıştır?|zaman ortaya atılmıştır||TEMPORAL|DATE|1972
Akıcı mozaik zar modelini kimler ortaya atmıştır?|ortaya atmıştır||HUMAN|INDIVIDUAL|Singer ve Nicholson
Akşamsefası çiçeklerinin gündüz ışık şiddetine bağlı olarak kapanıp, karanlıkta açılması hareketi, hangi nasti hareketine örnektir?|nasti hareketine||ENTITY|PROCESS.PLANT|fotonasti 
Aksonların sinaps boşluğunda sonlanan ucuna ne ad verilir?|ucuna||ENTITY|SECTION.ANIMAL|sinaptik yumru  
Aksonun elektriksel izolasyonunu sağlayarak, uyartı iletimini hızlandıran yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|miyelinli kılıf  
Aktif hareket edemeyen kan akışıyla bir yerden başka bir yere taşınan hücrelere ne ad verilir?|hücrelere||ENTIRY|CELL.TYPE|alyuvar(eritrosit)  
Aktif taşıma için gerekli enerji nereden sağlanır?|enerji sağlanır||ENTITY|SUBSTANCE|ATP
Aktin ve miyozin denilen kas proteinlerinden oluşan yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|miyofibril
Aktin ve miyozin iplikçiklerin bulunduğu, koyu renkli görünen banda ne ad verilir?|banda||DESCRIPTION|DEFINITION|A bandı  
Akyuvar hücrelerinin kandaki bakterileri yemesi hangi yolla gerçekleşir?|yolla||ENTITY|PROCESS.ANIMAL|Fagositoz
Alel genlerin fenotipteki etkilerinin birbirine eşit olduğu olaya ne ad verilir?|olaya||DESCRIPTION|DEFINITION|eş baskınlık  
Alerjik reaksiyonlara yol açan antijenlere ne denir?|antijenlere||ENTITY|DISEASE|alerjen
Alerjik reaksiyonların başlamasından sorumlu olan, humoral bağışıklık oluşumunda üretilen antikora nedir?|antikora||ENTIRY|CELL.TYPE|IgE antikoru  
Alglerin büyük çoğunluğu nerede yaşar?|yaşar||LOCATION|LOCATION|Suda
Alyuvar içermediği için renksiz olan, lenf damarlarına giren doku sıvısına ne ad verilir?|doku sıvısına||ENTITY|SUBSTANCE|lenf(akkan)  
Alyuvar zarında bulunan ve kan grubumuzun belirlenmesinde rol oynayan oligosakkaritlere ne ad verilir?|oligosakkaritlere||ENTIRY|CELL.TYPE|antijen
Amip, öglena gibi bazı bir hücreli canlılarda, süngerlerde ve sölenterlerde görülen sindirim biçimi nedir?|sindirim biçimi||ENTITY|PROCESS.ANIMAL|hücre içi sindirim  
Ana bireyin vücudunda oluşan bir çıkıntının, anadan ayrılarak yeni birey meydana getirmesi olayına ne denir?|olayına||ENTITY|PROCESS.PLANT|Tomurcuklanma
Ana bitkinin olgun parçacıklarının mitoz sayesinde büyüyerek yeni bitkiler oluşturmasına ne denir?|oluşturmasına||ENTITY|PROCESS.ANIMAL|Vejetatif üreme
Ana kökün kalınlaşarak ve toprağın içine doğru uzayarak iyi geliştiği, yan köklerin ise az geliştiği kök çeşidi hangisidir?|kök çeşidi||ENTITY|SECTION.PLANT|kazık kök  
Anilin moru ilk ne zaman sentezlenmiştir?|zaman sentezlenmiştir||TEMPORAL|DATE|1856
Anilin morunu ilk kim sentezlemiştir?|sentezlemiştir||HUMAN|INDIVIDUAL|William Perkin
Antijen ile karşılaşmada ilk ve en erken sentezlenen humoral bağışıklık oluşumunda üretilen antikora nedir?|antikora||ENTIRY|CELL.TYPE|IgM antikoru  
Araba kornasının çıkardığı ortalama ses kaç desibeldir?|desibeldir||NUMERIC|COUNT|110
Araştırılacak probleme çözüm önerisi getiren, öncül gözlemlere ve tecrübelere dayanan, mevcut bilgi birikimi ışığında hazırlanmış, test edilebilir açıklamaya ne ad verilir?|açıklamaya||DESCRIPTION|DEFINITION|Hipotez
Aristo canlıları sınıflandırırken hangi özelliklerini dikkate almıştır?|özelliklerini||DESCRIPTION|DESCRIPTION|Dış görünüş ve yaşama yeri
Arkebakteriler alemi kaç yılında tanımlandı?|yılında tanımlandı||TEMPORAL|DATE|1977
Arkebakteriler alemini tanımlayan bilim insanı kimdir?|bilim insanı||HUMAN|INDIVIDUAL|Carl woese
Asetik asidi ilk kim sentezlemiştir? |sentezlemiştir||HUMAN|INDIVIDUAL|Hermann Kolbe
Asetik asit ilk ne zaman sentezlenmiştir?|zaman sentezlenmiştir||TEMPORAL|DATE|1845
Aseton yağı nasıl çözer?|çözer||DESCRIPTION|DESCRIPTION|Hayır
Aşırı salgılandığında akramegali hastalığına sebep olan hormon hangisidir?|hormon||ENTITY|SECTION.ANIMAL|Hipofiz
Aspirinin etken maddesi nedir?|maddesi|etken|ENTITY|SUBSTANCE|Salisin
Atardamar ve toplardamarlar arasında bulunan, dokular ile kan arasındaki madde alış verişini sağlayan damarlara ne ad verilir?|damarlara||ENTITY|SECTION.ANIMAL|kılcal damarlar  
Ateş böceğinden tütün bitkisine yapılan ilk gen nakli ne zaman gerçekleştirilmiştir?|zaman gerçekleştirilmiştir||TEMPORAL|DATE|1986
Ateş böceğinden tütün bitkisine yapılan ilk gen naklini gerçekleştiren kimdir?|gerçekleştiren||HUMAN|INDIVIDUAL|Steven howell
Atom bombası fikrini ortaya kim atmıştır?|atmıştır||HUMAN|INDIVIDUAL|Einstein
Atomun çekirdeğinden elde edilen enerjiye ne denir?|enerjiye||DESCRIPTION|DEFINITION|Nükleer enerji
Atomun kararsız hâlden kararlı hâle gelirken yaydığı alfa, beta ve gama ışınlarına ne denir?|ışınlarına||ENTITY|ENTITY|Radyasyon
ATP molekülünden bir fosfat koparıldığında 7300 kalorilik enerji açığa çıkıyorsa, iki fosfat koparıldığında ne kadar enerji açığa çıkar?|enerji||NUMERIC|COUNT|10950
Avlanma-rekabet ve hastalık, bitki ve hayvanların yeryüzüne dağılımını etkileyen hangi faktörlerdendir?|faktörlerdendir||DESCRIPTION|EFFECT|biyotik faktörler  
Aynı anda kasılıp aynı anda gevşeyen kaslara ne ad verilir?|kaslara||ENTITY|MUSCLE.TYPE|sinerjist kas 
Aynı bölgede yaşayan ve birbirleriyle etkileşim içerisinde olan popülasyonların oluşturduğu topluluğa ne denir?|topluluğa||DESCRIPTION|DEFINITION|Komünite
Aynı türe ait bireyler arasındaki rekabete ne denir?|rekabete||DESCRIPTION|DEFINITION|Tür içi rekabet  
Aynı türe ait, belirli bir alanda yaşayan ve bu alandaki komünitenin bir parçası olarak görev yapan bireyler topluluğuna ne ad verilir?|bireyler topluluğuna||DESCRIPTION|DEFINITION|popülasyon
Azot gazı atmosferin yüzde kaçını oluşturur?|yüzde||NUMERIC|PERCENTAGE|78%
B kan grubuna sahip bir kişinin alyuvarında hangi antijen vardır?|antijen||ENTIRY|CELL.TYPE|B antijeni  
B kan grubuna sahip bir kişinin plazmasında hangi antikor vardır?|antikor||ENTIRY|CELL.TYPE|Anti- A 
B lenfositleri ve antikorlarla oluşturulan bağışıklığa ne ad verilir?|bağışıklığa||DESCRIPTION|DEFINITION|humoral(sıvısal) bağışıklık  
Bağımsız değişkene bağlı olarak değişen değişkene ne denir?|değişkene||DESCRIPTION|DEFINITION|Bağımlı değişken
Bakteri alemi yaklaşık kaç türden oluşur?|türden oluşur||NUMERIC|COUNT|5000
Bakteri kelimesi ilk kez ne zaman kullanıldı?|zaman kullanıldı||TEMPORAL|DATE|1838
Bakteri kelimesini ilk kez kullanan bilim insanı kimdir?|bilim insanı||HUMAN|INDIVIDUAL|Christian gotfried ehrenberg
Bakteriler dünyada yaklaşık kaç yıldır bulunmaktadır?|yıldır|yaklaşık|NUMERIC|AVERAGE|3,5 milyar yıl
Bakteriler hangi canlı grubu içinde incelenirler?|canlı grubu||ENTITY|MONERA|Monera
Bakterilerde genetik bilgiyi taşıyan madde nedir?|madde||ENTITY|SUBSTANCE|Nükleik asit
Bakterilere, virüsler aracılığı ile gen aktarımı olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|Transdüksiyon
Bakterileri enfekte eden virüslere ne ad verilir?|virüslere||ENTITY|VIRUS|bakteriyofaj ya da kısaca faj 
Bakterileri fagositozla yok eden granüllü akyuvarlara ne ad verilir?|akyuvarlara|granüllü|ENTIRY|CELL.TYPE|nötrofil
Bakterileri konakçı hücre olarak kullanan virüslere ne denir?|virüslere||ENTITY|VIRUS|Bakteriyofaj
Bakterilerin ortamdaki DNA'yı içlerine almasına ne denir?|içlerine almasına||ENTITY|PROCESS.ANIMAL|Transformasyon
Balık pulluluk hangi eşey kromozom ile kalıtılır?|kromozom|eşey|ENTIRY|CELL.TYPE|Y kromozomu  
Balık ve kurbağaların döllenmiş yumurtalarında hangi embriyonik örtü bulunur?|embriyonik örtü||ENTITY|ANIMAL.STRUCTURE|Vitellüs kesesi
Balıklar kaç grupta incelenir?|grupta incelenir||NUMERIC|COUNT|2
Balıklar omurgalı canlı grubunun tüm üyeleri nerede yaşar?|yaşar||LOCATION|LOCATION|Suda
Balıklar suda hareket etmek için hangi yapıdan faydalanır?|yapıdan||ENTITY|ANIMAL.STRUCTURE|Yüzgeç
Balıklarda azotlu boşaltım ürünü nedir?|boşaltım ürünü|azotlu|ENTITY|SUBSTANCE|amonyak
Basınç-akış teorisine göre, sıvı basıncının yüksek olduğu yerden düşük olduğu yere doğru organik moleküller hangi yapı ile taşınır?|yapı||ENTITY|PLANT.STRUCTURE|floem
Bazı bireylerde yaşlanmaya bağlı kemik hücresi kaybı, genetik özellikler,  D vitamini, kalsiyum gibi minerallerin eksikliği nedeniyle kemik ara maddesinin azalması sonucu oluşan kemik doku hastalığına ne ad verilir?|kemik doku hastalığına||ENTITY|DISEASE|osteoporoz
Bazı omurgasızlarda ve omurgalıların tamamında görülen, kanın damar sistemi içinde dolaştığı dolaşım türü nedir?|dolaşım türü||ENTITY|PROCESS.ANIMAL|kapalı dolaşım  
Belirli bir alanda yaşayan ve farklı türlere ait popülasyonlardan oluşan canlılar topluluğuna ne ad verilir?|canlılar topluluğuna||DESCRIPTION|DEFINITION|komünite
Belirli bir bölgede bulunan aynı türe ait bireylerin oluşturduğu topluluğa ne denir?|topluluğa||ENTITY|ENTITY|Popülasyon
Belirli bir bölgede uzun bir zaman içinde türlerin aşamalı olarak birbirlerinin yerini almalarına ne ad verilir?|yerini almalarına|birbirlerinin|DESCRIPTION|DEFINITION|süksesyon
Belirli bir olayın belli şartlar altında nasıl gerçekleştiğini tarif eden bilgilere ne denir?|bilgilere||DESCRIPTION|DEFINITION|Kanun
Benzenin yapısı ne zaman keşfedilmiştir?|zaman keşfedilmiştir||TEMPORAL|DATE|1865
Benzenin yapısını kim keşfetmiştir?|yapısını keşfetmiştir||HUMAN|INDIVIDUAL|August Kekule
Benzerlik ve farklılıkların ortaya çıkmasını sağlayan faktörleri, bu faktörlerin nesilden nesile nasıl geçtiğini araştıran bilim dalına ne denir?|bilim dalına||DESCRIPTION|DESCRIPTION|genetik veya kalıtım bilimi  
Besin kofulları nasıl oluşur?|oluşur||ENTITY|PROCESS.ANIMAL|Fagositoz
Besin maddelerini yaşadıkları canlılardan temin eden bakteriler hangi grupta yer alır?|grupta||ENTIRY|BACTERIA.TYPE|Parazit
Besinini organik madde olarak hazır alan organizmalara ne denir?|organizmalara||DESCRIPTION|DEFINITION|Heterotrof
Besinlere çeşitli kaynaklardan geçen ya da bilinçli bir şekilde dışarıdan eklenen kimyasal maddelerin tamamı neye sebep olur?|sebep olur||DESCRIPTION|DEFINITION|Kimyasal kirlenme
Besinlerin ağza geri getirilerek yeniden çiğnenmesi olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|geviş getirme  
Besinlerin doğal olarak ürettiği zehirli maddelerin ve mikroorganizmaların neden olduğu besin kirliğinine ne denir?|besin kirliliğine||DESCRIPTION|DEFINITION|Biyolojik kirlenme
Besinlerin fiziksel olarak küçük parçalara ayrılması işlevini yerine getiren sindirim türüne ne denir?|sindirim türüne||ENTITY|PROCESS.ANIMAL|mekanik sindirim  
Besinlerini dışarıdan hazır olarak alan bakterilere ne ad verilir?|bakterilere||ENTIRY|BACTERIA.TYPE|Heterotrof Bakteriler
Besinlerini sentezlerken ışık enerjisini kullanan canlılara ne denir?|canlılara||DESCRIPTION|DEFINITION|Fotoototrof
Beyin ve omuriliği vurma, çarpma gibi darbelere karşı koruyan ince zar ile örümceksi zarın arasında bulunan sıvıya ne ad verilir?|sıvıya||ENTITY|SUBSTANCE|beyin omurilik sıvısı (BOS)  
Beyin yarım kürelerden oluşan beynin kısmı hangisidir?|beynin kısmı||ENTITY|SECTION.ANIMAL|uç beyin  
Beynin kontrolünde ve isteğimize bağlı olarak çalışan, hücreleri uzun silindirik şekilli ve çok çekirdekli olan kas türüne ne ad verilir?|kas türüne||ENTITY|MUSCLE.TYPE|çizgili kas  
Bezelyelerle yaptığı deneyler sonucu kalıtsal özelliklerin dölden döle geçişini, ilk olarak hangi bilim adamı açıklamıştır?|bilim adamı||HUMAN|INDIVIDUAL|Gregor Mendel
Bilinen en büyük orman yangını hangi yıl meydana gelmiştir?|yıl||TEMPORAL|DATE|1997
Bilinen en büyük orman yangını nerede meydana gelmiştir|meydana gelmiştir||LOCATION|LOCATION|Endonezya
Bir alanda yaşayan aynı türün bireylerinin oluşturduğu gruba ne ad verilir?|gruba||DESCRIPTION|DEFINITION|Popülasyon
Bir alandaki farklı türlerin populasyonlarının oluşturduğu gruba ne denir?|gruba||DESCRIPTION|DEFINITION|Komünite
Bir bakla fidesinin kök ucuna iğne dokundurularak yakıldığında, kökün yaradan uzaklaşarak aksi tarafa yönelmesini sağlayan hareket hangi nasti hareketine örnektir?|nasti hareketine||ENTITY|PROCESS.PLANT|travmatropizma 
Bir bitkinin karanlıkta kalan kısmının daha çok uzamasında hangi hormon etkilidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|Oksin
Bir bölgede uzun süre hüküm süren hava koşullarına ne denir?|hava koşullarına||DESCRIPTION|DEFINITION|İklim
Bir bölgedeki canlılar ve cansız maddelerin birbirleriyle etkileştiği ve oluşturdukları bütüne ne ad verilir?|bütüne||DESCRIPTION|DEFINITION|Ekosistem
Bir bölgedeki nem miktarının geçici dengesizliğinden kaynaklanan ve su kıtlığı olarak bilinen iklim olayına ne denir?|iklim olayına||DESCRIPTION|DEFINITION|Kuraklık
Bir çiçeğe ait tek bir yumurtalığın gelişmesiyle oluşan meyveye ne denir?|meyveye||ENTITY|SECTION.PLANT|basit meyve  
Bir çiçeğin aynı türden başka çiçekle tozlaşmasına ne denir?|tozlaşmasına||ENTITY|PROCESS.PLANT|çapraz tozlaşma  
Bir çiçekte bulunan polenin aynı çiçeğin dişi organının tepeciğine ulaşması olayına ne denir?|olayına||ENTITY|PROCESS.PLANT|kendi kendine tozlaşma  
Bir diş röntgeni ne kadar radyasyon yaymaktadır?|radyasyon||NUMERIC|COUNT|10 milisievert
Bir ekosistemdeki canlıların birbirleriyle ve çevreleriyle ilişkilerini inceleyen bilim dalına ne denir?|bilim dalına||DESCRIPTION|DEFINITION|Ekoloji
Bir enzimin etki edeceği maddeye ne denir?|maddeye||DESCRIPTION|DEFINITION|Substrat
Bir hücreli bir ana organizmanın ikiye bölünerek iki yavru birey meydana getirmesi olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|Bölünerek üreme
Bir hücrenin kendisinden daha az yoğun bir ortama konması sonucu su alarak şişmesine ne denir?|şişmesine||ENTITY|PROCESS.ANIMAL|Deplazmoliz
Bir hücrenin kendisinden daha yoğun bir ortama konması sonucu su kaybederek büzülmesine ne denir?|büzülmesine||ENTITY|PROCESS.ANIMAL|Plazmoliz
Bir karakter için aynı alel genleri taşıyan bireylere ne ad verilir?|bireylere||DESCRIPTION|DEFINITION|homozigot
Bir karakter için farklı alel genleri taşıyan bireylere ne ad verilir?|bireylere||DESCRIPTION|DEFINITION|heterozigot
Bir karakteri oluşturan (insanda kan gruplarının, tavşanlarda kürk renginin, vb.)  alel çeşidinin ikiden fazla olması olayına ne ad verilir?|olayına||DESCRIPTION|DEFINITION|çok alellik  
Bir karakterin kalıtımından sorumlu gen çeşitlerinin her birine ne denir?|gen çeşitlerinin her birine||DESCRIPTION|DEFINITION|alel gen  
Bir kasın, kısa aralıklarla sık sık uyarılması durumunda tam olarak gevşemeden sürekli kasılı durumda kalması olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|fizyolojik tetanos  
Bir kimyasal reaksiyonun başlayabilmesi için gerekli olan en düşük enerji miktarına ne denir?|enerji miktarına|en düşük|DESCRIPTION|DEFINITION|Aktivasyon enerjisi
Bir maddenin hücre zarından enerji harcayarak geçmesine ne denir?|geçmesine||ENTITY|PROCESS.ANIMAL|Aktif taşıma
Bir meyve yapısı ile korunmayan tohumlu bitkilere ne denir?|bitkilere|tohumlu|ENTITY|PLANT|Açık tohumlu bitkiler
Bir meyve yapısı ile tohumun korunduğu bitkilere ne denir?|bitkilere||ENTITY|PLANT|Kapalı tohumlu bitkiler
Bir nöronun diğer bir nöronla ya da kas ve salgı bezleri gibi tepki organlarının hücreleriyle iletişim kurduğu yere ne ad verilir?|yere||ENTITY|SECTION.ANIMAL|sinaps
Bir ökaryotik ana hücrede ikiye bölününceye kadar gerçekleşen ve birbirini izleyen olayların tümüne ne denir?|olayların tümüne||ENTITY|PROCESS.ANIMAL|Hücre döngüsü
Bir organizmanın doğal olarak yaşadığı ve ürediği yere ne denir?|yere||DESCRIPTION|DEFINITION|Habitat
Bir ortamdaki canlı komüniteleri ve bu canlılarla etkileşim içerisindeki fiziksel faktörlere verilen isim nedir?|faktörlere|fiziksel|DESCRIPTION|DEFINITION|Ekosistem
Bir problem için önerilen geçici çözüm yoluna ne denir?|çözüm yoluna|geçici|DESCRIPTION|DEFINITION|Hipotez
Bir tohum embriyosunun uygun koşullarda, yeni bir bitkiyi oluşturmak üzere tohum kabuğunu çatlatarak dışarı çıkması ve büyümesi olayına ne ad verilir?|olayına||ENTITY|PROCESS.PLANT|çimlenme
Bir türün doğal biçimde yaşamını sürdürebildiği ve üreyebildiği yere ne denir?|yere||DESCRIPTION|DEFINITION|Habitat
Bir uyaran ile uyarılma durumunda sinir hücresinde meydana gelen değişikliğe ne ad verilir?|değişikliğe||DESCRIPTION|DEFINITION|İmpuls
Bir veya daha fazla sayıda nükleer reaktörün yakıt olarak radyoaktif maddeleri kullanılarak elektrik enerjisinin üretildiği tesise ne denir?|tesise||DESCRIPTION|DEFINITION|Nükleer santral
Bir ya da birden fazla çiçeğe ait yumurtalıkların bir bütün olarak gelişmesiyle meydana gelen meyvelere ne denir?|meyvelere||ENTITY|PLANT.STRUCTURE|bileşik meyve  
Birbirine zıt çalışan kaslara ne ad verilir?|kaslara||ENTITY|MUSCLE.TYPE|antagonist
Birçok popülasyonu içine alan komünite ile komünitenin etrafını saran cansız çevreden meydana gelen yapıya ne ad verilir?|yapıya||ENTITY|ENTITY|ekosistem
Birden fazla dişi organ ve çiçek tablasından gelişen meyveye ne ad verilir?|meyveye||ENTITY|PLANT.STRUCTURE|Bileşik yalancı meyve
Birim alan ya da hacimdeki birey sayısına ne denir?|birey sayısına||DESCRIPTION|DEFINITION|popülasyon yoğunluğu  
Birincil tüketicilerle beslenen canlılara ne denir?|canlılara||DESCRIPTION|DEFINITION|İkincil tüketici
Birlikte yaşayan canlılardan biri fayda sağlarken, diğerinin ne fayda ne de zarar gördüğü yaşama birlikteliğinin adı nedir?|yaşama birlikteliğinin adı||DESCRIPTION|DEFINITION|Kommensalizm
Bit, pire ve kene hangi hayvansal parazitlere örnektir?|hayvansal parazitlere||DESCRIPTION|DEFINITION|dış parazit
Bitki hücrelerinde görülen turgor olayı hangi organel tarafından yapılır?|organel||ENTITY|ORGANELLE|Koful
Bitki hücrelerinde solunum ve fotosentezde görevli enzimlerin aktifleştirilmesinde rol oynayan makro element nedir?|element|makro|ENTITY|ELEMENT|magnezyum
Bitki hücrelerindeki çekirdeği ilk gözlemleyen kimdir?|gözlemleyen||HUMAN|INDIVIDUAL|Robert Brown
Bitki hücrelerine renk veren organellere ne denir?|organellere||ENTITY|ORGANELLE|Plastid
Bitki köklerinin suya doğru yönelim hareketine ne ad verilmektedir?|yönelme hareketine||ENTITY|PROCESS.PLANT|hidrotropizma
Bitki köklerinin suya yönelme hareketine ne denir?|hareketine||ENTITY|PROCESS.ANIMAL|Hidrotropizma
Bitki köklerinin toprakta bulunan çeşitli kimyasal maddelere karşı gösterdiği tropizma hareketlerine ne ad verilmektedir?|tropizma hareketlerine||ENTITY|PROCESS.PLANT|kemotropizma
Bitki organlarının yaralanma nedeniyle gösterdikleri yönelme hareketlerine ne ad verilmektedir?|yönelme hareketlerine||ENTITY|PROCESS.PLANT|travmatropizma 
Bitki ve hayvan türlerinin geçmişte ve günümüzdeki dağılışını inceleyen, organizmaların coğrafik dağılışını, bu dağılışın hangi faktörler tarafından sınırlandırıldığını inceleyen bilim dalı nedir?|bilim dalı||DESCRIPTION|DESCRIPTION|biyocoğrayfa
Bitkide dokunma ile meydana gelen turgor değişimleri sonucu ortaya çıkan hareketlere ne ad verilmektedir?|hareketlere||ENTITY|PROCESS.PLANT|sismonasti
Bitkide organik maddeleri bitkinin her yanına dağıtan yapıya ne denir?|yapıya||ENTITY|PLANT.STRUCTURE|Floem
Bitkide su taşıma işlemini gerçekleştiren yapıya ne denir?|yapıya||ENTITY|PLANT.STRUCTURE|Ksilem
Bitkiler glikoz üretebilmek için ne yaparlar?|bitkiler yaparlar||ENTITY|PROCESS.PLANT|Fotosentez
Bitkiler oksijen üretebilmek için ne yaparlar?|bitkiler yaparlar||ENTITY|PROCESS.PLANT|Fotosentez
Bitkilerde aynı görevi yapmak üzere özelleşmiş hücre topluluklarına ne ad verilmektedir?|hücre topluluklarına||ENTITY|ENTITY|doku 
Bitkilerde besin depolayan plastide ne denir?|plastide denir||ENTITY|ORGANELLE|Lökoplast
Bitkilerde büyüme, gelişme, çiçeklenme, yaprakların dökülmesi ve durgunluk döneminin başlaması gibi fizyolojik olayları etkileyen gün uzunluğuna ne denir?|gün uzunluğuna||DESCRIPTION|DESCRIPTION|fotoperiyodizm
Bitkilerde büyümenin gerçekleşebilmesi için gerekli olan fotosentez ve solunumda rol oynayan çevresel faktör nedir?|faktör|çevresel|ENTITY|ENTITY|sıcaklık
Bitkilerde fotosentez, klorofil sentezi, stomanın açılması, terleme gibi fizyolojik olayların gerçekleşmesi için gerekli çevresel faktör nedir?|faktör|çevresel|ENTITY|ENTITY|ışık
Bitkilerde fotosentezin en yoğun yapıldığı kısmın adı nedir?|kısmın adı||ENTITY|PLANT.STRUCTURE|Yaprak
Bitkilerde fotosentezle üretilen organik ürünler bitkinin bütün organlarına hangi yapı ile taşınmaktadır?|yapı||ENTITY|PLANT.STRUCTURE|floem
Bitkilerde glikoz ne olarak depo edilir?|glikoz depo edilir||ENTITY|SUBSTANCE|Nişasta
Bitkilerde hareket, uyarana doğru ise nasıl adlandırılmaktadır?|adlandırılmaktadır||ENTITY|PROCESS.PLANT|pozitif tropizma  
Bitkilerde hareket, uyarana zıt yönde ise nasıl adlandırılmaktadır?|adlandırılmaktadır||ENTITY|PROCESS.PLANT|negatif tropizma  
Bitkilerde hem CO2, O2 gibi gazların alışverişini sağlayan, hem de terlemeyle su buharının atılmasını sağlayan yapı nedir?|yapı||ENTITY|PLANT.STRUCTURE|stoma
Bitkilerde hücre bölünmesini hızlandıran, bitkinin ışığa yönelmesini sağlayan bitkisel hormon nedir?|hormon|bitkisel|ENTITY|SYNTHESIZED.HORMONE|oksin
Bitkilerde kök ve gövdenin büyüme noktalarında bulunan, bitkinin boyuna büyümesinde rol oynayan meristem dokuya ne ad verilmektedir?|dokuya|meristem|ENTITY|SECTION.PLANT|uç (apikal) meristem  
Bitkilerde kök ve gövdenin yapısında bulunan, bitkinin enine büyümesi ve kalınlaşmasını sağlayan meristem dokuya ne ad verilmektedir?|dokuya|meristem|ENTITY|SECTION.PLANT|yanal (lateral) meristem  
Bitkilerde koku ve bal özü hangi dokunun hücreleri tarafından üretilir?|dokunun||ENTITY|TISSUE|Salgı doku
Bitkilerde sıcaklık değişmelerinin sebep olduğu nasti hareketlerine ne ad verilmektedir?|nasti hareketlerine||ENTITY|PROCESS.PLANT|termonasti
Bitkilerde suyun yükseklere taşınmasında geçerliliği en çok kabul edilen kuram nedir?|kuram||DESCRIPTION|THEOREM|terleme-çekim teorisi  
Bitkilerde yeterli büyüme ve gelişme sağlanması için bitki beslenmesinde gerekli olan elementleri içeren doğal ya da yapay maddeye ne denir?|maddeye|doğal ya da yapay|DESCRIPTION|DESCRIPTION|gübre
