Biology Open-Ended Questions||
Question|Focus|Mod
Bakterilerin yapısında neler bulunur?|bulunur|
Bakteriyofaj nedir?|bakteriyofaj|
Balık ve kurbağaların soğuk kanlı olmasının nedeni nedir?|nedeni|
Balıklar kaç gruba ayrılır?|gruba|
Basınç- akış teorisi nedir?|basınç-akış teorisi|
Baskın ve çekinik genler genotipe nasıl etki eder?|etki eder|
Bazı hayvanların sosyal gruplar halinde yaşamalarının sağladığı yararlar neler olabilir?|olabilir|
Bazların hücredeki görevleri nelerdir?|görevleri|
Belirli bir bitkiden aynı kalıtsal yapıda ikinci bir bitki elde etmek için nasıl bir yol izlenebilir?|yol|
Bentik zon nedir?|bentik zon|
Bentik zonda yaşayan canlılar hangileridir?|canlılar|
Besin ağı ile besin zinciri arasındaki farklılık nedir?|farklılık|
Besin kirliliğine sebep olan faktörler nelerdir?|faktörler|
Besin piramidinde tepeden tabana aktarılan enerji nasıl değişir?|değişir|
Besin piramidinde tepeden tabana birey sayısı nasıl değişir?|değişir|
Besin piramidinde tepeden tabana biyokütle nasıl değişir?|değişir|
Besin piramidinde tepeden tabana vücut büyüklüğü nasıl değişir?|değişir|
Besin piramidinin her basamağında olan canlılar hangileridir?|canlılar|
Besin pramidinde üreticiden tüketiciye doğru vücutta zehirli madde birikimi nasıl değişir?|değişir|
Besin zincirinde iletim nasıl olmaktadır?|olmaktadır|
Besin zincirinde üreticiden tüketiciye doğru gidildikçe biyolojik birikim nasıl değişir?|değişir|
Besin zincirindeki beslenme basamakları nelerdir?|beslenme basamakları|
Besinlerde fiziksel kirlenme nasıl gerçekleşir?|gerçekleşir|
Besinlerde kimyasal kirlenme nasıl gerçekleşir?|gerçekleşir|
Beyin omurilik sıvısının (BOS) görevi nedir?|görevi|
Bilim insanında bulunması gereken özellikler nelerdir?|özellikler|
Bilim nedir?|bilim|
Bilim ve teknoloji arasındaki fark nedir?|fark|
Bilimsel araştırmalar yapılırken dikkat edilmesi gereken ilkeler nelerdir?|ilkeler|
Bilimsel bir çalışma nasıl yapılır?|yapılır|
Bilimsel yöntemin basamakları nelerdir?|basamakları|
Bir ağacın yaş halkasının diğer yıllarda oluşanlara göre daha dar olmasının sebebi neler olabilir?|olabilir|
Bir ailede renk körü kız ve sağlam erkek çocuklar varsa anne babanın renk körlüğü bakımından genotipleri nedir?|genotipleri|
Bir ailedeki çocuklardan yalnız erkekler hemofili, dişiler sağlam ise anne babanın genotipleri nedir?|genotipleri|
Bir bireyin zamanla kandaki antikor miktarının artmasının sebebi nedir?|sebebi|
Bir bireyin zamanla kandaki antikor miktarının azalmasının sebebi nedir?|sebebi|
Bir bitkinin büyüme hızına etki eden faktörler nelerdir?|faktörler|
Bir bitkinin çiçekli bitki olup olmadığına nasıl karar verilir?|karar verilir|
Bir canlının eşeyli üremeyle çoğalması için ne gereklidir?|gereklidir|
Bir ekosistemde canlılığın devamı için neler kesinlikle gereklidir?|gereklidir|kesinlikle
Bir ekosistemde ekolojik niş kavramı ne anlama gelir?|anlama gelir|
Bir ekosistemdeki su kirliliğini azaltmak için neler yapılabilir?|yapılabilir|
Bir ekosistemin dengeli olabilmesi için neler uygulanabilir?|uygulanabilir|
Bir hücrelilerden memelilere kadar canlılarda boşaltımla görevli yapı ve sistemlerin temel ve ortak görevi nedir?|görevi|
Bir insanda atardamarlardan geçmekte olan kanın akış hızı nasıldır?|akış hızı|
Bir insanda kılcal damarlardan geçmekte olan kanın akış hızı nasıldır?|akış hızı|
Bir insanda toplardamarlardan geçmekte olan kanın akış hızı nasıldır?|akış hızı|
Bir kişinin yemekten önce ve sonra kanındaki glikoz düzeyi hakkında ne söylenebilir?|söylenebilir|
Bir mutasyonun evrime yardımcı olabilmesi için hangi koşullar gereklidir |koşullar|
Bir popülasyonda gen frekansının değişmesine neden olan durumlar nelerdir?|durumlar|
Bir popülasyondaki aşırı büyümenin olası sonuçları nelerdir?|sonuçları|olası
Bir popülasyonun büyüklüğünü etkileyen faktörler nelerdir?|faktörler|
Bir popülasyonun dağılımını etkileyen faktörler nelerdir?|faktörler|
Bir popülasyonun dinamiğini oluşturan etmenler nelerdir?|etmenler|
Bir popülasyonun yoğunluğunu etkileyen faktörler nelerdir?|faktörler|
Bir popülasyonunyaş dağılımını etkileyen faktörler nelerdir?|faktörler|
Bir sinir hücresindeimpulslar iletilirken hangi olaylar gerçekleşir?|olaylar|
Bir sinir hücresinden diğer sinir hücresine uyartının iletimi nasıl gerçekleşir?|gerçekleşir|
Bir solunum pigmentinin görevini yapabilmesi için, sahip olması gereken özellik nedir?|özellik|
Bir sprocunun koşmaya başlamasından sonra dolaşım sisteminde görülebilecek değişiklikler neler olabilir?|olabilir|
Bir süre kendi etrafında dönen bir insanın sandalyeye oturduktan sonra baş dönmesi hissinin devam etmesinin nedeni nedir?|nedeni|
Bir türde evrim olayının gerçekleşmesi için gerekli faktörler nelerdir?|faktörler|gerekli
Bir türün evrimleşebilmesi için neler zorunludur?|zorunludur|
Bir yerleşim yerindeki ekosistemde canlı türlerinin çeşitliliğinin azalıyorsa bunun nedeni ne olabilir?|olabilir|
Bireylerin genetik taraması nasıl yapılır?|yapılır|
Bireysel faktör hipotezi nedir?|bireysel faktör hipotezi|
Birincil ve ikincil süksesyon arasındaki farklar nelerdir?|farklar|
Bitki hücrelerinde sitokinez nasıl gerçekleşir?|gerçekleşir|
Bitki örtüsünün yok olmasının ekolojik dengenin bozulmasındaki rolü nedir?|rolü|
Bitki örtüsünün yok olmasının erozyon oluşumuna etkisi nedir?|etkisi|
Bitki ve hayvanların yeryüzündeki dağılımına iklimin etkisi nasıldır?|etkisi|
Bitkiler büyüdükçe kök siteminde ne gibi değişiklikler olur?|değişiklikler|
Bitkilerde aktif taşıma nedir?|aktif taşıma|
Bitkilerde besin tuzları neden önemlidir?|önemlidir|
Bitkilerde boyca uzama nasıl gerçekleşir?|gerçekleşir|
Bitkilerde büyüme hızı, sıcaklık arttıkça nasıl değişmektedir?|değişmektedir|
Bitkilerde büyüme hızı, sıcaklık azaldıkça nasıl değişmektedir?|değişmektedir|
Bitkilerde büyüme ve gelişmeyi hızlandıranhormonlar nelerdir?|hormonlar|
Bitkilerde çapraz tozlaşma nasıl oluşmaktadır?|oluşmaktadır|
Bitkilerde çift döllenme nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde dalların görevi nedir?|görevi|
Bitkilerde damarların görevi nedir?|görevi|
Bitkilerde dişi oragnın üretimi nasıl gerçekleşir?|gerçekleşir|
Bitkilerde dişi organın yapısında neler bulunur?|bulunur|
Bitkilerde döllenme nasıl gerçekleşir?|gerçekleşir|
Bitkilerde erkek organın görevi nedir?|görevi|
Bitkilerde gen klonlamasının tarım alanında sağladığı yararlar nelerdir?|yararlar|
Bitkilerde görülen  sismonasti hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen  termonasti hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen fotonasti hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen fototropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen geotropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen haptotropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen hidrotropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen kemotropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen nasti hareketi nedir?|nasti hareketi|
Bitkilerde görülen negatif fototropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen pozitif fototropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen travmatropizma hareketi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde görülen tropizma hareketi nedir?|tropizma hareketi|
Bitkilerde hangi durumlarda çift döllenme gerçekleşmektedir?|durumlarda|
Bitkilerde iletim sisteminin görevi nedir?|görevi|
Bitkilerde kendi kendine tozlaşma nasıl oluşmaktadır?|oluşmaktadır|
Bitkilerde kılcallık ile sıvı iletimi arasında nasıl bir ilişki vardır?|ilişki|
Bitkilerde klonlama nasıl gerçekleşir?|gerçekleşir|
Bitkilerde kökün görevleri nelerdir?|görevleri|
Bitkilerde sekonder (ikincil) meristem dokunun görevleri nelerdir?|görevleri|
Bitkilerde sekonder (ikincil) meristem dokunun görevleri nelerdir?|görevleri|
Bitkilerde su ve minerallerin taşınması nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde taç yaprakların görevi nedir?|görevi|
Bitkilerde tohumun çimlenmesi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Bitkilerde tohumun taşınmasını sağlayan mekanizmalar nelerdir?|mekanizmalar|
Bitkilerde tohumun yapısında neler bulunmaktadır?|bulunmaktadır|
Bitkilerde vasküler(damar) kambiyumunun özellikleri nelerdir?|özellikleri|
Bitkilerde yaprakların görevi nedir?|görevi|
Bitkileri diğer çok hücreli canlılardan ayıran özellikler nelerdir?|özellikler|
Bitkileri sınıflandırırken kullanılan özellikler nelerdir?|özellikler|
Bitkilerin büyüme ve gelişiminde görevli olan makro elementler nelerdir?|makro elementler|
Bitkilerin büyüme ve gelişiminde görevli olan mikro elementler nelerdir?|mikro elementler|
Bitkilerin büyümesine etki eden bitkisel hormonlar nelerdir?|bitkisel hormonlar|
Bitkilerin büyümesine etki eden çevresel faktörler nelerdir?|faktörler|çevresel
Bitkilerin büyümesine etki eden hormonal faktörler nelerdir?|faktörler|hormonal
Bitkilerin insan için faydaları nelerdir?|farklar|
Bitkilerin toprağın altında kalan kısımları nelerdir?|kısımları|
Bitkilerin toprağın üstünde kalan kısımları nelerdir?|kısımları|
Bitkilerin uyaranın yönüne bağlı olarak gerçekleştirdikleri hareketler nelerdir?|hareketler|
Bitkilerin uyaranın yönüne bağlı olmaksızın gerçekleştirdikleri hareketler nelerdir?|hareketler|
Bitkinin büyüme hızına etki etmenler hangileridir?|etmenler|
Bitkinin tepe noktası koparıldığında gelişiminde ne gibi değişiklikler gözlenir?|değişiklikler|
Bitkise ve hayvansal hormonların ortak özellikleri nelerdir?|özellikleri|ortak
Bitkisel dokular nelerdir?|bitkisel dokular|
Biyoçeşitliliğin azalmasına neden olan faktörler nelerdir?|faktörler|
Biyokütlesi en fazla olan canlı grubu hangisidir?|canlı grubu|
Biyolojik birikim ne demektir?|demektir|
Biyolojik birikimin en fazla olduğu canlılar hangileridir?|canlılar|
Biyolojik çeşitliliğe etki eden faktörler nelerdir?|faktörler|
Biyolojik çeşitliliği korumak için neler yapılabilir?|yapılabilir|
Biyolojik çeşitliliğin ekosistem için önemi nedir?|önemi|
Biyolojik çeşitliliğin ülke kalkınmasına katkıları nelerdir?|katkıları|
Biyolojik çeşitliliğinin sürdürülebilirliğinin sağlanması için neler yapılabilir?|yapılabilir|
Biyolojik çeşitlilik nedir?|biyolojik çeşitlilik|
Biyolojik ıslah çalışmalarında kullanılan yöntemler nelerdir?|yöntemler|
Biyom ile ekosistem arasında nasıl bir ilişki vardır?|ilişki|
Biyom ne demektir?|demektir|
Biyomların dağılımına etki eden faktörler nelerdir?|faktörler|
Biyosferin en büyük bölümünü kaplayan biyom türü hangisidir?|biyom türü|
Biyotik faktörler nelerdir?|faktörler|
Blastula evresinde ne gerçekleşir?|gerçekleşir|
Böbrek hastalarının çoğunun kansızlıkla karşı karşıya kalmasının sebebi nedir?|sebebi|
Böbrek üstü bezinin salgıladığı hormonlar nelerdir?|hormonlar|
Böbrekte geri emilme olayı hangi yapılar arasında gerçekleşir?|yapılar|
Böceklerin hızlı hareket etmesinin sebebi nedir?|sebebi|
Böceklerin vücudunda su kaybını en aza indirecek boşaltımla ilgili adaptasyonlar nelerdir?|adaptasyonlar|
Böceklerle tozlaşan bitkilerde, tozlaşmayı artıran uyum durumları nelerdir?|uyum durumları|
Bölünerek üreme hangi canlılarda görülür?|canlılarda|
Bölünerek üreme nasıl gerçekleşir?|gerçekleşir|
Bor mineralinin kullanıldığı sektörler nelerdir?|sektörler|
Botoks uygulanan bölgede hangi iletimler gerçekleşmez?|iletimler|
Büyük kan dolaşımı nedir?|büyük kan dolaşımı|
Büyük kan dolaşımı sırasında kan, hangi damarlardan geçmez?|damarlardan|
C vitamini eksikliğinde görülen hastalıklar nelerdir?|hastalıklar|
C vitaminin görevi nedir?|görevi|
Çalışmaları sonucunda Mendel'in ortaya çıkardığı bilgi nedir?|bilgi|
Canlılar beslenmeye neden ihtiyaç duyarlar?|ihtiyaç duyarlar|
Canlılarda büyüme nasıl gerçekleşir?|gerçekleşir|
Canlılarda gelişme hangi evrelerde gerçekleşir?|evrelerde|
Canlılarda suyun önemi nedir?|önemi|
Canlıları sınıflandırmanın amacı nedir?|amacı|
Canlıların arasında tek tarafın faydasına yönelik gerçekleşen simbiyotik yaşam şekilleri nelerdir?|simbiyotik yaşam çeşitleri|
Canlıların çeşitliliğini sağlayan üreme şekli hangisidir?|üreme şekli|
Canlıların yapısında bulunan inorganik bileşikler nelerdir?|bileşikler|inorganik
Canlıların yapısında bulunan organik bileşikler nelerdir?|bileşikler|organik
Canlılık özelliklerinin belirlenmesi neden önemlidir?|önemlidir|
Çaprazlamada Punnet karesi yöntemi nasıl uygulanmaktadır?|uygulanmaktadır|
Çatışma ve baskınlık davranışlarının yararları nelerdir?|yararları|
Çatışma ve baskınlık davranışlarının zararları nelerdir?|zararları|
Çayır biyomunun genel özellikleri nelerdir?|özellikleri|genel
Çekirgede solunum sisteminin diğer canlılara göre farkı nedir?|farkı|
Çevresel değişikliklerin, varyasyonların ortaya çıkması ve türlerin evrimleşmesi üzerine nasıl bir etkisi vardır?|etkisi|
Çiçeklerin tozlaşmasını sağlayan canlılar hangileridir?|canlılar|
Çiçekli bitkilerde döllenme sonucuoluşan tohumda hangi yapılar bulunmaz?|yapılar|
Çiçekli bitkilerde döllenmeden sonra gerçekleşen olaylar nelerdir?|olaylar|
Çiçekli bitkilerde polen oluşumu nasıl gerçekleşmektedir?|gerçekleşmektedir|
Çiçekli bitkilerde tozlaşma nasıl gerçekleşmektedir?|gerçekleşmektedir|
Çiçekli bitkilerde üremeyi sağlayan organlar nelerdir?|organlar|
Çiçekli bitkilerin embriyo kesesindeki hangi hücre çeşitleri döllenerek tohum oluşumuna katılır?|hücre çeşitleri|
Çift çenekli bir bitkide tohumun çimlenme yeteneğini koruma süresi nelere bağlı olarak değişir?|değişir|bağlı olarak
Çift çenekli bitkilerin damar yapısı nasıldır?|damar yapısı|
Çift çenekli bitkilerin gövde yapısı nasıldır?|gövde yapısı|
Çimlenmekte olan bir tohumda, fotosentez yapana kadar geçen süreçte hangi olaylar gerçekleşmez?|olaylar|
Çimlenmeye etki eden faktörler nelerdir?|faktörler|
Cinsel ilişki yoluyla bulaşan hastalıklar nelerdir?|hastalıklar|
Cinsel yolla bulaşan hastalıkların hangileri Türkiye'de daha fazla görülmektedir?|hastalıkların|cinsel yolla bulaşan
Cinsel yolla bulaşan hastalıkların yayılma nedenleri nedir?|yayılma nedenleri|
Çizgili kasların düz kaslardan yapı ve işlev bakımından farkları nedir?|farkları|
Çizgili kasların gevşemesi sırasında hangi durumlar gözlenir?|durumlar|
Çocukların büyüdükçe dengelerini daha iyi sağlamalarının nedeni nedir?|nedeni|
Çok yıllık bitkilerde enine kalınlaşma nasıl gerçekleşir?|gerçekleşir|
Çok yıllık bitkilerde parankima dokusu tarafından gerçekleştirilen olaylar nelerdir?|olaylar|
Çöl biyomunun rastlanabileceği kıtalar hangileridir?|kıtalar|
Çölde yaşamayı kolaylaştıran adaptasyonlar neler olabilir?|olabilir|
Çöllerin artmasının erozyon oluşumuna etkisi nedir?|etkisi|
Cross-over olayı canlılar için neden önemlidir?|önemlidir|
Cross-over olayı nedir?|cross-over olayı|
Cross-over olayının gerçekleşmesi neden önemlidir?|önemlidir|
D vitamini eksikliğinde ortaya çıkabilecek hastalıklar nelerdir?|hastalıklar|
D vitaminin görevi nedir?|görevi|
Dağda yaşayan bir bireyin kandaki hemoglobin miktarının düşük olmasının sebebi nedir?|sebebi|
Damlama (gutasyon) nedir?|damlama (gutasyon)|
Darwin'in evrim hakkındaki görüşleri nelerdir?|görüşleri|
Darwin'indoğal seleksiyon hipotezi nedir?|doğal seleksiyon hipotezi|
Dehidrasyon nedir?|dehidrasyon|
Dengeli beslenen normal bir insanın, protein içerenbesinlerden fazla miktarda alması sonucu idrarında glukoz miktarı nasıl değişir?|değişir|
Dengeli beslenen normal bir insanın, protein içerenbesinlerden fazla miktarda alması sonucu idrarındaki üre miktarı nasıl değişir?|değişir|
Dengeli beslenen normal bir insanın, protein içerenbesinlerden fazla miktarda alması sonucu kandaki glukoz miktarı nasıl değişir?|değişir|
Dengeli beslenen normal bir insanın, protein içerenbesinlerden fazla miktarda alması sonucu kanındaki ozmotik basıncı nasıl değişir?|değişir|
Dengeli beslenen normal bir insanın, protein içerenbesinlerden fazla miktarda alması sonucu kanındaki pH miktarı nasıl değişir?|değişir|
Deniz yosunlarının insan sağlığı açısından önemi nedir?|önemi|
Deri, solungaç, akciğer ve trake solunum sistemlerinin ortak özellikleri nelerdir?|özellikleri|ortak
Difüzyon nedir?|difüzyon|
Dihibrit bireylerde görülen özellik nedir?|özellik|
Dihibrit çaprazlama nedir?|dihibrit çaprazlama|
Dış gelişme ve iç döllenme gerçekleştiren canlılar nelerdir?|canlılar|
Dış iskelete sahip organizmalardan bazılarının zaman zaman kabuk değiştirmesinin nedeni nedir?|nedeni|
Dış solunum olayı nasıl gerçekleşmektedir?|gerçekleşmektedir|
Dişilerde Folikül uyarıcı hormonun görevi nedir?|görevi|
Dişilerde FSH hormonunun görevi nedir?|görevi|
Dişilerde LH hormonunun görevi nedir?|görevi|
Dişilerde LTH hormonunun görevi nedir?|görevi|
Dişilerde Lüteinleştirici hormonungörevi nedir?|görevi|
Dişilerde Lüteo tropik hormonun görevi nedir?|görevi|
Dişilerde Prolaktin hormonunun görevi nedir?|görevi|
Dışkılamanın homeostasiye etkisi nedir?|etkisi|
DNA kendini ne zaman ve niçin eşler?|zaman|
DNA molekünün görevi nedir?|görevi|
DNA nükleotitleri ile RNA nükleotitleri arasındaki farklar nelerdir?|farklar|
DNA parmak izi ne işe yarar?|işe yarar|
DNA'da meydana gelen gen mutasyonunun organizmaya etkisi nedir?|etkisi|
DNA'nın görevi nedir?|görevi|
DNA'nın replikasyonu nasıl gerçekleşmektedir?|gerçekleşmektedir|
DNA'nın yapısı nasıldır?|yapısı|
DNA'nın yapısına katılan bazların görevi nedir?|görevi|
DNA'nın yapısında hangi moleküller bulunur?|moleküller|
DNA'nın yarı korunumlu eşlenme durumu ne zaman gerçekleşmektedir?|zaman|
Doğada enerji akışı nasıldır?|enerji akışı|
Doğadaki değişiklikler evrimi nasıl etkiler?|etkiler|
Doğadaki madde döngüleri nelerdir?|madde döngüleri|
Doğadaki su döngüsünün gerçekleşebilmesi suyun hangi özelliğinden kaynaklanmaktadır?|özelliğinden|
Doğal kaynaklar nelerdir?|doğal kaynaklar|
Doğal kaynakların korunma yöntemleri nelerdir?|korunma yöntemleri|
Doğal kirleticiler nelerdir?|doğal kirleticiler|
Doğal radyasyonun kaynakları nelerdir?|kaynakları|
Doğal seçilim ne demektir?|demektir|
Doğal seçilimin evrime katkısı nedir?|katkısı|
Döllenme nasıl gerçekleşir?|gerçekleşir|
Döllenmemiş ve döllenmiş yumurtalar arasında ne gibi farklar vardır?|farklar|
Dormansi ne demektir?|demektir|
Down sendromlu bireylerin fenotipi nasıldır?|fenotipi|
Down sendromlu bireylerin fiziksel görünüşü nasıldır?|görünüşü|fiziksel
Down sendromuna sahip bireylerin gösterdiği fenotip nasıldır?|fenotip|
Duchenne kas distrofisi hastalığının belirtileri nelerdir?|belirtileri|
Dünya üzerinde en fazla görünen solucan tipi hangisidir?|solucan tipi|
Dünya yüzeyinin aşırı ısınmasının sebepleri nelerdir?|sebepleri|
Dünyada bulunan ekosistem çeşitleri nelerdir?|ekosistem çeşitleri|
Dünyada hangi biyom çeşitleri görülür?|biyom çeşitleri|
Düz kaslar hangileridir?|düz kaslar|
Düz kaslar ile çizgili kaslar arasındaki yapısal farklar nelerdir?|farklar|yapısal
E vitamini eksikliğinde ortaya çıkabilecek hastalıklar nelerdir?|hastalıklar|
E vitaminin görevi nedir?|görevi|
Eğrelti otlarına ait özellikler nelerdir?|özellikler|
Eklembacaklılarda görülen solunum organlarının özellikleri nelerdir?|özellikleri|
Eklemlerde kemiğin aşınmasını önleyen yapılar nelerdir?|yapılar|
Ekoloji nedir?|ekoloji|
Ekoloji son yıllarda neden önceki yıllara göre daha önemli bir noktaya gelmiştir?|gelinmiştir|
Ekolojik ayak izi canlılar için neden önemlidir?|önemlidir|
Ekolojik ayak izi nedir?|ekolojik ayak izi|
Ekolojik değer nedir?|ekolojik değer|
Ekolojik niş ne demektir?|demektir|
Ekosistemde ayrıştırıcılar olmasaydı ne olurdu?|olurdu|
Ekosistemde tüketiciler olmasaydı ne olurdu?|olurdu|
Ekosistemdeki canlılar beslenme şekillerine göre kaça ayrılır?|ayrılır|
Ekosistemdeki canlıları etkileyen faktörler nelerdir?|faktörler|
Ekosistemdeki cansız abiyotik faktörler nelerdir?|abiyotik faktörler|cansız
Ekosisteme zarar veren insan faaliyetleri nelerdir?|insan faaliyetleri|
Ekosistemin korunması için su kirliliği ile ilgili alınması gereken tedbirler nelerdir?|tedbirler|
Ekosistemlerin bozulması, biyolojik çeşitliliği nasıl etkiler?|etkiler|
Ekoton ne demektir?|demektir|
Ekzositozu aktif taşımadan ayıran özellik nedir?|özellik|
El ve ayak kemikleri arasında çok sayıda eklem bulunmasının nedeni ne olabilir?|olabilir|
Embriyodaki metabolik atıklar nasıl dışarı atılmaktadır?|dışarı atılmaktadır|
Embriyodaki metabolik atıklar nerede birikmektedir?|birikmektedir|
Embriyonun dışında yer alan zarlar ne işe yarar?|işe yarar|
Embriyonun dışındaki amniyon zarının görevi nedir?|görevi|
Embriyonun dışındaki koriyonun zarının görevi nedir? |görevi|
Embriyoya ait vitellüs kesesinin bazı canlılarda küçük olmasının sebebi nedir?|sebebi|
Embriyoya ait vitellüs kesesinin hangi canlılarda çok küçüktür?|canlılarda|
Endemik tür nedir?|endemik tür|
Endositoz hangi durumda gerçekleşir?|durumda|
Endospermin görevi nedir?|görevi|
Enzim etki mekanizmasında gerçekleşen olaylar nelerdir?|olaylar|
Enzimlerin çalışmasına etki eden etmenler nelerdir?|etmenler|
Enzimlerin özellikleri nelerdir?|özellikleri|
Enzimlerin yapısında neler bulunur?|bulunur|
Erkek üreme organında bulunan testislerin görevi nedir?|görevi|
Erkek üreme sistemini kontrol eden hormonlar nelerdir?|hormonlar|
Erkeklerde FSH hormonunun görevi nedir?|görevi|
Erkeklerde LH hormonunun görevi nedir?|görevi|
Erkeklerde üreme sistemi nelerden oluşur?|oluşur|
Erozyona sebep olan olaylar nelerdir?|olaylar|
Eşeye bağlı baskın özellikler nelerdir?|baskın özellikler|
Eşeye bağlı çekinik özellikler nelerdir?|çekinik özellikler|
Eşeye bağlı karakter ne demektir?|demektir|
Eşeyli üreme nasıl gerçekleşir?|gerçekleşir|
Eşeyli üremede tür içi kromozom sayısının sabit kalmasını sağlayan olaylar nelerdir?|olaylar|
Eşeysiz üreme nasıl gerçekleşir?|gerçekleşir|
Etilen hormonunun bitkilerin büyümesine etkileri nelerdir?|etkileri|
Etnobotanik nedir?|etnobotanik|
Etnobotanik nedir?|etnobotanik|
Evrimin açıklanmasına biyokimyanın katkıları nelerdir?|katkıları|
Evrimin açıklanmasına embriyolojinin katkıları nelerdir?|katkıları|
Evrimin açıklanmasına genetiğin katkıları nelerdir?|katkıları|
Evrimin varlığına kanıt olabilecek durumlar nelerdir?|durumlar|
Fazlası depolanamayıp, idrarla atılan vitaminler hangileridir?|vitaminler|
Fenotopik eşey belirlenmesi durumu nasıl gerçekleşmektedir?|gerçekleşmektedir|
Fetal evrede fetüsün gelişimi nasıldır?|fetüsün gelişimi|
Fitoplankton nedir?|fitoplankton|
Fosiller evrimin anlaşılmasına nasıl katkıda bulunur?|katkıda bulunur|
Fosillerin araştırılmasından elde edilen bilgilerin, yaşamın anlaşılmasına sağladığı katkılar nelerdir?|katkılar|
Fosillerin ve kayaçların yaşı nasıl hesaplanır?|hesaplanır|
Fotoototrof canlılar ne ile beslenir?|beslenir|
Fotoperiyodizm nedir?|fotoperiyodizm|
