Ayın dünyanın etrafında dönmesinin sonunçları nelerdir|||||
Gurup sürelerinin kutuplarda uzun olması nasıl açıklanabilir|||||
Güneş ışınlarının düşme açısının yıl boyunca değişmesi, o yerleşim yerinde nelere yol açar|||||
Dünyanın güneş etrafındaki yörüngesinin elips biçiminde olmasının etkileri nelerdir|||||
Dünyanın ekseninin eğik oluşu neler yol açar|||||
Mevsimlerin oluşması nasıl gerçekleşir|||||
Aynı anda iki yarım kürede farklı mevsimler yaşanmasının sonuçları nelerdir|||||
Gece ve gündüz arasındaki fark kutuplara doğru gidildikçe neden artar|||||
Gece ve gündüz süreleri yıl boyunca neden değişir|||||
Ekvatorda neden her  zaman 12 saat gece, 12 saat gündüz olur|||||
Aydınlanma çemberi yıl boyunca neden kutup noktalarıyla kutup daireleri arasında yer değiştirir|||||
Cisimlerin gölge boylarının yıl boyunca değişmesi nasıl açıklanır|||||
Ekinoks nasıl meydana gelir|||||
Cisimlerin gölge boyu ile kutuplara olan yakınlıkları arasında nasıl ilişki vardır|||||
Yeryüzünde neden birbirinden farklı iklim kuşakları görülmektedir|||||
Dünya üzerinde görülen iklimler ile dünyanın yörüngesi arasında nasıl bir bağlantı vardır|||||
Tropikal kuşak iklimi nasıldır|||||
Orta kuşakta yıl boyu sıcaklık nasıl değişir|||||
Ilıman kuşakta yıl boyu sıcaklık nasıl değişir|||||
Ilıman kuşakta yerleşim nasıldır|||||
Türkiyenin ılıman kuşakta yer almasının sosyal ve ekonomik alanda etkileri nasıldır|||||
Dunyanın kendi ekseni etrafındaki donuflu sonucunda hangi olaylar meydana gelir?|||||
Dünyanın güneş etrafındaki dönüşü sırasında güneşe yakınlaşıp uzaklaşmasının sonuçları nelerdir?|||||
Dünyanın yörüngesi daire şeklinde olsa ne olurdu?|||||
Dönencelerin belirlenmesinde neler esas alınmıştır?|||||
Kutup dairelerinin belirlenmesinde neler esas alınmıştır?|||||
Ekvator ile ekliptik arasındaki açının daha büyük olması nelere yol açardı?|||||
Cisimlerin gölge boyları ile güneş ışınlarının düşme açısı arasında nasıl bir ilişki vardır?|||||
Ekinoks nasıl gerçekleşir?|||||
Dünyanın kendi ekseni etrafındaki dönüş hızının kutuplara yaklaştıkça azalması nasıl açıklanır?|||||
Atmosfer ile sıcaklık dengesi arasında nasıl bir bağ vardır|||||
Atmosfer güneşten gelen zararlı ışınları nasıl engeller|||||
Atmosfer dünyayı meteorlardan nasıl korumaktadır|||||
Deniz seviyesinden yükseldikçe atmosferin yoğunluğu neden azalır?|||||
Troposferin kutuplarda daha ince olmasının sebebi nedir?|||||
Termosferin iletişim açısından önemi nedir?|||||
Hava olaylarının oluşmasında etkili olan faktörler nasıl etkileşir?|||||
İklimin sosyal hayat üzerine olan etkileri nasıl açıklanır?|||||
Bir bölgedeki sıcaklık ortalaması ile o bölgenin turizm gelirleri arasındaki ilişki nasıl açıklanabilir?|||||
İklimin doğal çevre üzerine etkileri nasıldır?|||||
Hava durumu ulaşımı nasıl etkiler?|||||
Isı ve sıcaklık arasındaki fark nedir?|||||
Yeryüzünde sıcaklık dağılışına etki eden faktörler nelerdir?|||||
İklimin genel özellikleri ile iklim elemanları arasındaki bağlantı nasıldır|||||
Ekvatordan kutuplara gidildikçe sıcaklığın azalması nasıl açıklanır?|||||
Günlük sıcaklık farkları nasıl oluşur?|||||
Sıcaklık neden yıl boyunca değişiklik gösterir?|||||
Mevsimlerin oluşması ile dünyanın ekliptiğe eğik olması nasıl bağlantılıdır?|||||
Hissedilen sıcaklık ile gerçek sıcaklık arasında nasıl farklar vardır?|||||
Güneş sabiti nasıl belirlenir?|||||
Güneşten gelen enerji nasıl dağılır?|||||
Yerden yükseldikçe sıcaklık neden azalır?|||||
Işıma (radyasyon) nasıl gerçekleşir?|||||
Denizden esen rüzgarların nasıl özellikleri vardır?|||||
Karasallık ile denizden uzak olmak nasıl bağlantılıdır?|||||
Denizlerin sıcaklık üzerine etkileri nasıldır?|||||
Bir bölgenin yüksekliği ile sıcaklık ortalaması arasında nasıl bir ilişki vardır?|||||
Denizlerin geç ısınıp geç soğumasının sebebi nedir?|||||
Karaların çabuk ısınıp çabuk soğumasının sebebi nedir?|||||
Bir denizin tuzluluğu ile o bölgenin sıcaklığı arasında nasıl bir bağ vardır?|||||
Atmosferdeki nem sıcaklığı nasıl etkiler?|||||
Çöllerde günlük sıcaklık farkının çok fazla olması nasıl açıklanır?|||||
 Organk tortul kayaçların oluşumu nasıl gerçekleşir?|||||
Göç veren yerlerdeki fırsatlar nelerdir?|||||
Herhangi bir bölgenin nüfus piramidine bakılarak hangi sonuçlara ulaşılabilir?|||||
Beyin göçünün o ülkenin teknolojik gelişmişliği ile nasıl bir ilişkisi vardır?|||||
Çöküntü depremleri nasıl meydana gelmektedir?|||||
Sulama tarımı nasıl etkiler?|||||
Makineleşme tarımı nasıl etkiler|||||
Türkiyede iç ticaretin 1950den sonra önem kazanmasının sebebi nedir?|||||
Türkiyede kara ve demiryollarının doğu|batı doğrultusunda uzanmasının sebebi nedir?|||||
Ekvatoral yağmur ormanlarının dünyanın en zengin yaşam alanı olmasında hangi coğrafi faktörler etkili olmuştur?|||||
Su döngüsünün oluşabilmesi için neler gereklidir?|||||
Petolün en önemli enerji kaynaklarından biri olması nasıl açıklanabilir?|||||
Rüzgar enerjisi kullanmanın avantajları nelerdir?|||||
Rüzgar enerjisi kullanmanın dezavantajları nelerdir?|||||
Türkiyenin coğrafi konumunun ulaşım üzerine etkileri nasıldır?|||||
Türkiyede boru hatları ulaşımının gelişmesinin sebebi nasıl açıklanır?|||||
İklimin üretim üzerine olan etkisi nasıl açıklanır?|||||
İklimin tüketim üzerine olan etkisi nasıl açıklanır?|||||
İklimin dağıtım üzerine olan etkisi nasıl açıklanır?|||||
Hızlı nüfus artışının nasıl sonuçları olabilir?|||||
Haritanın günlük yaşantımızdaki önemi nedir?|||||
İzohips yöntemi nasıl uygulanır?|||||
Kabartma yöntemi nasıl uygulanır?|||||
Renklendirme yöntemi nasıl uygulanır?|||||
Gölgelendirme yöntemi nasıl uygulanır?|||||
Konik projeksiyon ile düzlem projeksiyon arasında nasıl farklar vardır?|||||
Düzlem projeksiyon ile silindirik projeksiyon arasında nasıl farklar vardır?|||||
Okyanusal iklimde nemliliğin fazla olması yıllık yağış miktarını nasıl etkiler?|||||
Dinamik basınç merkezleri nasıl oluşur?|||||
Bir merkezde havadaki nem miktarının artması nelere yol açar?|||||
Bir yamacın bakı durumunda olması ile bitki örtüsü arasında nasıl bir ilişki vardır?|||||
Dünyada atmosfer olmamasının ne gibi sonuçları olurdu?|||||
İç kuvvetlerin yer şekillerine etkisi nasıldır?|||||
Erozyonun sonuçları nelerdir?|||||
Erozyon nasıl oluşur?|||||
Erozyonun oluşmasına yol açan etmenler nelerdir?|||||
Karstik aşınma nasıl gerçekleşir?|||||
Yağmur oluşumunu nasıl açıklarız?|||||
Dağ oluşumunu nasıl gerçekleşir?|||||
Deltalar nasıl oluşur?|||||
Depremler nasıl oluşur?|||||
Yağmur su döngüsü açısından nasıl önemlidir?|||||
Gelgit nasıl oluşur?|||||
Heyelanın oluşması için gerekli koşullar nelerdir?|||||
Akarsu aşındırmasının nasıl sonuçları vardır?|||||
Karstik aşındırmanın nasıl sonuçları vardır?|||||
Rüzgar aşındırmasının nasıl sonuçları vardır?|||||
Harita ile kroki arasında nasıl bir fark vardır?|||||
Kuzey yarım kürenin sıcaklık ortalamasının güney yarım küreden fazla olmasının nedeni nedir?|||||
Yerden yükseğe çıkıldıkça neden atmosfer basıncı azalır?|||||
Yüksek basınç alanlarında hava genelde neden açıktır?|||||
Yükseltinin bir yerdeki hava sıcaklığı üzerine etkisini nasıldır?|||||
Alçak basınç alanlarında hava genelde neden kapalıdır?|||||
Dağınık yerleşmenin özellikleri nelerdir?|||||
Gideğen nasıl oluşur?|||||
Püskürük kayaçların oluşumu nasıl açıklanır?|||||
Yeryüzünde fay hatları ile sıcak su kaynakları arasında nasıl bir ilişki vardır?|||||
İklim, toprak oluşumunu nasıl etkiler?|||||
Gelişmiş ülkelerin nüfus özellikleri nelerdir?|||||
GAP projesi bölgeye nasıl kazançlar sağlamaktadır?|||||
Gelişmemiş ülkelerinn ihracat politikaları nasıldır?|||||
Gelişmemiş ülkelerin ithalat politikaları nasıldır?|||||
Gelişmiş ülkelerin ihracat politikaları nasıldır?|||||
Gelişmiş ülkelerin ithalat politikaları nasıldır?|||||
Nüfus artış hızının yükselmesinin olumlu sonuçları nelerdir ?|||||
Tüketimin fazla olması üretimi nasıl etkiler ?|||||
Nüfus artışının olumsuz sonuçları nelerdir?|||||
Savaşların göçe nasıl etkileri vardır?|||||
Matematik konum iklimi nasıl etkiler?|||||
Sanayi devrimi ile toplumsal hayatta ne gibi değişiklikler olmuştur?|||||
Terra rossa topraklarının özellikleri nelerdir?|||||
Beyin göçünün ülkeler üzerinde nasıl etkileri vardır?|||||
Savaşlar nüfusu nasıl etkiler?|||||
Hidroelektrik santrallerinin avantajları nelerdir?|||||
Hidroelektrik santrallerinin dezavantajları nelerdir?|||||
Türkiyedeki akarsular üzerinde taşımacılık yapılamamasının nedeni nedir?|||||
Buhar makinasının ekonomik faaliyetlere nasıl etkisi olmuştur?|||||
Türk kültürünün oluşmasında Türklerin yaşadıkları bölgelerin iklim özelliklerinin etkisi nasıl olmuştur?|||||
Ekstansif tarım metodu ile İntansif tarım metodunu arasında nasıl farklar vardır?|||||
Türkiye’de genç nüfusun fazla olmasının sebebi nedir?|||||
Sellerin oluşmasında insan faktörü nasıl rol oynar?|||||
İklim ile akarsu rejimi arasında nasıl bir ilişki vardır?|||||
Doğal kaynak ve ekonomi arasındaki ilişki nasıl açıklanır?|||||
Akarsu üzerinde hidroelektrik santral kurulurken nelere dikkat edilmelidir?|||||
Ekosistemde karbondioksit nasıl tüketilmektedir|||||
Fotosentez nasıl gerçekleşir?|||||
Elmas nasıl oluşur?|||||
Elmas ile karbon arasındaki ilişki nasıldır?|||||
Karbon döngüsü nasıl gerçekleşir?|||||
Su döngüsü gerçekleşmeseydi hangi sonuçlar ortaya çıkardı?|||||
Nadas tarımı nasıl gerçekleştirilir?|||||
Tohum ıslahı nasıl yapılır?|||||
Ani iklim değişiklikleri neden gerçekleşir?|||||
Türkiyenin balıkçılıkta ilerlememiş olmasının sebepleri nelerdir?|||||
Gerçek sıcaklık ile indirgenmiş sıcaklık arasında nasıl farklar vardır?|||||
Rüzgarlar sıcaklığı nasıl etkiler?|||||
Bitki örtüleri sıcaklığı nasıl etkiler?|||||
Havadaki nemin az olması sıcaklığı nasıl etkiler?|||||
Hava durumu ve iklim arasındaki fark nedir?|||||
Orta kuşak karalarının batı ve doğu kıyılarında sıcaklık neden farklıdır?|||||
Hava hareketlerinin sebepleri nelerdir?|||||
Sıcaklık hava basıncını nasıl etkiler?|||||
Hava akımları ile basınç alanları arasında nasıl bir ilişki vardır?|||||
Termik ve dinamik basınç merkezleri arasındaki farklar nelerdir?|||||
Dünyanın kendi ekseni etrafındaki hareket ile dinamik basınç merkezleri arasında nasıl bir ilişki vardır?|||||
Rüzgar nasıl oluşur?|||||
Atmosferde en fazla azot değil, oksijen gazı olsaydı ne olurdu?|||||
Yüksek yerlere çıktıkça su buharının azalmasının sebebi nedir?|||||
Karbondioksit oranı yüksek kesimlerde neden azdır?|||||
Atmosfer dünyayı meteorlardan nasıl korur?|||||
Atmosfer yerkürenin aşırı ısınmasını nasıl önler?|||||
Atmosfer güneşten gelen zararlı ışınları nasıl süzer?|||||
Yerkürenin şekli sıcaklık dağılışını nasıl etkiler?|||||
Sıcaklık enleme göre nasıl değişir?|||||
Havada nemin az olması sıcaklığı nasıl etkiler?|||||
Basınç değişimi ve dağılışını temel olarak ne belirler?|||||
Yükseklere çıkıldıkça atmosferin basıncının düşmesi nasıl açıklanır?|||||
Hava yoğunluğu ile atmosfer basıncı arasında nasıl bir ilişki vardır?|||||
Termik basınç alanları nasıl oluşur?|||||
Dinamik basınç merkezleri nasıl oluşur?|||||
Rüzgarın hızı nelere bağlıdır?|||||
Sürekli  rüzgarlar nasıl oluşur?|||||
Alize rüzgarlarının yağış bırakan etkisi nasıl açıklanır?|||||
Mevsimlik rüzgarlar nasıl oluşur?|||||
Muson rüzgarları neden yalnızca Hint okyanusu çevresinde oluşur?|||||
Fön rüzgarları nasıl oluşur?|||||
Meltemler nasıl oluşur?|||||
Yükseklik hava basıncını nasıl etkiler?|||||
Atmosferdeki gaz miktarının artması hava basıncını nasıl etkiler?|||||
Muson rüzgarlarının oluşmasının sebepleri nelerdir?|||||
Atmosferdeki nemin kaynağı nedir?|||||
Buharlaşmanın gerçekleşebilmesi için gerekli koşullar nelerdir?|||||
Bulutlar nasıl oluşur?|||||
Bulut oluşumu ile sıcaklık arasında nasıl bir ilişki vardır?|||||
Bulutların şekilleri nelere göre değişir?|||||
Sıcaklık miktarı ile bulutlar arasında nasıl bir ilişki vardır?|||||
Sis nasıl oluşur?|||||
Yağmur nasıl oluşur?|||||
Çiy nasıl oluşur?|||||
Kırağı nasıl oluşur?|||||
Kırç nasıl oluşur?|||||
Kar nasıl oluşur?|||||
Yükselim yağışları nasıl oluşur?|||||
Yamaç yağışları nası oluşur?|||||
Cephe yağışları nasıl oluşur?|||||
Yamaç yağışları ile yükselim yağışları arasında nasıl farklar vardır?|||||
Cephe yağışları ile yükselim yağışları arasında nasıl farklar vardır?|||||
Yamaç yağışları ile cephe yağışları arasında nasıl farklar vardır?|||||
Yükseklik yağış miktarını nasıl etkiler?|||||
Yer şekilleri yağış miktarını nasıl etkiler?|||||
Denize uzaklık yağış miktarını nasıl etkiler?|||||
Deniz akıntıları yağış miktarını nasıl etkiler?|||||
Ekvator çevresi neden dünya üzerinde en fazla yağış alan yerdir?|||||
Havanın neme doyması için hangi koşullar gerekir?|||||
Hangi durumda havanın maksimum nemi artar?|||||
Sıcaklık arttıkça bağıl nem nasıl değişir?|||||
Mutlak nemle bağıl nem arasında nasıl bir ilişki vardır?|||||
İklim ve bitki örtüsü arasında nasıl bir ilişki vardır?|||||
Ekvatoral iklim bölgesinin seyrek nüfuslu olmasının sebepleri nelerdir?|||||
Yaz musonlarının fazla yağış bırakmasının sebebi nedir?|||||
Çöllerde günllük sıcaklık farkı neden fazladır?|||||
Kutuplar aylarca güneş aldığı halde neden sıcaklık 0 derecenin altında seyreder?|||||
Ekvatoral iklimde yağış ve sıcaklıkta iki dönemde artış olmasının sebebi nedir?|||||
Subtropikal iklimin yağış özelliği nasıldır?|||||
Yerkabuğunda gerçekleşen hareketlerin temel sebebi nedir?|||||
Levha tektoniği teorisi nasıl açıklanır?|||||
Mantodaki hareketler nasıl gerçekleşir?|||||
Fosiller nasıl oluşur?|||||
Fosiller bize nasıl bilgiler sağlar?|||||
Jeolojik zamanlarla ilgili bilgilere nasıl ulaşılmıştır?|||||
İç kuvvetlerin yer şekilleri üzerinde nasıl etkileri vardır?|||||
Dış kuvvetlerin yer şekilleri üzerinde nasıl etkileri vardır?|||||
Dış kuvvetler dağ oluşumunda nasıl etkilidir?|||||
İç kuvvetler dağ oluşumunda nasıl etkilidir?|||||
Orojenez nasıl gerçekleşir?|||||
Manto üzerinde izostatik denge nasıl gerçekleşir?|||||
Epirojenez nasıl gerçekleşir?|||||
Regresyon nasıl açıklanır?|||||
Transgresyon nasıl açıklanır?|||||
Volkanizma nasık oluşur?|||||
Krater gölleri nasıl oluşur?|||||
Volkan konisi nasıl oluşur?|||||
Kül konisi nasıl oluşur?|||||
Kalkan volkanların özellikleri nelerdir?|||||
Tabakalı volkanların özellikleri nelerdir?|||||
Kalkan volkanlar ile tabakalı volkanlar arasında ne farklar vardır?|||||
Lav platoları nasıl oluşur?|||||
Kaldera nasıl oluşur?|||||
Sill oluşumu nası gerçekleşir?|||||
Yeryüzündeki aktif volkanların görüldüğü alanlarla deprem bölgeleri arasında nasıl bir ilişki vardır?|||||
Çöküntü depremler nasıl gerçekleşir?|||||
Volkanik depremler nasıl gerçekleşir?|||||
Tektonik depremler nasıl gerçekleşir?|||||
Yerkabuğunun katmanlardan oluştuğunu nasıl anlarız?|||||
Sıkışan yer kabuğunun  kıvrılması ya da kırılması neye bağlıdır?|||||
Yer kabuğuna neden yük biner?|||||
Yer kabuğunun içindeki kızgın maddeler nasıl yukarı çıkar?|||||
Jeolojik zamanlarla ilgili bilgiler nasıl elde edilmektedir?|||||
Yer kabuğundaki levhaların birbirine yaklaşması nasıl olaylara sebep olur?|||||
Dış kuvvetler ile iklimin nasıl bir ilişkisi vardır?|||||
Dış kuvvetler yer şekillerini nasıl etkiler?|||||
Rüzgar aşındırmasının en fazla görüldüğü koşullar nelerdir?|||||
Yardang nasıl oluşur?|||||
Tafoniler nasıl oluşur?|||||
Mantarkaya nasıl oluşur?|||||
Kumullar nasıl oluşur?|||||
Selinti nasıl oluşur?|||||
Akarsuların taşıdığı su miktarı yıl içinde nelere bağlı olarak değişir?|||||
Akarsular denge profiline nasıl geçer?|||||
Akarsu rejimi ile iklimin nasıl bir ilgisi vardır?|||||
Akarsular yer şekillerini nasıl etkiler?|||||
Kırgıbayır nasıl oluşur?|||||
Kırgıbayırın oluşması için nasıl koşullar gereklidir?|||||
Yarıntılar nasıl oluşur?|||||
Peribacaları nasıl oluşmuştur?|||||
Vadi oluşumu nasıl açıklanır?|||||
Vadilerin derinliği ile akarsu rejiminin nasıl bir ilişkisi vardır?|||||
Menderesler nasıl oluşur?|||||
Akarsuların biriktirme etkisinin ne gibi sonuçları vardır?|||||
Akarsuların aşındırma etkisinin ne gibi sonuçları vardır?|||||
Bir bölgede akarsu biriktirmesinin fazla olmasının o bölgeye etkileri nasıldır?|||||
Çağlayan ve çavlan arasında nasıl farklar vardır?|||||
Akarsu sekisinin oluşması için  hangi koşullar gereklidir?|||||
Akarsu sekisi nasıl oluşur?|||||
Peneplenler nasıl oluşur?|||||
Peneplen haline gelmiş yerlerde epirojenik hareketlerin fazla olmasının sebebi nedir?|||||
Türkiyede yüksek düzlüklerin fazla alan kaplamasının sebebi nedir?|||||
Irmak adası nasıl oluşur?|||||
Eğim ile akarsu debisi arasında nasıl bir ilişki vardır?|||||
Birikinti yelpazesi nasıl oluşur?|||||
Delta ovalarının oluşumu için hangi koşullar sağlanmalıdır?|||||
Alüvyon bakımından zengin olan toprakların avantajı nedir?|||||
Bir ülkede delta ovalarının fazla sayıda olması bize o ülke hakkında nasıl bir bilgi verir?|||||
Bir ülkede dağ eteği ovalarının fazla sayıda olması bize o ülke hakkında nasıl bir bilgi verir?|||||
Bir bölgede karstik şekiller fazla görülüyorsa, o bölgenin toprak yapısı hakkında neler söylenebilir?|||||
Karstik şekillerin oluşabilmesi için hangi koşullar gereklidir?|||||
Karstik aşınım nasıl gerçekleşir?|||||
Karstik topraklar üzerine yerleşim bölgesi oluşturmanın ne gibi sakıncaları vardır?|||||
Karstik araziler tarım açısından nasıl elverişlidir?|||||
Polyeler nasıl oluşur?|||||
Obruklar nasıl oluşur?|||||
Yer altı mağaraları nasıl oluşmuştur?|||||
Travertenler nasıl oluşur?|||||
Sarkıtlar nasıl oluşur?|||||
Dikitler nasıl oluşur?|||||
Glasiye nasıl oluşur?|||||
Kalıcı kar sınırı neden ekvatordan kutuplara gidildikçe deniz seviyesine yaklaşır?|||||
Bir bölgede kalıcı kar sınırının deniz seviyesine yakın olması, o bölgenin iklimi hakkında nasıl bir bilgi verir?|||||
Kalıcı kar sınırının bakı ile nasıl bir ilişkisi vardır?|||||
Denizlerin aşındırma etkisinin akarsularınkinden ne gibi farkları vardır?|||||
Denizlerin biriktirme etkisinin akarsularınkinden ne gibi farkları vardır?|||||
Dalga aşındırmasının dik kıyılarda daha fazla olmasının sebebi nedir?|||||
Falezler nasıl oluşur?|||||
Mercan kayaları nasıl oluşur?|||||
Bir sahil yöresinde mercan kayalarının ve mercan adalarının fazla olması o yöreye nasıl yarar sağlar?|||||
Yoğunluğa bağlı akıntıların boğazlarda daha çok görülmesinin sebebi nedir?|||||
Okyanuslardaki sürekli akıntıların sebebi nedir?|||||
Lagün nasıl oluşur?|||||
Tombolo nasıl oluşur?|||||
Ayın dünya üzerindeki çekim gücü neden güneşinkinden daha fazladır?|||||
Gelgitler nasıl oluşur?|||||
Gelgit genliği hangi koşullara göre değişiklik gösterir?|||||
Gelgit olayının fazla etkili olduğu bir kıyı kesiminde yer şekilleri bu olaydan nasıl etkilenir?|||||
Bir kıyı bölgesinde delta ovaları fazlaysa, o bölgede yaşanan gelgit olayları hakkında ne söylenebilir?|||||
Heyelan nasıl gerçekleşir?|||||
Heyelanın fazla olduğu bölgelerdeki toprak yapısı hakkında neler söylenebilir?|||||
Yer şekillerinin fazla eğimli olması heyelan olayını nasıl etkiler?|||||
Heyelanların kar erime dönemlerinde fazlalaşmasının sebebi nedir?|||||
Heyelan set gölleri nasıl oluşur?|||||
Fiziksel ayrışmanın karasal iklimde daha fazla olmasının sebebi nedir?|||||
Sıcaklık farklı fiziksel ayrışmayı nasıl etkiler?|||||
Buz çatlatması fiziksel ayrışmayı nasıl etkiler?|||||
Kök çatlatması fiziksel ayrışmayı nasıl etkiler?|||||
Rüzgar fiziksel ayrışmayı nasıl etkiler?|||||
Akarsular fiziksel ayrışmayı nasıl etkiler?|||||
Buzullar fiziksel ayrışmayı nasıl etkiler?|||||
Sıcaklığın artması kimyasal ayrışmayı nasıl etkiler?|||||
Sıcaklığın artması ile kimyasal ayrışma neden fazlalaşır?|||||
Fiyord kıyı tipine yüksek enlemlerde rastlanmasının sebebi nedir?|||||
Mercan kıyılarına alçak enlemlerde rastlanmasının sebebi nedir?|||||
Enine kıyılarda doğal liman sayısı neden fazladır?|||||
Boyuna kıyılarda doğal liman sayısı neden azdır?|||||
Bir akarsuda büklümlerin çok olması akarsuyun aktığı bölge hakkında hangi bilgileri verir?|||||
Dev kazanına nasıl topraklarda rastlanır?|||||
Birikinti konisine nasıl topraklarda rastlanır?|||||
Nüfus coğrafyası istatistik biliminden nasıl yararlanır?|||||
Tarımın başlaması insanların yerleşimini nasıl etkilemiştir?|||||
İlk yerleşmelerin tarımla başlamasının sebepleri nelerdir?|||||
Nüfus artış hızının yükselmesinin insanların tarımsal hayata geçmeleri il nasıl bir ilişkisi vardır?|||||
Ticaretin doğması ile tarımsal hayata geçişin nasıl bir ilişkisi vardır?|||||
Madenden yapılan aletlerin kullanılmaya başlanması tarıma nasıl katkılar sağlamıştır?|||||
İlk yerleşmelerin genelde su kenarlarında kurulmuş olmasının sebebi nedir?|||||
Liman şehirlerinde bankacılık, sigortacılık ve taşımacılık gibi mesleklerin önem kazanmış olmasının sebebi nedir?|||||
Bir yerin yükseltisinin fazla olması orada yerleşimi nasıl etkiler?|||||
Beşeri faktörler yerleşmeyi nasıl etkilemektedir?|||||
Geçici yerleşim birimlerinde temel geçim kaynağını hayvancılık olmasının sebepleri nelerdir?|||||
Metropoliten şehirler ile küçük şehirler arasındaki farklar nelerdir?|||||
Dağınık yerleşmelerin avantajları nelerdir?|||||
Dağınık yerleşmelerin dezavantajları nelerdir?|||||
Toplu yerleşmelerin avantajları nelerdir?|||||
Toplu yerleşmelerin dezavantajları nelerdir?|||||
Yerleşme şekilleri, yer şekillerine göre nasıl değişiklik gösterir?|||||
Meskenlerde kullanılan malzeme seçiminde neler etkili olmaktadır?|||||
Meskenlerde kullanılan malzeme seçimi ile o bölgenin iklimi arasında nasıl bir ilişki vardır?|||||
Dağlık arazilerde dağınık yerleşme görülmesinin nedeni nedir?|||||
Bir yerin coğrafi özellikleri, o bölgenin beşeri özelliklerini nasıl etkiler?|||||
Paralel ve meridyenler hangi amaçla kullanılır?|||||
Tuz gölünün ticari önemi nedir?|||||
Ankara’nın jeopolitik konumumun önemi nedir?|||||
İstanbulun jeopolitik konumunun önemi nedir?|||||
Fabrikalaşmanın, tarımsallığa karşı avantajları nelerdir?|||||
Ankara neden iç anadolu bölgesindeki diğer illere göre daha fazla yağış alır?|||||
Ankaranın doğal bitki örtüsünün bozkır olmasının başlıca sebebi nedir?|||||
Ormanlar ekonomik açıdan nasıl bir öneme sahiptir?|||||
Ankarada kerpiç ve taş evlerin fazla görülmemesinin sebebi nedir?|||||
Üniversite sayısının fazla olması ile Ankaranın nüfusunun sürekli artması arasında nasıl bir ilişki vardır?|||||
Ankarada tarımsal verimin düşük olması, Ankaranın iklimi göz önüne alındığında nasıl açıklanır?|||||
Ankarada buğday üretiminin çok fazla olması nasıl açıklanır?|||||
Ankarada şeker pancarının fazlaca yetiştirilmesi bu bölgede hayvancılığa nasıl katkı sağlar?|||||
Ankarada ormancılığın ilin kuzeyinde gelişmiş olması nasıl açıklanır?|||||
Bir ilde havaalanı bulunması o ilin ticari gelişimine nasıl katkı sağlar?|||||
Bir yörede turizmin etkinliğinin fazla olması o yörenin ticari gelişimini nasıl etkiler?|||||
Ankaranın tarih boyunca çeşitli uygarlıklar tarafından başkent seçilmesinin nedenleri nelerdir?|||||
Bir bölgenin tarih boyunca pek çok uygarlığa tanıklık etmiş olması o bölgeye neler kazandırır?|||||
Ankaranın başkent seçilmesinin sebepleri nelerdir?|||||
Kıtalar nasıl belirlenmiştir?|||||
Ülkeler ekonomik gelişmişliklerine göre nasıl sınıflandırılır?|||||
Çöl alanlarında yer şekilleri neden sadedir?|||||
Sulak alanların daha fazla nüfuslanmasının sebepleri nelerdir?|||||
Bir bölgede petrol üretiminin fazla olması o bölgedeki ticari faaliyetleri nasıl etkiler?|||||
Bir bölgede pamuk üretimi fazlaysa nasıl sanayi kuruluşları görülür?|||||
