Geography Factoid Questions||||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer|
Ayasofya kim tarafından camiye dönüştürülmüştür?|tarafından||HUMAN|INDIVIDUAL|Fatih Sultan Mehmet|
Aydın'ın hangi ilçesinde jeotermal elektrik santrali vardır?|ilçesinde||LOCATION|CITY|Germencik|
Aynı kentin içinde bulunup kentten soyutlanmış yerleşim alanlarına ne ad verilir?|yerleşim alanlarına ad||ENTITY|ENTITY|Getto|
Azerbaycan'ın kuruluş yılı nedir?|kuruluş yılı||TEMPORAL|DATE|1991|
Babülmendep Kanalı hangi ülkelerin kıyıları arasındadır?|ülkelerin||LOCATION|COUNTRY|Yemen Somali|
Bağımlı nüfusu hangi yaş grupları oluşturur?|yaş grupları||HUMAN|GROUP|Genç ve yaşlı nüfus|
Bakteriler ilk olarak hangi jeolojik zamanda ortaya çıkmıştır?|jeolojik zamanda||TEMPORAL|ERA|İlkel Zaman/Prekambriyen/Antekambriyen|
Bakü-Ceyhan petrol boru hattı Türkiye ile hangi Türk devleti arasındadır?|Türk devleti||LOCATION|COUNTRY|azerbaycan|
Baltık denizini Kuzey denize bağlayan kanalın uzunluğu ne kadardır?|uzunluğu kadardır||NUMERIC|SIZE.LENGTH|99 km|
Bangladeş'te dünyada görülen sel felaketlerinin yüzde kaçı meydana gelir?|sel felaketlerinin yüzde||NUMERIC|PERCENTAGE|0.65/%65/65%|
Bartelmi Diaz nerelidir?|Bartelmi Diaz||LOCATION|COUNTRY|Portekiz|
Barut, pusula, mürekkep, kağıt ve matbaayı icat ederek Dünya medeniyetine önemli katkıda bulunan uygarlık hangisidir?|uygarlık||HUMAN|NATION|Çin|
Başlangıç meridyeni hangi şehirdedir?|şehirdedir||LOCATION|CITY|Londra|
Batı Avrupa ülkelerinin fazla göç almasının temel sebebi nedir?|sebebi|temel|DESCRIPTION|REASON|Sanayi|
Batı rüzgarlarının da etkisiyle oluşan sıcak okyanus akıntısına ne isim verilir?|okyanus akıntısına isim|sıcak|ENTITY|STREAM|Gulf Stream|
Batman'ın günümüzde nüfusu kaçtır?|nüfusu|günümüzde|NUMERIC|SIZE.POPULATION|534000|
Bazaltik kabuğun bileşiminde en çok bulunan elementler hangileridir?|elementler|en çok|ENTITY|SUBSTANCE||
Bazaltik kabuğun yoğunluğu ne kadardır?|yoğunluğu kadardır||NUMERIC|SIZE.DENSITY||
Bazı tarım ürünlerinin toprak olmaksızın su içinde üretilmesi yöntemine ne ad verilir?|yöntemine ad||DESCRIPTION|DEFINITION|Hidrofonik yöntem|
Belirli bir arazinin topoğrafik, hidrolojik, jeolojik ve kültürel yönden çevresel özelliklerinin incelenmesine ne denir?|incelenmesine denir||DESCRIPTION|DEFINITION|Çevre analizi|
Belirli bir zamanda sınırları belli bir alan içerisinde yaşayan insan sayısına ne denir?|insan sayısına denir||DESCRIPTION|DEFINITION|Nüfus|
Belirli bir zamanda, bir ülke sınırları içinde kişilere yönelik yapılan demografik, ekonomik ve sosyal verilerin toplanması ve bu verilerin değerlendirilmesi işlemine ne denir?|işlemine denir||DESCRIPTION|DEFINITION|Nüfus sayımı|
Belli bir çevrenin sürekli olarak besleyebileceği belli bir türe ait maksimum birey sayısına ne ad verilir?|birey sayısına ad|maksimum|ENTITY|OTHERS|Taşıma kapasitesi|
Bengal Havzası'nda en çok hangi tarım ürününün üretimi yaygındır?|tarım ürününün||ENTITY|PLANT|Pirinç|
Bering boğazı hangi denizleri birbirine bağlar?|denizleri||ENTITY|SEA|Bering Kuzey Buz|
Bering boğazı ne zaman keşfedilmiştir?|zaman kaşfedilmiştir||TEMPORAL|DATE|1730|
Bering Boğazını kim keşfetmiştir?|keşfetmiştir||HUMAN|INDIVIDUAL|Bering|
Bering boğazının kâşifi nerelidir?|kaşifi||LOCATION|COUNTRY|Danimarka|
Beşeri ve ekonomik nedenlerle köylerden ayrılan daha küçük yerleşim birimlerine ne denir?|yerleşim birimlerine denir|daha küçük|DESCRIPTION|DEFINITION|Köy altı yerleşimi|
Bir akarsuyun kolları ile birlikte oluşturduğu sisteme ne denir?|sisteme denir||DESCRIPTION|DEFINITION|Akarsu ağı|
Bir akarsuyun kolları ile birlikte sularının toplandığı veya boşaltıldığı alana ne denir?|alana denir||DESCRIPTION|DEFINITION|Akarsu havzası|
Bir alandaki toplam nüfusun, o alanın yüz ölçümüne bölünmesiyle ne elde edilir?|elde edilir||DESCRIPTION|DESCRIPTION|Arimetik nüfus yoğunluğu|
Bir anayasa yapmak veya bir anayasayı değiştirmek için toplanan olağanüstü geçici meclise ne ad verilir?|geçici meclise ad|olağanüstü|DESCRIPTION|DEFINITION|Konvansiyon|
Bir arazi yüzeyinin tabii veya suni ayrıntılarının meydana getirdiği şekle ne denir?|şekle denir||DESCRIPTION|DEFINITION|Topografya|
Bir bölgede nem miktarındaki geçici dengesizliğin o bölgedeki su kıtlığı ile ilişkisine ne ad verilir?|ilişkisine ad||DESCRIPTION|DEFINITION|Kuraklık|
Bir çizimin harita özelliği taşıması için kaç temel ilkeye uyma zorunluluğu vardır?|temel ilkeye||NUMERIC|COUNT|3|
Bir kültürün doğduğu yere ne denir?|yere denir||DESCRIPTION|DEFINITION|Kültür ocağı|
Bir limanın iç bölgelerle olan ulaşım bağlantısı özelliğine ne denir?|ulaşım bağlantısı özelliğine denir||DESCRIPTION|DEFINITION|Hinterlant|
Bir noktanın Ekvator'a olan uzaklığının açı cinsinden değerine ne denir?|değerine denir|açı cinsinden|ENTITY|ENTITY|Enlem|
Bir su kaynağında bitki besin tuzlarının artışına bağlı olarak sucul bitkilerin aşırı çoğalmasıyla şekillenen kirliliğe ne denir?|kirliliğe denir||DESCRIPTION|DEFINITION|Ötrofikasyon|
Bir toplumun tarihsel süreç içinde ürettiği ve kuşaktan kuşağa aktardığı her türlü maddi ve manevi özellikler bütününe ne denir?|maddi ve manevi özellikler bütününe denir||DESCRIPTION|DEFINITION|Kültür|
Bir ülke içinde bölge, şehir ve köy gibi bir yerden diğerine yönelik nüfus hareketlerine ne denir?|nüfus hareketlerine denir||DESCRIPTION|DEFINITION|İç göç|
Bir ülkede genç nüfus hangi yaş grubu olarak değerlendirilir?|yaş grubu||NUMERIC|RANGE|0-14 yaş|
Bir ülkedeki nüfusun ülke yüz ölçümüne oranlanmasıyla ne elde edilir?|elde edilir||DESCRIPTION|DESCRIPTION|Nüfus yoğunluğu|
Bir ülkeden başka bir ülkeye olan göçlere ne ad verilir?|göçlere ad||DESCRIPTION|DEFINITION|Dış göç|
Bir ülkenin ekonomisinde belirli bir sürede (genellikle bir yıl) üretilen mal ve hizmetlerin toplam piyasa değerini anlatan gösterge nedir?|gösterge||DESCRIPTION|DEFINITION|Gayri safi milli hasıla (GSMH)|
Bir ülkenin hemen her bölgesinde aynı kültürel özelliklerin görülmesi ne olarak nitelendirilir?|olarak nitelendirilir||DESCRIPTION|DEFINITION|Türdeş nüfus|
Bir veya birden fazla özelliği benzer olan alanlar neyle adlandırılır?|anlanlar adlandırılır||ENTITY|ENTITY|Bölge|
Bir yerin deniz seviyesinden yüksekliği neyle ifade edilir?|ifade edilir||DESCRIPTION|DEFINITION|Rakım|
Bir yerin enlem ve boylamlar yardımıyla belirtilen konumuna ne ad verilir?|konumuna ad||DESCRIPTION|DEFINITION|matematik konum|
Bir yerin kuş bakışı taslak çizimine ne denir?|taslak çizimine denir||DESCRIPTION|DEFINITION|Kroki|
Bir yerin tepeden görünümüne ne ad verilir?|görünümüne ad||DESCRIPTION|DEFINITION|Kuş bakışı|
Birleşmiş Milletler bünyesinde sömürge topraklarıyla ilgilenen alt kurulun adı nedir?|alt kurulun adı||DESCRIPTION|DESCRIPTION|Vesayet konseyi|
Birleşmiş Milletler bünyesinde tartışma ve karar organı olan yapının adı nedir?|yapının adı||DESCRIPTION|DEFINITION|Genel kurul|
Birleşmiş Milletler ekonomik ve sosyal konseyi kaç üyeden oluşur?|üyeden||NUMERIC|COUNT|54|
Birleşmiş Milletler genel kurulu yılda kaç kez olağan toplanır?|kez||NUMERIC|COUNT|1|
Birleşmiş Milletler güvenlik konseyi kaç üyeden oluşur?|üyeden||NUMERIC|COUNT|15|
Birleşmiş Milletler güvenlik konseyi ne sıklıkta toplanır?|sıklıkta||NUMERIC|PERCENTAGE|Ayda bir|
Birleşmiş Milletler hangi tarihte kurulmuştur?|tarihte||TEMPORAL|DATE|29 ekim 1945|
Birleşmiş Milletler Nüfus Vakfı’nın kısa adı nedir?|adı|kısa|ABBREVIATION|ABBREVIATION|UNEPA|
Birleşmiş Milletler teşkilatının en üst organı olan yapının adı nedir?|yapının adı||DESCRIPTION|DEFINITION|Genel sekreterlik|
Birleşmiş Milletler teşkilatının kaç üyesi bulunmaktadır?|üyesi||NUMERIC|COUNT|179|
Birleşmiş Milletler uluslararası adalet divanı kaç üyeden oluşmaktadır?|üyeden||NUMERIC|COUNT|15|
Birleşmiş Milletler uluslararası adalet divanının merkezi hangi ülkededir?|ülkededir||LOCATION|COUNTRY|Hollanda Lahey|
Bitki ve hayvan topluluklarını inceleyen bilim dalı nedir?|bilim dalı||DESCRIPTION|DEFINITION|Biyocoğrafya|
Bitkilerden veya biyolojik atıklardan elde edilen enerjiye ne ad verilir?|enerjiye ad||DESCRIPTION|DEFINITION|Biyoenerji|
Biyolojik çeşitlilik sözleşmesi ilk nerede imzalanmıştır?|imzalanmıştır||LOCATION|CITY|Rio de janerio|
Biyolojik çeşitlilik sözleşmesini Türkiye kaç yılında imzalamıştır?|yılında||TEMPORAL|DATE|1992|
Biyolojik her türlü atıktan elde edilebilecek olan enerjiye ne isim verilir?|enerjiye isim||DESCRIPTION|DEFINITION|Biyoenerji|
Biyomlar neyin en büyük birimleridir?|birimleridir|en büyük|DESCRIPTION|DESCIPTION|Ekosistemin|
Biyomların yeryüzüne dağılışındaki en büyük etken koşul hangisidir?|etken koşul|en büyük|DESCRIPTION|REASON|İklim|
Biyosfer hangi kürelere yayılmıştır?|kürelere||ENTITY|OTHERS|Atmosfer, hidrosfer ve litosfer|
Biyosferi, ultraviyole ışınlarının zararlarından koruyan gaz hangisidir?|gaz||ENTITY|SUBSTANCE|Ozon|
Biyosfer'in diğer adı nedir?|adı|diğer|ENTITY|OTHERS|Canlı Küre/Canlılar Küresi/Canlı Yüzey|
Bofor ölçeği neyin şiddetinin ölçülmesinde kullanılır?|şiddetinin||ENTITY|ENTITY|Rüzgâr|
Bolu otoyol tüneli hangi projenin bir parçasıdır?|projenin||ENTITY|OTHERS|Bolu Dağı Geçişi Projesi|
Boyuna dalgaların yer kabuğundaki hızları ne kadardır?|hızları kadardır||NUMERIC|SPEED|6 km s/7 km s|
Bozkırların daha yoğun olduğu yörelerde hangi hayvan yetiştiriciliği fazladır?|hayvan yetiştiriciliği||ENTITY|OTHERS|Koyun|
BTC nedir?|BTC||ABBREVIATION|EXPRESSION|Bakü-Tiflis-Ceyhan Boru Hattı|
Buğday üretimi en yüksek olan üç ilimiz hangileridir?|üç ilimiz||LOCATION|CITY|Konya Ankara Adana|
Bugüne kadar Dünya üzerindeki ölçülen en düşük hava sıcaklığı kaç derecedir?|dereecedir||NUMERIC|DEGREE|-89.2 C|
Bugüne kadar Dünya üzerindeki ölçülen en düşük hava sıcaklığı nerede ölçülmüştür?|ölçülmüştür||LOCATION|LOCATION|Vostok araştırma merkezi|
Bugüne kadar Dünya üzerindeki ölçülen en yüksek hava sıcaklığı kaç derecedir?|derecedir||NUMERIC|DEGREE|57 C|
Bugüne kadar Dünya üzerindeki ölçülen en yüksek hava sıcaklığı nerede ölçülmüştür?|ölçülmüştür||LOCATION|LOCATION|El Azizias|
Bulutlar neye göre sınıflandırılır?|göre||DESCRIPTION|MANNER|yüksekliklerine (deniz seviyesinden )|
Bursa'nın nüfusu yaklaşık ne kadardır?|nüfusu kadardır|yaklaşık|NUMERIC|SIZE.POPULATION|2000000|
Büyük Okyanus deprem kuşağında dünya depremlerinin yüzde kaçı meydana gelir?|dünya depremlerinin yüzde||NUMERIC|PERCENTAGE|0.68/68%/%68|
Buzul gölleri ortalama kaç metre yükseklikte bulunurlar?|metre yükseklikte|ortalama|NUMERIC|SIZE.HEIGHT|2000 m|
Buzulların taşıyıp biriktirdiği materyallerin, buzulun alt kısmındaki erimeler sonucu meydana gelen dereler tarafından işlenmesiyle oluşan birikintilere ne denir?|birikintilere denir||DESCRIPTION|DEFINITION|Drumlin|
Çalışma çağındaki nüfusun taban alındığı yaş nedir?|yaş||NUMERIC|COUNT|12|
Çam ormanlarının daha fazla olduğu yörelerde görülen hayvancılık çeşidi nedir?|hayvancılık çeşidi||ENTITY|OTHERS|Arıcılık|
Can ve mal kayıplarına neden olan doğa olaylarına ne denir?|doğa olaylarına||DESCRIPTION|DEFINITION|Doğal afet|
Canlı, cansız varlıkların bütünü neyi ifade eder?|ifade eder||DESCRIPTION|DEFINITION|Doğa|
Canlılar küresi hangi kürelere yayılmış durumdadır?|kürelere||ENTITY|OTHERS|Atmosfer, hidrosfer ve litosfer|
Canlıların çevreyle birlikte oluşturdukları yaşam birlikteliklerine ne denir?|yaşam birlikteliklerine denir||DESCRIPTION|DEFINITION|Ekosistem|
Canlıların üzerinde yaşadığı katman hangisidir?|katman||ENTITY|OTHERS|Litosfer/Yer kabuğu|
Çarşamba deltasını oluşturan akarsu hangisidir?|akarsu||ENTITY|RIVER|Yeşilırmak|
Çay hangi toprakta daha iyi yetişir?|toprakta||ENTITY|OTHERS|Kireçsiz|
Çayır bitki örtüsü çevresinde oluşan topraklara ne ad verilir?|topraklara ad||DESCRIPTION|DEFINITION|Çerezyom|
Çayır ve otlakların en fazla olduğu bölgemiz hangisidir?|bölgemiz||LOCATION|REGION.LOCAL|Doğu Anadolu|
Çayırların daha fazla görüldüğü bölgelerde hangi hayvan daha çok yetiştirilir?|hayvan||ENTITY|OTHERS|Sığır|
Cebelitarık boğazı hangi deniz ve okyanusu birbirine bağlar?|deniz ve okyanusu||ENTITY|SEA|Akdeniz ve Atlas Okyanusu|
Cebelitarık boğazındaki yüzeysel akıntı nereden nereye doğrudur?|akıntı doğrudur|yüzeysel|ENTITY|OTHERS|Batıdan doğuya|
Cebelitarik boğazının en sığ yeri ne kadardır?|yeri kadardır|en sığ|NUMERIC|SIZE.DEPTH|324 metre|
ÇED Türkiye'de ne zamandan beri uygulanmaktadır?|zamandan beri||TEMPORAL|DATE|7 şubat 1993|
ÇED'in açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Çevresel etki değerlendirmesi|
Çekirdek tabakanın diğer bir adı nedir?|çekirdek tabakanın adı|diğer|ENTITY|SPHERE|Barisfer|
Çernobil nükleer kazası ne zaman gerçekleşmiştir?|zaman gerçekleşmiştir||TEMPORAL|DATE|1986|
Çeşitli yaşlardaki kadın ve erkek nüfusunu gösteren piramide ne ad verilir?|piramide ad||ENTITY|OTHERS|Yaş piramidi|
Çevresine göre çukurda kalmış, akarsuların derine gömülmeden aktıkları dar veya geniş düzlüklere ne ad verilir?|düzlüklere ad|dar veya geniş|DESCRIPTION|DEFINITION|ova|
Çevresine göre daha alçakta bulunan ve tarıma elverişli geniş, düz kara parçasına ne ad verilir?|kara parçasına ad|düz|ENTITY|ENTITY|Ova|
Çiğit nedir?|çiğit||DESCRIPTION|DEFINITION|Pamuk bitkisinin tohumu|
Çin Ar-Ge çalışmalarına yıllık ne kadar para ayırmaktadır?|kadar para||NUMERIC|MONEY|30.5 Milyar Dolar|
Çin Halk Cumhuriyeti coğrafi açıdan kaç bölgeye ayrılır?|bölgeye||NUMERIC|COUNT|4|
Çin hangi yıldan itibaren sosyalist bir idare tarzı ile yönetilir?|yıldan itibaren||TEMPORAL|DATE|1949|
Çin toplam dünya kömür üretiminin yüzde kaçını gerçekleştirmektedir?|kömür üretiminin yüzde||NUMERIC|PERCENTAGE|30%|
Çin uygarlığı kaç yıllık bir geçmişe sahiptir?|yıllık||NUMERIC|COUNT|4000 yılık|
Çinde ilk modern nüfus sayımı ne zaman yapılmıştır?|zaman yapılmıştır||TEMPORAL|DATE|1953|
Çin'in en önemli akarsularından olan Yang-çe'nin Türkçe anlamı nedir?|anlamı|Türkçe|DESCRIPTION|DESCRIPTION|Mavi Irmak|
Çin'in ikinci büyük ırmağı olan Huang-ho’nun anlamı nedir?|anlamı||DESCRIPTION|DESCRIPTION|Sarı Irmak|
Çizgisel yerleşim dokusunun oluşmasındaki en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Yüzey şekilleri|
Coğrafi keşifler hangi yüzyılda başlamıştır?|yüzyılda||TEMPORAL|CENTURY|15.Yüzyıl|
Coğrafi keşifler hangi yüzyılda hız kazanmıştır?|yüzyılda||TEMPORAL|CENTURY|15.yy/XV. yy|
Coğrafi keşiflerin başlamasına hangi icat olanak sağlamıştır?|icat||ENTITY|INSTRUMENT|Pusula|
Çoğunlukla bilim ve tekniğin gelişmesine katkıda bulunabilecek nitelikli elemanların başka ülkelere çalışmak amaçlı göç etmelerine ne denir?|göç etmelerine denir||DESCRIPTION|DEFINITION|Beyin göçü|
Çöl ikliminde günlük sıcaklık farkı kaç dereceyi bulur?|dereceyi||NUMERIC|DEGREE|40 C|
Cumhuriyetimizin ilk nüfus sayımına göre nüfus ne kadardı?|kadardı||NUMERIC|SIZE.POPULATION|13.6 Milyon/13600000/13.600.000|
Cumhuriyetin ilk yıllarında ülkenin kaçta kaçı kırsal kesimlerde yaşamaktaydı?|ülkenin kırsal kesimlerde yaşamaktaydı||NUMERIC|PERCENTAGE|Dörtte üçü/75%|
Cumhuriyetten Sonra ilk nüfus sayımı ne zaman yapılmıştır?|zaman||TEMPORAL|DATE|28 Ekim 1927|
Dağ oluşumu hareketleri kaç şekilde gerçekleşir?|şekilde||NUMERIC|COUNT|2|
Dağ zirvelerinde nem miktarı ne kadardır?|nem miktarı kadardır||DESCRIPTION|QUANTITY|az|
