Geography Open-Ended Questions||
Question|Focus|Mod
Birikinti yelpazesi nasıl oluşur?|oluşur|
Birinci ve ikinci dünya savaşının Avrupa nüfusu üzerine nasıl bir etkisi olmuştur?|etkisi|
Birleşmiş Milletlerin kuruluş amacı nedir?|kuruluş amacı|
Bitki örtüleri sıcaklığı nasıl etkiler?|etkiler|
Bitki örtüsü ve orman yangınlarının nasıl bir ilişkisi vardır?|ilişkisi|
Bitki örtüsünün ekonomik faaliyetler üzerinde nasıl bir etkisi vardır?|etkisi|
Bitki örtüsünün tahrip edilmesi su döngüsünü nasıl etkiler?|etkiler|
Bitki ve hayvan çeşitiliği bakımından hindistanın dünyanın önde gelen ülkeleri arasında olması nasıl açıklanır?|açıklanır|
Biyoçeşitliliğin oluşmasında etkili olan doğal faktörler nelerdir?|faktörler|doğal
Biyodizel nasıl elde edilir?|elde edilir|
Biyoenerji nasıl elde edilir?|elde edilir|
Biyogaz nasıl elde edilir?|elde edilir|
Biyokütle enerjisi kullanımı ne gibi zorluklar sunar?|zorluklar|
Biyokütle enerjisinin ne gibi avantajları vardır?|avantajları|
Biyolojik çeþitliliği tehdit eden insan kaynaklı faktörler nelerdir?|faktörler|insan kaynaklı
Bombayın dünyanın en kalabalık şehirlerinden biri olmasında hangi faktörler etkili olmuştur?|faktörler|
Bombayın hindistan ekonomisi üzerine nasıl etkileri vardır?|etkileri|
Bor madeninin kullanım alanı nasıldır?|kullanım alanı|
Bor'un yüksek bir ekonomik değere sahip olmasının sebebi nedir?|sebebi|
Boyuna kıyılarda doğal liman sayısı neden azdır?|azdır|
Buğdayın ülkemizde çok fazla üretilmesinin sebepleri nelerdir?|sebepleri|
Buhar makinasının ekonomik faaliyetlere nasıl etkisi olmuştur?|etkisi|
Buhar makinesinin icadı günlük hayatı nasıl etkilemiştir?|etkilemiştir|
Buharlaşmanın gerçekleşebilmesi için gerekli koşullar nelerdir?|koşullar|gerekli
Bulut oluşumu ile sıcaklık arasında nasıl bir ilişki vardır?|ilişki|
Bulutlar nasıl oluşur?|oluşur|
Bulutların şekilleri nelere göre değişir?|değişir|
Buz çatlatması fiziksel ayrışmayı nasıl etkiler?|etkiler|
Buzullar fiziksel ayrışmayı nasıl etkiler?|etkiler|
Buzulların erimesi nelere bağlıdır?|bağlıdır|
Buzulların erimesinin sebepleri nelerdir?|sebepleri|
Buzullarn erimesini önlemek için nasıl önlemler alınabilir?|önlemler|
Çağlayan ve çavlan arasında nasıl farklar vardır?|farklar|
Çanakkale boğazının bir ürünün dağıtımındaki rolü nedir?|rolü|
Canlılarda adaptasyon nasıl gerçekleşir?|gerçekleşir|
Çayır ve meraların ortadan kaldırılması biyolojik çeşitliliği nasıl etkiler?|etkiler|
CBS, coğrafya bilimine nasıl katkı sağlamaktadır?|katkı|
Cephe yağışları ile yükselim yağışları arasında nasıl farklar vardır?|farklar|
Cephe yağışları nasıl oluşur?|oluşur|
Çevre planlaması yapılırken neler dikkate alınır?|dikkate alınır|
Çığ afetinin yerleşim alanlarına büyük zarar vermesinde etkili olan faktörler nelerdir?|faktörler|etkili olan
Çığ felaketinin nasıl sonuçları vardır?|sonuçları|
Çığ felaketinin yaşandığı şehirlerin dağılışları ile coğrafi özellikleri arasında nasıl bir ilişki vardır?|ilişki|
Çığ nasıl oluşur?|oluşur|
Cisimlerin gölge boyları ile güneş ışınlarının düşme açısı arasında nasıl bir ilişki vardır?|ilişki|
Cisimlerin gölge boylarının yıl boyunca değişmesi nasıl açıklanır?|açıklanır|
Cisimlerin gölge boyu ile kutuplara olan yakınlıkları arasında nasıl ilişki vardır?|ilişki|
Çiy nasıl oluşur?|oluşur|
Coğrafi konum bir ülkenin dış siyaseti üzerinde nasıl etkilere sahiptir?|etkilere|
Coğrafi konum, bir yerdeki ekonomik faktörleri nasıl etkiler?|etkiler|
Coğrafi konum, bir yerdeki nufüs dağılımını nasıl etkiler?|etkiler|
Coğrafi konum, bir yerdeki yerleşmeyi nasıl etkiler?|etkiler|
Çöküntü depremler nasıl gerçekleşir?|gerçekleşir|
Çöküntü depremleri nasıl meydana gelmektedir?|meydana gelmektedir|
Çöl alanlarında yer şekilleri neden sadedir?|sadedir|
Çöl bitkileri su kaybını önlemek için nasıl evrimleşmişlerdir?|evrimleşmişlerdir|
Çöllerde günllük sıcaklık farkı neden fazladır?|fazladır|
Çöllerde günlük sıcaklık farkının çok fazla olması nasıl açıklanır?|açıklanır|
Dağ oluşumunu nasıl gerçekleşir?|gerçekleşir|
Dağılım tüketimi nasıl etkiler?|etkiler|
Dağınık yerleşmelerin avantajları nelerdir?|avantajları|
Dağınık yerleşmelerin dezavantajları nelerdir?|dezavantajları|
Dağınık yerleşmenin özellikleri nelerdir?|özellikleri|
Dağıtım üretimi nasıl etkiler?|etkiler|
Dağlık arazilerde dağınık yerleşme görülmesinin nedeni nedir?|nedeni|
Dağlık arazilerde yerleşim nasıl olur?|olur|
Dalga aşındırmasının dik kıyılarda daha fazla olmasının sebebi nedir?|sebebi|
Dalgalardan faydalanılarak elektrik nasıl üretilir?|üretilir|
Delta ovaları neden verimli tarım topraklarıdır?|topraklarıdır|
Delta ovalarının oluşumu için hangi koşullar sağlanmalıdır?|koşullar|
Deltalar nasıl oluşur?|oluşur|
Demir madeninin işlenmeye başlaması uygarlıkları nasıl etkilemiştir?|etkilemiştir|
Demir ve çelik sanayi için neden önemlidir?|önemlidir|
Demirin madencilik sektörü açısından önemi nedir?|önemi|
Deniz akıntıları yağış miktarını nasıl etkiler?|etkiler|
Deniz arazisini doldurmanın sakıncaları nelerdir?|sakıncaları|
Deniz seviyesinde meydana gelen değişimler bitki ve hayvan dağılımını nasıl etkiler?|etkiler|
Deniz seviyesindeki değişimler nelere yol açar?|yol açar|
Deniz seviyesindeki değişimlerin sebebi nelerdir?|sebebi|
Deniz seviyesinden yükseldikçe atmosferin yoğunluğu neden azalır?|azalır|
Denizden esen rüzgarların nasıl özellikleri vardır?|özellikleri|
Denize uzaklık yağış miktarını nasıl etkiler?|etkiler|
Denizlerin aşındırma etkisinin akarsularınkinden ne gibi farkları vardır?|farkları|
Denizlerin biriktirme etkisinin akarsularınkinden ne gibi farkları vardır?|farkları|
Denizlerin geç ısınıp geç soğumasının sebebi nedir?|sebebi|
Denizlerin sıcaklık üzerine etkileri nasıldır?|etkileri|
Deprem kuşakları neye dayanarak tespit edilir?|dayanarak|
Depremler nasıl oluşur?|oluşur|
Depremler ve tsunami arasında nasıl bir ilişki vardır?|ilişki|
Depremlerin Türkiye'deki dağılışı nasıldır?|dağılışı|
Dev kazanına nasıl topraklarda rastlanır?|topraklarda|
Devalüasyon nedir?|devalüasyon|
Devletçilik politikasının uygulanmaya başlaması, ekonomide nasıl değişikliklere sebep olmuştur?|değişikliklere|
Dikitler nasıl oluşur?|oluşur|
Dil faktörü bir ulus için neden önemlidir?|önemlidir|
Din bir ulus için neden önemlidir?|önemlidir|
Dinamik basınç merkezleri nasıl oluşur?|oluşur|
Dinamik basınç merkezleri nasıl oluşur?|oluşur|
Dış kuvvetler dağ oluşumunda nasıl etkilidir?|etkilidir|
Dış kuvvetler ile iklimin nasıl bir ilişkisi vardır?|ilişkisi|
Dış kuvvetler yer şekillerini nasıl etkiler?|etkiler|
Dış kuvvetlerin yer şekilleri üzerinde nasıl etkileri vardır?|etkileri|
Doğa olayları ne zaman afete dönüşür?|zaman|
Doğa turizminin son zamanlarda artış göstermesinin sebepleri nelerdir?|sebepleri|
Doğal dengenin bozulmasında insanın rolü nedir?|rolü|
Doğal gaz neden petrole göre daha çok tercih edilen bir yakıttır?|yakıttır|
Doğal gazın kullanım alanları nelerdir?|kullanım alanları|
Doğal kaynak ve ekonomi arasındaki ilişki nasıl açıklanır?|açıklanır|
Doğal kaynaklar çevre planlamasını nasıl etkiler?|etkiler|
Doğal kaynaklar ile ekonomi arasında nasıl bir ilişki vardır?|ilişki|
Doğal kaynaklar insan hayatı üzerinde nasıl bir önem teşkil eder?|önem|
Doğal kaynakların aşırı kullanımının sonucu ortaya çıkan sorunlar nelerdir?|sorunlar|
Doğal kaynakların farklı amaçlarla kullanılmasının nedenleri nelerdir?|nedenleri|
Doğal kaynakların insan için önemi nedir?|önemi|
Doğal kaynakların kullanımında etkili olan faktörler nelerdir?|faktörler|
Doğal kaynakların kullanımında görülen yöntem farklılıkları ile ülkelerin gelişmişlik düzeyi arasında nasıl bir ilişki vardır?|ilişki|
Doğal kaynakların kullanımının bitki örtüsü açısından ne tür sonuçları olabilir?|tür|
Doğal kaynakların kullanımının canlı yaşamı açısından ne tür sonuçları olabilir?|tür|
Doğal kaynakların kullanımının topografya açısından ne tür sonuçları olabilir?|tür|
Doğal kaynakların öneminin artması ile sanayideki gelişmeler nasıl bağlantılıdır?|bağlantılıdır|
Doğal kaynakların tüketim hızları nelere bağlı olarak değişir?|değişir|
Doğal kaynakların yok olması turizm gelirlerini nasıl etkiler?|etkiler|
Doğal kaynakların zaman içinde değerinin değişmesinde insanın rolü nedir?|rolü|
Doğal kaynaklarınn kullanımı çevreyi nasıl değiştirir?|değiştirir|
Doğal su kaynaklarının ekonomik faaliyetler üzerinde nasıl bir etkisi vardır?|etkisi|
Doğal unsurlar ekonomik faktörler üzerinde nasıl etkilidir?|etkilidir|
Doğalgaz kullanımı doğaya nasıl zarar vermektedir?|zarar|
Doğanın insan yaşamı üzerine etkileri nasıldır?|etkileri|
Doğaya yönelik turizmin etkinlikleri nelerdir?|etkinlikleri|
Doğu Anadolu fay kuşağının yapısı nasıldır?|yapısı|
Doğu anadoluda tarım faaliyetleri yapılırken makinalardan yeterince faydalanılamamasının nedeni nedir?|nedeni|
Dönencelerin belirlenmesinde neler esas alınmıştır?|esas alınmıştır|
Dünya ekonomisi açısından petrolün önemi nedir?|önemi|
Dünya üzerinde etkisi büyük şehirlerin küçük olanlardan farkları nelerdir?|farkları|
Dünya üzerinde görülen iklimler ile dünyanın yörüngesi arasında nasıl bir bağlantı vardır?|bağlantı|
Dünya üzerinde uluslararası siyasi ve ekonomik örgütlerin kurulma amacı nedir?|kurulma amacı|
Dünyada atmosfer olmamasının ne gibi sonuçları olurdu?|sonuçları|
Dünyada önemli ham madde alanları olan ülkeler neden aynı zamanda pazar alanlarıdır?|alanlarıdır|
Dünyadaki enerji ihtiyacı neden yıllar geçtikçe artmaktadır?|artmaktadır|
Dünyanın ekseninin eğik oluşu neler yol açar?|yol açar|
Dünyanın güneş etrafında dönüşü nelere yol açar?|yol açar|
Dünyanın güneş etrafındaki dönüşü sırasında güneşe yakınlaşıp uzaklaşmasının sonuçları nelerdir?|sonuçları|
Dünyanın güneş etrafındaki yörüngesinin elips biçiminde olmasının etkileri nelerdir?|etkileri|
Dunyanın kendi ekseni etrafındaki donuflu sonucunda hangi olaylar meydana gelir?|olaylar|
Dünyanın kendi ekseni etrafındaki dönüş hızının kutuplara yaklaştıkça azalması nasıl açıklanır?|açıklanır|
Dünyanın kendi ekseni etrafındaki hareket ile dinamik basınç merkezleri arasında nasıl bir ilişki vardır?|ilişki|
Dünyanın kendi etrafında dönüşü nelere yol açar?|yol açar|
Dünyanın şeklinin geoid olduğu kanıtlanmadan önce dünyanın nasıl bir şekli olduğuna inanılıyordu?|şekli|
Dünyanın şeklinin geoid olduğu nasıl kanıtlanmıştır?|kanıtlanmıştır|
Dünyanın yörüngesi daire şeklinde olsa ne olurdu?|olurdu|
Düzlem projeksiyon ile silindirik projeksiyon arasında nasıl farklar vardır?|farklar|
Eğim ile akarsu debisi arasında nasıl bir ilişki vardır?|ilişki|
Ekinoks nasıl gerçekleşir?|gerçekleşir|
Ekinoks nasıl meydana gelir?|meydana gelir|
Ekolojik denge nedir?|ekolojik denge|
Ekolojik döngülerin bozulması nasıl sonuçlara neden olur?|sonuçlara|
Ekonomi politikaları kalkınmayı nasıl etkiler?|etkiler|
Ekonomik faaliyetler amacıyla çoğunlukla düz alanların seçilmesinin sebebi nedir?|sebebi|
Ekonomik faaliyetler üzernde beşeri etmenlerin nasıl bir etkisi bulunmaktadır?|etkisi|
Ekonomik faaliyetler, doğal sistemler içinde nasıl bir yer tutar?|yer|
Ekosistemde karbondioksit nasıl tüketilmektedir?|tüketilmektedir|
Ekstansif tarım metodu ile İntansif tarım metodunu arasında nasıl farklar vardır?|farklar|
Ekvator çevresi neden dünya üzerinde en fazla yağış alan yerdir?|yerdir|
Ekvator ile ekliptik arasındaki açının daha büyük olması nelere yol açardı?|yol açardı|
Ekvatoral iklim bölgesinin seyrek nüfuslu olmasının sebepleri nelerdir?|sebepleri|
Ekvatoral iklimde yağış ve sıcaklıkta iki dönemde artış olmasının sebebi nedir?|sebebi|
Ekvatoral yağmur ormanlarının dünyanın en zengin yaşam alanı olmasında hangi coğrafi faktörler etkili olmuştur?|coğrafi faktörler|
Ekvatorda neden her  zaman 12 saat gece, 12 saat gündüz olur?|olur|
Ekvatordan kutuplara doğru gidildikçe bitki ve hayvanların tür ve sayıca azalmasının nedenleri nelerdir?|nedenleri|
Ekvatordan kutuplara doğru gidildikçe güneş ışınlarının düşme açısı neden küçülmektedir?|küçülmektedir|
Ekvatordan kutuplara gidildikçe sıcaklığın azalması nasıl açıklanabilir?|açıklanabilir|
Ekvatordan kutuplara gidildikçe sıcaklığın azalması nasıl açıklanır?|açıklanır|
Ekvatorun özellikleri nelerdir?|özellikleri|
Elektrik üretimi ile linyit kömürü arasında nasıl bir ilişki vardır?|ilişki|
Elektromanyetik cihazların kullanımı insan sağlığını nasıl etkiler?|etkiler|
Elmas ile karbon arasındaki ilişki nasıldır?|ilişki|
Elmas nasıl oluşur?|oluşur|
Endüstriyel faktörler doğal yaşan üzerinde nasıl tehditler oluşturmaktadır?|tehditler|
Enerji ihtiyacının sadece yenilenemeyen kaynaklardan karşılanmasının sakıncaları nelerdir?|sakıncaları|
Enerji nakil hatları üzerindeki bölgelerde orman yangınlarının daha çok görülmesinin sebepleri nelerdir?|sebepleri|
Enerji üretimi için güneşten nasıl faydalanılır?|faydalanılır|
Enerji üretimi için rüzgardan nasıl faydalanılır?|faydalanılır|
Enerji ve tabii kaynaklar bakanlığının görevi nedir?|görevi|
Enine kıyılarda doğal liman sayısı neden fazladır?|fazladır|
Enlem ve boylamların yerleşim üzerinde nasıl etkileri vardır?|etkileri|
Enternasyonel ticari ilişkilerin günümüzde serbesleşmesinin faydaları nelerdir?|faydaları|
Epirojenez nasıl gerçekleşir?|gerçekleşir|
Erozyon nasıl oluşur?|oluşur|
Erozyonun oluşmasına yol açan etmenler nelerdir?|etmenler|
Erozyonun sonuçları nelerdir?|sonuçları|
Fabrikalar ve sanayi kuruluşları doğal çevreyi nasıl olumsuz yönde etkilemektedir?|yönde|olumsuz
Fabrikalaşmanın, tarımsallığa karşı avantajları nelerdir?|avantajları|
Falezler nasıl oluşur?|oluşur|
Farklı yarım kürelerde aynı tarım ürününün yılın farklı dönemlerinde olgunlaşmasının birincil nedeni nedir?|nedeni|birincil
Fiyord kıyı tipine yüksek enlemlerde rastlanmasının sebebi nedir?|sebebi|
Fiziki haritalarda dağların yüksekliği incelenirken nelere dikkat edilmelidir?|dikkat edilmelidir|
Fiziki haritalarda denizlerin ve okyanusların derinliği incelenirken nelere dikkat edilmelidir?|dikkat edilmelidir|
Fiziksel ayrışmanın karasal iklimde daha fazla olmasının sebebi nedir?|sebebi|
Fön rüzgarları nasıl oluşur?|oluşur|
Fosil yakıt kullanımı çevre kirliliğini nasıl etkiler?|etkiler|
Fosil yakıt kullanımındaki artış doğal sistemleri nasıl etkilemektedir?|etkilemektedir|
Fosiller bize nasıl bilgiler sağlar?|bilgiler|
Fosiller nasıl oluşur?|oluşur|
Fotosentez hangi amaçla gerçekleştirilir?|amaçla|
Fotosentez nasıl gerçekleşir?|gerçekleşir|
Fotosentez nasıl gerçekleşir?|gerçekleşir|
Fotosentezin gerçekleşebilmesi için gerekli koşullar nelerdir?|koşullar|gerekli
GAP projesi bölgeye nasıl kazançlar sağlamaktadır?|kazançlar|
Gebzedeki hızlı kentleşmenin sebep olduğu sosyoekonomik sorunlar nelerdir?|sorunlar|sosyoekonomik
Gebzenin coğrafi konumu sanayinin gelişmesini nasıl etkilemiştir?|etkilemiştir|
Gebzenin yoğun göç almasının sebepleri nelerdir?|sebepleri|
Gece ve gündüz arasındaki fark kutuplara doğru gidildikçe neden artar?|artar|
Gece ve gündüz süreleri yıl boyunca neden değişir?|değişir|
Geçici yerleşim birimlerinde temel geçim kaynağını hayvancılık olmasının sebepleri nelerdir?|sebepleri|
Geleneksel festivaller turizmi nasıl etkiler?|etkiler|
Gelgit genliği hangi koşullara göre değişiklik gösterir?|koşullara|
Gelgit gücüyle elektrik nasıl elde edilir?|elde edilir|
Gelgit nasıl oluşur?|oluşur|
Gelgit olayının fazla etkili olduğu bir kıyı kesiminde yer şekilleri bu olaydan nasıl etkilenir?|etkilenir|
Gelgitler nasıl oluşur?|oluşur|
