Bitkilerde aynı görevi yapmak üzere özelleşmiş hücre topluluklarına ne ad verilmektedir|||||doku 
Bitkilerin ışık uyaranına karşı gösterdiği yönelme hareketine ne ad verilmektedir|||||fototropizma
Bitkilerde hareket, uyarana doğru ise nasıl adlandırılmaktadır|||||pozitif tropizma  
Bitkilerde hareket, uyarana zıt yönde ise nasıl adlandırılmaktadır|||||negatif tropizma  
Bitkilerin yer çekimine karşı gösterdiği yönelim hareketine ne ad verilmektedir|||||geotropizma
Bitkilerin dokunmaya karşı gösterdiği tepkilere ne ad verilmektedir|||||haptotropizma
Sarmaşıkların desteğe temas ettiğinde sarılması hangi yönelim hareketine ne örnektir|||||haptotropizma
Bitki köklerinin toprakta bulunan çeşitli kimyasal maddelere karşı gösterdiği tropizma hareketlerine ne ad verilmektedir|||||kemotropizma
Bitki organlarının yaralanma nedeniyle gösterdikleri yönelme hareketlerine ne ad verilmektedir|||||travmatropizma 
Bitki köklerinin suya doğru yönelim hareketine ne ad verilmektedir|||||hidrotropizma
Bitkilerin çevreden gelen uyaranın yönüne bağlı olmaksızın gerçekleştirdikleri harekete ne denir|||||nasti  
Çiçeklerin ortamdaki ışık şiddetine bağlı olarak açılıp kapanmasına ne ad verilmektedir|||||fotonasti
Bitkilerde sıcaklık değişmelerinin sebep olduğu nasti hareketlerine ne ada verilmektedir|||||termonasti
Bitkide dokunma ile meydana gelen turgor değişimleri sonucu ortaya çıkan hareketlere ne ad verilmektedir|||||sismonasti
Böcekçil bitkinin yapraklarının böceğin yaprağa dokunmasıyla bir kapan şeklinde kapanmasını sağlayan hareket hangi nasti hareketine örnektir|||||sismonasti 
Bir bakla fidesinin kök ucuna iğne dokundurularak yakıldığında, kökün yaradan uzaklaşarak aksi tarafa yönelmesini sağlayan hareket hangi nasti hareketine örnektir|||||travmatropizma 
Akşamsefası çiçeklerinin gündüz ışık şiddetine bağlı olarak kapanıp, karanlıkta açılması hareketi, hangi nasti hareketine örnektir|||||fotonasti 
Bitkilerde büyüme, gelişme, çiçeklenme, yaprakların dökülmesi ve durgunluk döneminin başlaması gibi fizyolojik olayları etkileyen gün uzunluğuna ne denir|||||fotoperiyodizm
Lalelerin yapraklarının 100C’taki ortamda kapatması, 300C sıcaklığındaki ortamda açması hangi nasti hareketine örnektir|||||termonasti 
Küstüm otuna dokununca yapraklarını kapatması hangi nasti hareketine örnektir|||||sismonasti 
Meyvenin olgunlaşmasını sağlayan hormon nedir|||||etilen
Tohumlu bitkilerde üreme organı nedir|||||çiçek 
Açık tohumlu bitki çiçeklerine ne ad verilir|||||kozalak
Çiçeğin dışında bulunup çoğunlukla yeşil renkte olan ve tomurcuk halindeyken iç kısımdaki organları korumakla görevli olan çiçek bölümüne ne ad verilir|||||çanak yaprak  
Parlak renkli olan tek ya da birkaç sıralı olan, böcekleri ve diğer tozlaştırıcıları kendine çekerek tozlaşmaya yardımcı olan çiçek bölümüne ne ad verilir|||||taç yaprak  
Çanak ve taç yapraklardan sonra gelen, başçık ve sapçık şeklinde iki bölümden oluşan çiçek organına ne ad verilir|||||erkek organ  
Çiçeklerde polenlerin oluştuğu kısım nedir|||||başçık
Yumurtalık, dişicik borusu ve tepecik kısımlarından oluşan çiçeğin içte kalanson bölümüne ne ad verilir|||||dişi organ  
Dişi organın alt kısmında genişlemiş yapıda olan, içinde tohuma dönüşecek tohum taslaklarının bulunduğu dişi organ bölümüne ne ad verilir|||||yumurtalık
Çiçeğin dişi organında bulunan, yumurtalığın tepeciğe kadar uzanan boyun kısmına ne ad verilir|||||dişicik borusu  
Çiçeğin dişi organında bulunan, dişicik borusunun üstünde yer alan, polenlerin tutunduğu ve çimlendiği nemli, yapışkan kısmına ne ad verilir|||||tepecik 
Tohumlu bitkilerde eşeyli üreme ne ile başlamaktadır|||||tozlaşmayla
Erkek organda olgunlaşan polenin dişi organın tepeciğine taşınması olayına ne ad verilir|||||tozlaşma
Bir çiçeğin aynı türden başka çiçekle tozlaşmasına ne denir|||||çapraz tozlaşma  
Bir çiçekte bulunan polenin aynı çiçeğin dişi organının tepeciğine ulaşması olayına ne denir|||||kendi kendine tozlaşma  
Tohum içinde gelişen embriyo için depolanmış besin kaynağına ne ad verilir|||||endospermi (besi doku)  
Tohumu çimlenmeden önce mekanik etkilerden ve uygun olmayan çevre koşullarından koruyan yapıya ne ad verilir|||||tohum kabuğu  
Bir çiçeğe ait tek bir yumurtalığın gelişmesiyle oluşan meyveye ne denir|||||basit meyve  
Kayısı, üzüm, erik, şeftali, kiraz, soya fasulyesi gibi meyveler hangi meyve türüne örnektir|||||basit meyve  
Bir ya da birden fazla çiçeğe ait yumurtalıkların bir bütün olarak gelişmesiyle meydana gelen meyvelere ne denir|||||bileşik meyve  
Ahududu, çilek, dut, böğürtlen, ananas gibi meyveler hangi meyve türüne örnektir|||||bileşik meyve  
Bir tohum embriyosunun uygun koşullarda, yeni bir bitkiyi oluşturmak üzere tohum kabuğunu çatlatarak dışarı çıkması ve büyümesi olayına ne ad verilir|||||çimlenme
Çimlenmede gerekli olan metabolik aktivitelerin başlaması için enzimleri aktifleştiren, hücrelerin genişlemesine ve büyümesine sebep olan çevresel faktör nedir|||||su
Çimlenmede su emilimini, enzim etkinliğini ve difüzyonu etkileyen çevresel faktör nedir|||||sıcaklık
Çimlenme için gerekli olan, çimlenme sırasında tohum kabuğu çatlayınca embriyoda metabolizma hızı arttığı için ihtiyaç duyulan çevresel faktör nedir|||||oksijen
Çimlenmekte olan bir tohumda, fotosentez yapana kadar geçen süreçte ne gerçekleşmez|||||besin depolama  
Tohum olgunlaştıktan ve çevreye yayıldıktan sonra embriyo tohum içinde besi dokusu ile beslendiği ve kabuk tarafından korunduğu sürece ne ad verilir|||||dormansi (uyku hali)  
Benzerlik ve farklılıkların ortaya çıkmasını sağlayan faktörleri, bu faktörlerin nesilden nesile nasıl geçtiğini araştıran bilim dalına ne denir|||||genetik veya kalıtım bilimi  
Kalıtımın esaslarını ilk ortaya koyan bilim insanı kimdir|||||Gregor Mendel  
Kromozomların kalıtsal bir karakterin oğul döllere aktarılmasını sağlayan bölümüne ne denir|||||gen 
Bir karakterin kalıtımından sorumlu gen çeşitlerinin her birine ne denir|||||alel gen  
Bir karakter için aynı alel genleri taşıyan bireylere ne ad verilir|||||homozigot
Bir karakter için farklı alel genleri taşıyan bireylere ne ad verilir|||||heterozigot
Canlının sahip olduğu genlerin tümüne ne denir|||||genotip
Genotip ve çevresel faktörlerin etkisiyle ortaya çıkan dış görünüşüne ne denir|||||fenotip
Heterozigot durumunda fenotipte etkisini gösterebilen gene ne ad verilir|||||dominant(baskın)  
Heterozigot durumunda fenotipte etkisini gösteremeyen gene ne ad verilir|||||resesif(çekinik)  
Eşeyli üreyen canlılarda erkek ve dişi üreme hücrelerinin birleştirilmesiyle yavru bireyler elde edilmesi olayına ne ad verilir|||||çaprazlama
Karakter bakımından heterozigot olan bireylere ne ad verilir|||||monohibrit  
Monohibrit bireylerin kendi aralarında çaprazlanması olayına ne denir|||||monohibrit çaprazlama  
İki karakter bakımından heterozigot olan bireylere ne ad verilir|||||dihibrit  
Genotipi bilinmeyen baskın fenotipli birey arasında yapılan çaprazlama olayına ne denir|||||kontrol çaprazlama  
Heterozigot bireylerin iki homozigot atanın arasında bir fenotip göstermesi olayına ne ad verilir|||||eksik baskınlık  
Alel genlerin fenotipteki etkilerinin birbirine eşit olduğu olaya ne ad verilir|||||eş baskınlık  
Bir karakteri oluşturan (insanda kan gruplarının, tavşanlarda kürk renginin, vb. )  alel çeşidinin ikiden fazla olması olayına ne ad verilir|||||çok alellik  
Canlılarda eşeyi belirleyen genlere ne ad verilir|||||gonozom(eşey kromozomu)  
Vücut karakterlerini belirleyen genleri taşıyan kromozomlara ne ad verilir|||||otozom(vücut kromozomu)  
İnsanların vücut hücrelerinde kaç adet kromozom bulunur|||||46
İnsanların vücut hücrelerinde kromozomlarından kaç tanesi otozomdur|||||44
İnsanların vücut hücrelerinde kromozomlarından kaç tanesi gonozomdur|||||2
Genleri gonozomlar üzerinde taşınan karakterlere ne ad verilir|||||eşeye bağlı karakter  
Kırmızı-yeşil renk körlüğü hastalığı hangi eşey kromozom ile kalıtılır|||||X kromozomu  
Kanın pıhtılaşması için gerekli olan protein eksikliğinde ortaya çıkan hemofili(kanın pıhtılaşmaması) hastalığı hangi eşey kromozom ile kalıtılır|||||X kromozomu  
Kasların gittikçe zayıflaması ve uyumlu çalışmamasıyla kendini gösteren kas distrofisi hastalığı hangi eşey kromozom ile kalıtılır|||||X kromozomu  
Balık pulluluk hangi eşey kromozom ile kalıtılır|||||Y kromozomu  
Yapışık parmaklılık hangi eşey kromozomu ile kalıtılır|||||Y kromozomu   
Kulak kıllılığı hangi eşey kromozom ile kalıtılır|||||Y kromozomu   
Kromozomlar üzerindeki genlerde meydana gelen değişmelere ne ad verilir|||||mutasyon 
Ölüme neden olan mutasyonlara ne ad verilir|||||öldürücü (letal) mutasyon  
Mutasyona sebep olan çeşitli faktörlere ne ad verilir|||||mutajen
Mutasyona neden olan faktörlerden dolayı kromozomda parça eksilmesi olayına ne ad verilir|||||delesyon
Mutasyona neden olan faktörlerden dolayı kromozoma parça eklenmesi olayına ne ad verilir|||||duplikasyon
Mutasyona neden olan faktörlerden dolayı homolog olmayan kromozomlar arasında parça değişimi olayına ne ad verilir|||||translokasyon
Mutasyona neden olan faktörlerden dolayı kromozomdan parça veya parçaların kopup 1800 dönerek aynı yere bağlanması olayına ne ad verilir|||||inversiyon  
Mayozda homolog kromozomlar bazen birbirinden ayrılmayarak aynı kutba gitmesi, sonuç olarak yeni oluşan eşey hücrelerinin birinde fazla, diğerinde eksik kromozom bulunması olayına ne denir|||||ayrılmama
İnsanların otozomlarında ayrılmama sonucu oluşan ve en sık görülen mutasyon örneği nedir|||||Down Sendromu  
Doğum öncesinde kalıtsal hastalıkların teşhisi için bir enjektör ile amniyon kesesinden amniyotik sıvı çekilmesi ve sıvının içindeki hücrelerin analiz edilerek kalıtsal hastalıkların teşhisi yöntemine ne ad verilir|||||amniyosentez
47 kromozomlu,  XXY eşey kromozomuna sahip erkek bireylerde görülen anormalliğe ne ad verilir|||||Klinefelter Sendromu  
45 kromozomlu, X0 eşey kromozomuna sahip, üreme organları ve yumurtalıkları körelmiş olan dişilerde görülen anormalliğe ne ad verilir|||||Turner Sendromu  
47 kromozomlu, XXX eşey kromozomuna sahip olan dişilerde görülen anormalliğe ne ad verilir|||||Süper Dişi  
Kendini eşleme özelliğine sahip, genetik bilgiyi aktaran nükleik asitlerden biri olan molekül nedir|||||DNA
DNA’nın genetik bilgiyi aktardığını kanıtlama araştırmaları sırasında yapılan deneylerde hangi hastalığa ait bakteriler kullanılmıştır|||||zatürre
DNA’nın genetik bilgiyi aktardığına dair ilk kanıt ne zaman elde edilmiştir|||||1944
DNA’nın genetik bilgiyi aktardığına dair ilk kanıtı bulmaya çalışan bilim insanları kimlerdir|||||Oswald T. Avery   
Çift zincirli yapıda olan DNA’nın Adenin ( A ) nükleotidinin karşısına gelen nükleotid nedir|||||Timin 
Çift zincirli yapıda olan DNA’nın Guanin ( G ) nükleotidinin karşısına gelen nükleotid nedir|||||Sitozin
DNA’nın replikasyonu sırasında, bir genin tek bir nükleotid çiftinde meydana gelen değişime ne ad verilir|||||gen (nokta) mutasyonu  
Hem çekirdekte hem de sitoplazmada bulunan tek nükleotit zincirinden oluşan nükleik aisite ne denir|||||RNA
RNA’nın yapısında, DNA’dan farklı olarak hangi şeker bulunmaktadır|||||riboz şekeri  
DNA’nın yapısında, RNA’dan farklı olarak hangi şeker bulunmaktadır|||||deoksiriboz şekeri  
Protein sentezinde görev alarak hücredeki yaşamsal olayların yönetiminde DNA’dan genetik bilgiyi alan RNA çeşidi nedir|||||mRNA mesajcı RNA  
Protein sentezinde oluşan amino asitleri ribozomlara taşıyan RNA çeşidi nedir|||||tRNA taşıyıcı RNA  
Hücrede en çok bulunan RNA çeşidi nedir|||||rRNA ribozomal RNA  
DNA’da bulunan üçlü baz dizisine ne ad verilir|||||genetik şifre ya da genetik kod  
Farklı ortam koşullarında bir canlının fenotipinde meydana gelen değişikliklere ne ad verilir|||||modifikasyon
Kendi türü dışında bir türden gen aktarılarak belirli özellikleri değiştirilmiş bitki, hayvan ya da mikroorganizmalara ne ad verilir|||||Genetiği Değiştirilmiş Organizmalar  
Doğa bilimleri yanında çeşitli mühendislik alanlarını da kullanarak bitki, hayvan ve mikroorganizma yapılarını kültür ortamında değiştirip geliştirerek onlardan yeni ürünler elde etmeyi amaçlayan bilim dalı nedir|||||biyoteknoloji
Canlıların kalıtsal özelliklerinin değiştirilerek onlara yeni işlevler kazandırılmasına yönelik araştırmalar yapan bilim dalı nedir|||||gen mühendisliği  
Genlerin ve DNA parçalarının klonlanabilmesi için kullanılan, bakterilerde kromozom dışında bulunan ve kendi kendine bölünebilen küçük halkasal yapıdaki DNA’lara ne ad verilir|||||Plazmit
TÜBİTAK Mam-Gen Mühendisliği ve Biyoteknoloji Enstitüsü ile Lalahan Hayvancılık Merkez Araştırma Enstitüsünde iki gen bankası ne zaman kuruldu|||||2011
Tarımda verim artışını sağlayan teknolojinin adı nedir|||||rekombinant DNA teknolojisi  
İstanbul Üniversitesi Veterinerlik Fakültesi’nde uzman bir ekip tarafından yürütülen çalışmalar sonucu Türkiye’deki ilk klonlanma ne zaman gerçekleştirildi|||||2007
GDO’lu ürünleri tüketen insanlarda en sık görülen sağlık riski nedir|||||besin alerjisi  
Belirli bir alanda yaşayan ve farklı türlere ait popülasyonlardan oluşan canlılar topluluğuna ne ad verilir|||||komünite
Aynı türe ait bireyler arasındaki rekabete ne denir|||||Tür içi rekabet  
Farklı türlerin bireyleri arasındaki rekabete ne ad verilir|||||Türler arası rekabet  
Komünitelerdeki bir canlının yaşamını sürdürebilmesi için gerçekleştirdiği işlevlere ne denir|||||ekolojik niş  
İki farklı türe ait bireyin ya da popülasyonun yarar ve zarar gözetilmeden birlikte yaşamasına ne denir|||||simbiyoz(birlikte yaşam)  
İki ya da daha fazla türün karşılıklı yarar sağladıkları yaşam şekline ne ad verilir|||||mutualizm
Mantar ve su yosunlarının oluşturduğu birlik olan liken hangi tür yaşam şekline örnektir|||||mutualizm
Türler arasında zorunlu olmayan mutualizme ne denir|||||gevşek mutualizm  
Filler ve fillerin üzerinde yaşayan parazitleri yiyen kuş türlerinin arasındaki ilişki hangi yaşam şekline örnektir|||||gevşek mutualizm  
İki türden birinin birliktelikten yararlanırken diğer türün etkilenmediği yaşam şekline ne ad verilir|||||kommensalizm
Organizmalardan birinin zarar görürken diğerinin yarar sağlayarak oluşturulan yaşam şekline ne ad verilir|||||parazitizim
Hareket, duyu ve sinir sistemleri basit yapıda olmasına karşın üreme sistemleri çok gelişmiş olan hayvansal parazitlere ne denir|||||iç parazit  
Tenya ve bağırsak solucanı hangi hayvansal parazitlere örnektir|||||iç parazit  
Üzerine kısa ya da uzun süre tutunarak konağın kanını emen, sindirim sistemi gelişmiş hayvansal parazitlere ne denir|||||dış parazit  
Bit, pire ve kene hangi hayvansal parazitlere örnektir|||||dış parazit
Belirli bir bölgede uzun bir zaman içinde türlerin aşamalı olarak birbirlerinin yerini almalarına ne ad verilir|||||süksesyon
Üzerinde canlı bulunmayan bir ortama canlıların yerleşmeye başlamasıyla gerçekleşen süksesyon çeşidi nedir|||||birincil süksesyon  
Daha önce üzerinde bir komünitenin bulunduğu ancak aşırı otlatma, kesim, yangın gibi nedenlerle bozulmuş ortamlarda gerçekleşen süksesyon çeşidi nedir|||||ikincil süksesyon  
Aynı türe ait, belirli bir alanda yaşayan ve bu alandaki komünitenin bir parçası olarak görev yapan bireyler topluluğuna ne ad verilir|||||popülasyon
Birim alan ya da hacimdeki birey sayısına ne denir|||||popülasyon yoğunluğu  
Doğum ve içe göçlerin, ölüm ve dışa göçlerden daha fazlası olması durumda ne gerçekleşir|||||popülasyon büyüklüğünün artması
Doğum ve içe göçlerin, ölüm ve dışa göçlerden daha az olmadı durumunda ne gerçekleşir|||||popülasyon büyüklüğünün azalması  
Popülasyonların büyümelerini engelleyerek popülasyon büyüklüğünün belirli sınırlar arasında kalmasına neden olan etken nedir|||||çevre direnci  
Popülasyon büyüklüğü ne zaman dengelenir|||||taşıma kapasitesine ulaştığında  
Bitki ve hayvan türlerinin geçmişte ve günümüzdeki dağılışını inceleyen, organizmaların coğrafik dağılışını, bu dağılışın hangi faktörler tarafından sınırlandırıldığını inceleyen bilim dalı nedir|||||biyocoğrayfa
Yeryüzündeki bitki ve hayvanların dağılımı etkileyen en önemli faktör nedir|||||küresel iklim özellikleri  
Yerkürenin iklim kuşaklarına bağlı olarak geniş coğrafik bölgelerinde bulunan büyük ekosistem tiplerine ne ad verilir|||||biyom
Yerküredeki tüm çalılar ve canlılarla devamlı etkileşim halinde bulunan fiziksel çevreyi içine alan en büyük ekosistem nedir|||||ekosfer
Coğrafik yayılışı büyük ölçüde iklimdeki bölgesel değişikliklere dayanan, orman, çöl ve çayır biyomları olarak gruplara ayrılan biyom çeşidi nedir|||||karasal biyom  
Biyosferin en büyük bölümünü kaplayan biyom çeşidi nedir|||||sucul biyomlar  
Ulubat ve Eymir gölleri hangi biyom çeşidine örnektir|||||tatlı su biyomları  
Avlanma-rekabet ve hastalık, bitki ve hayvanların yeryüzüne dağılımını etkileyen hangi faktörlerdendir|||||biyotik faktörler  
Sıcaklık, su, güneş ışığı, rüzgar ve kayalar, bitki ve hayvanların dağılımını etkileyen hangi faktörlerdendir|||||abiyotik faktörler  
Birçok popülasyonu içine alan komünite ile komünitenin etrafını saran cansız çevreden meydana gelen yapıya ne ad verilir|||||ekosistem
Karbonhidrat, yağ, protein, gibi büyük moleküllü besin maddelerinin kendilerini oluşturan yapı taşlarına parçalanarak hücre zarından geçebilecek hale gelmesine ne ad verilir|||||sindirim
Besinlerin fiziksel olarak küçük parçalara ayrılması işlevini yerine getiren sindirim türüne ne denir|||||mekanik sindirim  
Dişlerle ve mide hareketleriyle besinlerin ezilmesi hangi tür sindirime örnektir|||||mekanik sindirim 
Hangi sindirimde enzimler kullanılmaz|||||mekanik sindirim  
Büyük moleküllü besinlerin hidrolizle monomerlerine ayrışması görevini yerine getiren sindirim türü nedir|||||kimyasal sindirim  
Hangi sindirim sonucunda, karbonhidratlar monosakkaritlere, yağlar gliserol ve yağ asitlerine, proteinler de amino asitlere parçalanır|||||kimyasal sindirim  
Amip, öglena gibi bazı bir hücreli canlılarda, süngerlerde ve sölenterlerde görülen sindirim biçimi nedir|||||hücre içi sindirim  
Çürükçül canlılarda, salyangoz, deniz kestanesi gibi bazı omurgasızlarda ve omurgalılarda görülen sindirim biçimi nedir|||||hücre dışı sindirim  
İnce bağırsakta bulunan, villusları oluşturan epitel hücrelerinde bulunan sitoplazmik uzantılara ne denir|||||mikrovillus
